type_feat,tabnet_own_simp_ss_sup_rps_poc_202407042026,tabnet_owntop1_comp_ss_sup_202406150937,lgbm_top1_rs_202405261535,tabnet_paper_ss_unsup_202406172147
C,0.0,0.08932999999999999,0.0,0.0
F,0.0,0.1216,0.0,0.0
FTG,0.29955,0.21564,0.0,0.0
FTG_rival,0.31277,0.12902,0.0,0.0
Points,0.28917000000000004,0.11037999999999999,0.0,0.0
R,0.0,0.01643,0.0,0.0
S,0.0,0.07737999999999999,0.0,0.0
ST,0.0,0.02324,0.0,0.0
Side,0.09854,0.00359,0.0,0.0
Y,0.0,0.0199,0.0,0.0
down,0.0,0.048580000000000005,0.21355000000000002,0.0
lt,0.0,0.0,0.33823,0.0
pagerank,0.0,0.02781,0.07408999999999999,0.0
rate_away,0.0,7e-05,0.05338,0.57803
rate_home,0.0,0.03011,0.06259,0.42197
rounds,0.0,0.0,0.01519,0.0
st,0.0,0.0,0.06994,0.0
top,0.0,0.08688,0.17304,0.0
