match,Date,season,Div,HomeTeam,AwayTeam,FTHG,FTAG,label,lgbm_top1_rs,own_original_comp_bal_fac_ss,own_original_simp_fac_ss,own_top1_adv_comp_fac_ss_miv2,tabnet_own_comp_rs_unsup_rps,tabnet_own_simp_ss_sup,tabnet_owntop1_comp_ss_sup,tabnet_paper_ss_unsup
5967,2020-01-17,T19-20,D1,Schalke 04,M'gladbach,2,0,1.0,0.4518,,,,,,,0.686
5968,2020-01-18,T19-20,D1,Augsburg,Dortmund,3,5,2.0,0.4367,,,,,,,0.5734
5983,2020-01-26,T19-20,D1,Werder Bremen,Hoffenheim,0,3,2.0,0.3195,,,,,,,0.1222
5984,2020-01-26,T19-20,D1,Leverkusen,Fortuna Dusseldorf,3,0,1.0,0.6349,,,,,,,0.7064
5985,2020-01-31,T19-20,D1,Hertha,Schalke 04,0,0,0.0,0.2666,0.3497,0.339,0.3124,0.3028,0.2551,0.2806,0.2775
5986,2020-02-01,T19-20,D1,Augsburg,Werder Bremen,2,1,1.0,0.4058,0.3232,0.421,0.4332,0.4706,0.4368,0.4213,0.2972
5987,2020-02-01,T19-20,D1,Dortmund,Union Berlin,5,0,1.0,0.7591,0.6498,0.8009,0.7881,0.8312,0.8605,0.7973,0.6838
5988,2020-02-01,T19-20,D1,Fortuna Dusseldorf,Ein Frankfurt,1,1,0.0,0.281,0.3211,0.3025,0.3047,0.2758,0.235,0.2713,0.2745
5989,2020-02-01,T19-20,D1,Hoffenheim,Leverkusen,2,1,1.0,0.3248,0.2128,0.3786,0.3029,0.1913,0.4624,0.3927,0.2766
5990,2020-02-01,T19-20,D1,Mainz,Bayern Munich,1,3,2.0,0.6066,0.72,0.8124,0.7506,0.7272,0.8201,0.6946,0.7388
5991,2020-02-01,T19-20,D1,RB Leipzig,M'gladbach,2,2,0.0,0.2392,0.3264,0.2419,0.1946,0.1386,0.1876,0.164,0.2455
5992,2020-02-02,T19-20,D1,FC Koln,Freiburg,4,0,1.0,0.4306,0.2907,0.381,0.4093,0.5332,0.4577,0.3893,0.4082
5993,2020-02-02,T19-20,D1,Paderborn,Wolfsburg,2,4,2.0,0.3687,0.3912,0.4514,0.4822,0.4638,0.3458,0.4113,0.3187
5994,2020-02-07,T19-20,D1,Ein Frankfurt,Augsburg,5,0,1.0,0.5006,0.3995,0.5471,0.5436,0.6633,0.5192,0.5684,0.399
5995,2020-02-08,T19-20,D1,Freiburg,Hoffenheim,1,0,1.0,0.3263,0.2146,0.3009,0.2946,0.3695,0.337,0.3653,0.3938
5996,2020-02-08,T19-20,D1,Hertha,Mainz,1,3,2.0,0.2628,0.3405,0.2221,0.3188,0.2377,0.1678,0.3199,0.245
5997,2020-02-08,T19-20,D1,Schalke 04,Paderborn,1,1,0.0,0.2321,0.3459,0.2556,0.2379,0.1724,0.2724,0.236,0.1939
5998,2020-02-08,T19-20,D1,Werder Bremen,Union Berlin,0,2,2.0,0.2368,0.3113,0.2353,0.2153,0.2602,0.2683,0.2425,0.134
5999,2020-02-08,T19-20,D1,Wolfsburg,Fortuna Dusseldorf,1,1,0.0,0.2502,0.3226,0.2691,0.2361,0.218,0.2743,0.2509,0.2371
6000,2020-02-08,T19-20,D1,Leverkusen,Dortmund,4,3,1.0,0.3582,0.2239,0.305,0.4145,0.2039,0.3854,0.3274,0.3464
6001,2020-02-09,T19-20,D1,Bayern Munich,RB Leipzig,0,0,0.0,0.2268,0.2714,0.1987,0.131,0.1156,0.031,0.0244,0.2216
6002,2020-02-14,T19-20,D1,Dortmund,Ein Frankfurt,4,0,1.0,0.7372,0.4964,0.7039,0.6654,0.8148,0.6121,0.7703,0.6926
6003,2020-02-15,T19-20,D1,Augsburg,Freiburg,1,1,0.0,0.2859,0.3559,0.3392,0.2938,0.2904,0.2326,0.2597,0.2726
6004,2020-02-15,T19-20,D1,Hoffenheim,Wolfsburg,2,3,2.0,0.2092,0.2883,0.1786,0.2397,0.2281,0.2108,0.2135,0.2215
6005,2020-02-15,T19-20,D1,Paderborn,Hertha,1,2,2.0,0.3228,0.2963,0.3217,0.2652,0.2066,0.3041,0.3144,0.3194
6006,2020-02-15,T19-20,D1,RB Leipzig,Werder Bremen,3,0,1.0,0.6506,0.5742,0.7997,0.7758,0.8114,0.6515,0.831,0.4568
6007,2020-02-15,T19-20,D1,Union Berlin,Leverkusen,2,3,2.0,0.454,0.5187,0.4499,0.538,0.5292,0.4134,0.4869,0.5075
6008,2020-02-15,T19-20,D1,Fortuna Dusseldorf,M'gladbach,1,4,2.0,0.3958,0.4507,0.5683,0.5312,0.5514,0.4441,0.4274,0.3328
6009,2020-02-16,T19-20,D1,FC Koln,Bayern Munich,1,4,2.0,0.6238,0.5776,0.7612,0.7108,0.5883,0.7964,0.7041,0.7296
6010,2020-02-16,T19-20,D1,Mainz,Schalke 04,0,0,0.0,0.2716,0.3497,0.3242,0.2878,0.2998,0.2486,0.2526,0.2738
6011,2020-02-21,T19-20,D1,Bayern Munich,Paderborn,3,2,1.0,0.796,0.7477,0.836,0.911,0.8626,0.8476,0.9201,0.753
6012,2020-02-22,T19-20,D1,Freiburg,Fortuna Dusseldorf,0,2,2.0,0.1901,0.2359,0.1878,0.1667,0.1681,0.1674,0.2613,0.3378
6013,2020-02-22,T19-20,D1,Hertha,FC Koln,0,5,2.0,0.2491,0.3454,0.2205,0.2776,0.1934,0.187,0.2999,0.2244
6014,2020-02-22,T19-20,D1,M'gladbach,Hoffenheim,1,1,0.0,0.269,0.3494,0.3228,0.2759,0.2638,0.2071,0.2846,0.2449
6015,2020-02-22,T19-20,D1,Werder Bremen,Dortmund,0,2,2.0,0.4849,0.6192,0.6746,0.584,0.6375,0.5499,0.5457,0.432
