match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction_sota;draw_sota;home_sota;away_sota;prediction_own;draw_own;home_own;away_own;accurate_flag_sota;rps_sota;accurate_flag_own;rps_own;dif_res
6180;07/11/2020;T20-21;D1;Dortmund;Bayern Munich;2;3;2;1;0,2319;0,4645;0,3037;2;0,1926;0,1503;0,6571;0;0,269375285;1;0,077337585;-0,1920377
6359;03/04/2021;T20-21;D1;RB Leipzig;Bayern Munich;0;1;2;1;0,2733;0,4208;0,3059;2;0,2128;0,1703;0,617;0;0,27823385;1;0,096024725;-0,182209125
6056;26/05/2020;T19-20;D1;Dortmund;Bayern Munich;0;1;2;1;0,2441;0,4405;0,3154;2;0,2111;0,1691;0,6199;0;0,264130985;1;0,094557625;-0,16957336
16364;04/02/2021;T20-21;E0;Tottenham;Chelsea;0;1;2;1;0,2943;0,4774;0,2283;2;0,2726;0,2686;0,4589;0;0,34106669;1;0,1836041;-0,15746259
45617;27/02/2021;T20-21;SP1;Sevilla;Barcelona;0;2;2;1;0,2924;0,3931;0,3145;2;0,249;0,21;0,541;0;0,277704005;1;0,136341;-0,141363005
16344;28/01/2021;T20-21;E0;Tottenham;Liverpool;1;3;2;1;0,3088;0,4289;0,2623;2;0,2709;0,262;0,467;0;0,319779365;1;0,17868461;-0,141094755
16336;26/01/2021;T20-21;E0;Newcastle;Leeds;1;2;2;1;0,2734;0,375;0,3516;2;0,2331;0,195;0,5719;0;0,24758506;1;0,11880261;-0,12878245
6253;10/01/2021;T20-21;D1;Augsburg;Stuttgart;1;4;2;1;0,2907;0,4313;0,278;2;0,272;0,268;0,46;0;0,302895245;1;0,182792;-0,120103245
16372;07/02/2021;T20-21;E0;Liverpool;Man City;1;4;2;1;0,2499;0,4384;0,3117;2;0,2618;0,2247;0,5135;0;0,26810345;1;0,152610745;-0,115492705
6229;19/12/2020;T20-21;D1;Augsburg;Ein Frankfurt;0;2;2;1;0,2683;0,469;0,2626;2;0,2795;0,2788;0,4417;0;0,30779809;1;0,19490957;-0,11288852
16220;07/11/2020;T20-21;E0;Everton;Man United;1;3;2;1;0,2743;0,4002;0,3255;2;0,2557;0,2374;0,5069;0;0,26509537;1;0,15426505;-0,11083032
6234;19/12/2020;T20-21;D1;Leverkusen;Bayern Munich;1;2;2;1;0,2469;0,439;0,3141;2;0,2559;0,2457;0,4984;0;0,26570921;1;0,158543685;-0,107165525
26816;16/12/2020;T20-21;F1;Nimes;Nice;0;2;2;1;0,296;0,4184;0,2855;2;0,2818;0,2746;0,4436;0;0,29899168;1;0,1944961;-0,10449558
16312;03/01/2021;T20-21;E0;Chelsea;Man City;1;3;2;1;0,3014;0,3794;0,3192;2;0,2681;0,2557;0,4762;0;0,2771653;1;0,173122025;-0,104043275
45513;22/12/2020;T20-21;SP1;Valencia;Sevilla;0;1;2;1;0,2968;0,425;0,2782;2;0,2829;0,2842;0,4329;0;0,30454274;1;0,20081741;-0,10372533
26659;29/02/2020;T19-20;F1;Brest;Angers;0;1;2;1;0,2959;0,4736;0,2305;2;0,3001;0,3186;0,3813;0;0,33984353;1;0,23642485;-0,10341868
35356;28/11/2020;T20-21;I1;Sassuolo;Inter;0;3;2;1;0,2799;0,3862;0,334;2;0,2625;0,2481;0,4894;0;0,26101661;1;0,164809305;-0,096207305
45262;08/03/2020;T19-20;SP1;Valladolid;Ath Bilbao;1;4;2;1;0,312;0,4168;0,2712;2;0,2926;0,3035;0,4039;0;0,31424672;1;0,220474985;-0,093771735
6034;07/03/2020;T19-20;D1;M'gladbach;Dortmund;1;2;2;1;0,2766;0,4295;0,2939;2;0,2699;0,3025;0,4275;0;0,287542385;1;0,200243885;-0,0872985
45598;14/02/2021;T20-21;SP1;Getafe;Sociedad;0;1;2;1;0,2961;0,3973;0,3066;2;0,2816;0,2809;0,4376;0;0,284239385;1;0,197852405;-0,08638698
35575;12/04/2021;T20-21;I1;Benevento;Sassuolo;0;1;2;1;0,2704;0,4023;0,3273;2;0,2692;0,2647;0,4661;0;0,262820725;1;0,178758925;-0,0840618
16012;01/02/2020;T19-20;E0;Crystal Palace;Sheffield United;0;1;2;1;0,3243;0,4015;0,2743;2;0,2977;0,3167;0,3856;0;0,315978065;1;0,233056325;-0,08292174
16379;14/02/2021;T20-21;E0;Southampton;Wolves;1;2;2;1;0,3019;0,426;0,2721;2;0,2968;0,3117;0,3915;0;0,31049101;1;0,229181245;-0,081309765
6275;23/01/2021;T20-21;D1;Bielefeld;Ein Frankfurt;1;5;2;1;0,282;0,3632;0,3548;2;0,271;0,2434;0,4855;0;0,24790352;1;0,16902418;-0,07887934
16337;26/01/2021;T20-21;E0;Southampton;Arsenal;1;3;2;1;0,3001;0,3984;0,3015;2;0,2919;0,2883;0,4198;0;0,28898113;1;0,210918825;-0,078062305
45482;05/12/2020;T20-21;SP1;Sevilla;Real Madrid;0;1;2;1;0,2689;0,4292;0,3019;2;0,2853;0,287;0,4277;0;0,27982541;1;0,20446169;-0,07536372
35507;27/02/2021;T20-21;I1;Bologna;Lazio;2;0;1;2;0,2664;0,235;0,4985;1;0,2875;0,4189;0,2936;0;0,15978546;1;0,084428605;-0,075356855
45200;25/01/2020;T19-20;SP1;Alaves;Villarreal;1;2;2;1;0,3112;0,381;0,3078;2;0,289;0,296;0,415;0;0,28799314;1;0,212873;-0,07512014
45602;15/02/2021;T20-21;SP1;Cadiz;Ath Bilbao;0;4;2;1;0,3022;0,4087;0,2891;2;0,294;0,3097;0,3963;0;0,298351825;1;0,225444845;-0,07290698
35403;20/12/2020;T20-21;I1;Atalanta;Roma;4;1;1;2;0,2511;0,2537;0,4952;1;0,2711;0,4258;0,3032;0;0,154137125;1;0,08268241;-0,071454715
27032;09/05/2021;T20-21;F1;Strasbourg;Montpellier;2;3;2;1;0,2788;0,4515;0,2697;2;0,2944;0,3249;0,3807;0;0,305533765;1;0,235101925;-0,07043184
26609;01/02/2020;T19-20;F1;Angers;Reims;1;4;2;1;0,3082;0,4432;0,2486;2;0,3074;0,3453;0,3473;0;0,3297946;1;0,260256025;-0,069538575
6310;20/02/2021;T20-21;D1;FC Koln;Stuttgart;0;1;2;1;0,2876;0,3654;0,3471;2;0,2736;0,27;0,4564;0;0,25456138;1;0,18517896;-0,06938242
16431;14/03/2021;T20-21;E0;Southampton;Brighton;1;2;2;1;0,2999;0,4231;0,277;2;0,3024;0,3202;0,3774;0;0,306334505;1;0,23953826;-0,066796245
45550;11/01/2021;T20-21;SP1;Elche;Getafe;1;3;2;1;0,3159;0,4199;0,2642;2;0,3066;0,337;0,3564;0;0,320597225;1;0,25411226;-0,066484965
35553;21/03/2021;T20-21;I1;Roma;Napoli;0;2;2;1;0,2508;0,4813;0,2679;2;0,2815;0,3414;0,3772;0;0,299435525;1;0,23362333;-0,065812195
6110;20/06/2020;T19-20;D1;Schalke 04;Wolfsburg;1;4;2;1;0,2848;0,3776;0,3376;2;0,2822;0,2745;0,4433;0;0,2599424;1;0,194775865;-0,065166535
26822;16/12/2020;T20-21;F1;Rennes;Marseille;2;1;1;2;0,3139;0,2808;0,4053;1;0,276;0,4812;0,2427;0;0,13140065;1;0,06756392;-0,06383673
16203;25/10/2020;T20-21;E0;Southampton;Everton;2;0;1;2;0,297;0,3257;0,3774;1;0,2563;0,5496;0,1941;0;0,115282145;1;0,05168225;-0,063599895
35097;25/01/2020;T19-20;I1;Spal;Bologna;1;3;2;1;0,2955;0,427;0,2776;2;0,2959;0,3334;0,3707;0;0,30466325;1;0,24178765;-0,0628756
45621;28/02/2021;T20-21;SP1;Cadiz;Betis;0;1;2;1;0,3075;0,413;0,2795;2;0,3056;0,3264;0,368;0;0,30683825;1;0,24640768;-0,06043057
6107;20/06/2020;T19-20;D1;Mainz;Werder Bremen;3;1;1;2;0,2629;0,3386;0,3985;1;0,2666;0,5431;0,1903;0;0,11395933;1;0,053644825;-0,060314505
35105;26/01/2020;T19-20;I1;Napoli;Juventus;2;1;1;2;0,249;0,2581;0,4929;1;0,2862;0,3733;0,3404;0;0,152475705;1;0,098925345;-0,05355036
27028;09/05/2021;T20-21;F1;St Etienne;Marseille;1;0;1;2;0,2667;0,293;0,4403;1;0,295;0,4359;0,2691;0;0,13249649;1;0,079719905;-0,052776585
6407;12/05/2021;T20-21;D1;Schalke 04;Hertha;1;2;2;1;0,267;0,4055;0,3275;2;0,2884;0,2916;0,4199;0;0,261772625;1;0,20978728;-0,051985345
26866;17/01/2021;T20-21;F1;Brest;Rennes;1;2;2;1;0,3149;0,3767;0,3084;2;0,2969;0,3273;0,3759;0;0,288736285;1;0,238887625;-0,04984866
6223;16/12/2020;T20-21;D1;Schalke 04;Freiburg;0;2;2;1;0,2709;0,4254;0,3037;2;0,2968;0,3124;0,3908;0;0,27911025;1;0,22960744;-0,04950281
16461;17/04/2021;T20-21;E0;Newcastle;West Ham;3;2;1;2;0,2696;0,3345;0,3959;1;0,2703;0,487;0,2427;0;0,114710485;1;0,06598269;-0,048727795
45530;31/12/2020;T20-21;SP1;Ath Bilbao;Sociedad;0;1;2;1;0,307;0,3947;0,2983;2;0,3043;0,3262;0,3694;0;0,293315945;1;0,24506437;-0,048251575
16015;01/02/2020;T19-20;E0;Watford;Everton;2;3;2;1;0,3054;0,3859;0,3088;2;0,3013;0,3193;0,3794;0;0,285582425;1;0,237963025;-0,0476194
35132;16/02/2020;T19-20;I1;Sampdoria;Fiorentina;1;5;2;1;0,2927;0,4156;0,2916;2;0,3061;0,3259;0,3681;0;0,29368109;1;0,246560605;-0,047120485
45746;16/05/2021;T20-21;SP1;Villarreal;Sevilla;4;0;1;2;0,2784;0,2941;0,4275;1;0,2986;0,4219;0,2795;0;0,130131405;1;0,083641105;-0,0464903
6330;06/03/2021;T20-21;D1;Hoffenheim;Wolfsburg;2;1;1;2;0,2717;0,3314;0,3969;1;0,2783;0,4735;0,2482;0;0,11567525;1;0,069527065;-0,046148185
6265;19/01/2021;T20-21;D1;Hertha;Hoffenheim;0;3;2;1;0,2887;0,3704;0,3409;2;0,2903;0,2972;0,4125;0;0,25888025;1;0,21471517;-0,04416508
35537;13/03/2021;T20-21;I1;Benevento;Fiorentina;1;4;2;1;0,2836;0,3733;0,3431;2;0,2899;0,2946;0,4155;0;0,255973285;1;0,21284113;-0,043132155
26838;23/12/2020;T20-21;F1;Angers;Marseille;2;1;1;2;0,2953;0,2674;0,4373;1;0,3036;0,3799;0,3165;0;0,13921669;1;0,096172605;-0,043044085
35450;17/01/2021;T20-21;I1;Crotone;Benevento;4;1;1;2;0,2607;0,3283;0,411;1;0,3016;0,4354;0,2629;0;0,118442745;1;0,08006578;-0,038376965
