match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction_sota;draw_sota;home_sota;away_sota;prediction_own;draw_own;home_own;away_own;accurate_flag_sota;rps_sota;accurate_flag_own;rps_own;dif_res
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2,0;0,2754;0,3252;0,3994;2,0;0,2699;0,2622;0,4679;1,0;0,21828276000000002;1,0;0,17798820999999998;-0,04029455000000004
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1,0;0,1597;0,7361;0,1042;1,0;0,1023;0,8598;0,0379;1,0;0,018180865000000008;1,0;0,005950850000000002;-0,012230015000000006
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1,0;0,2839;0,4375;0,2786;1,0;0,3038;0,412;0,2842;1,0;0,07910858499999998;1,0;0,08653204;0,007423455000000023
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1,0;0,1516;0,7769;0,0715;1,0;0,0921;0,8768;0,0312;1,0;0,014047404999999994;1,0;0,004724810000000001;-0,009322594999999993
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1,0;0,2763;0,5569;0,1668;1,0;0,2517;0,5798;0,1686;1,0;0,05208196500000001;1,0;0,045872570000000015;-0,0062093949999999926
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2,0;0,3002;0,2951;0,4048;2,0;0,1663;0,127;0,7067;1,0;0,22225106499999997;1,0;0,05684029;-0,16541077499999995
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1,0;0,2178;0,6466;0,1356;1,0;0,116;0,8402;0,0438;1,0;0,03291210000000001;1,0;0,007687220000000003;-0,025224880000000005
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;1,0;0,2885;0,397;0,3146;1,0;0,3009;0,4006;0,2985;1,0;0,09107124999999999;1,0;0,08982153;-0,0012497199999999958
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1,0;0,2505;0,5822;0,1674;1,0;0,1383;0,8027;0,059;1,0;0,04536977;1,0;0,011303945000000003;-0,034065824999999994
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1,0;0,3088;0,4542;0,237;1,0;0,2642;0,5489;0,1869;1,0;0,07576322;1,0;0,052366624999999986;-0,02339659500000002
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;2,0;0,2895;0,346;0,3646;2,0;0,2837;0,2738;0,4426;1,0;0,24383524999999995;1,0;0,19564597;-0,048189279999999945
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1,0;0,2144;0,5614;0,2242;1,0;0,2832;0,4143;0,3025;1,0;0,04811649999999999;1,0;0,085854245;0,037737745
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;2,0;0,2525;0,277;0,4704;2,0;0,256;0,2274;0,5166;1,0;0,17206325000000006;1,0;0,14960578;-0,022457470000000063
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1,0;0,2195;0,6567;0,1238;1,0;0,1463;0,7901;0,0636;1,0;0,031753345;1,0;0,012724325000000002;-0,01902902
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1,0;0,3041;0,4817;0,2142;1,0;0,2584;0,5642;0,1774;1,0;0,06917922499999998;1,0;0,049120660000000003;-0,02005856499999998
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1,0;0,2563;0,5956;0,1481;1,0;0,1508;0,7822;0,0669;1,0;0,043811649999999994;1,0;0,013614819999999994;-0,03019683
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1,0;1,0;0,2604;0,5034;0,2362;1,0;0,2546;0,5728;0,1726;1,0;0,061799299999999995;1,0;0,047305960000000015;-0,01449333999999998
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1,0;1,0;0,2777;0,5016;0,2208;1,0;0,2592;0,5616;0,1792;1,0;0,06291288999999997;1,0;0,04964864;-0,01326424999999997
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2,0;0,2145;0,1614;0,6241;2,0;0,1739;0,1344;0,6917;1,0;0,09365553;1,0;0,06264505000000001;-0,031010479999999993
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1,0;1,0;0,2818;0,4994;0,2188;1,0;0,2727;0,475;0,2523;1,0;0,06364233999999999;1,0;0,06901029;0,00536795000000001
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1,0;1,0;0,2683;0,4958;0,236;1,0;0,2693;0,5358;0,1949;1,0;0,06381685;1,0;0,05525424999999999;-0,008562600000000004
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2,0;2,0;0,273;0,3344;0,3926;2,0;0,2682;0,2342;0,4976;1,0;0,22173187999999996;1,0;0,1621685;-0,05956337999999997
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1,0;1,0;0,3031;0,456;0,241;1,0;0,2903;0,4527;0,257;1,0;0,07495120999999999;1,0;0,075161545;0,00021033500000000593
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1,0;1,0;0,276;0,4776;0,2463;1,0;0,2867;0,4868;0,2265;1,0;0,06844447999999999;1,0;0,06674956999999998;-0,0016949100000000078
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2,0;2,0;0,2397;0,2626;0,4977;2,0;0,2265;0,1853;0,5882;1,0;0,15488069;1,0;0,11044074499999999;-0,044439944999999995
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1,0;1,0;0,2326;0,6025;0,1649;1,0;0,1081;0,8527;0,0392;1,0;0,04064738499999999;1,0;0,006611125000000001;-0,034036259999999985
35086;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1,0;1,0;0,1593;0,7494;0,0913;1,0;0,1338;0,8112;0,055;1,0;0,016856090000000004;1,0;0,010463719999999998;-0,006392370000000007
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1,0;1,0;0,2903;0,3717;0,338;1,0;0,3065;0,3727;0,3208;1,0;0,09925904500000002;1,0;0,09842744499999999;-0,0008316000000000295
15998;2020-01-19;T19-20;E0;Liverpool;Man United;2;0;1,0;1,0;0,1901;0,6724;0,1375;1,0;0,0938;0,8742;0,0321;1,0;0,027522129999999992;1,0;0,004911220000000001;-0,02261090999999999
35093;2020-01-19;T19-20;I1;Genoa;Roma;1;3;2,0;2,0;0,2529;0,2233;0,5238;2,0;0,2061;0,1654;0,6285;1,0;0,14536242500000002;1,0;0,09024473;-0,05511769500000002
45193;2020-01-19;T19-20;SP1;Betis;Sociedad;3;0;1,0;1,0;0,2938;0,4126;0,2936;1,0;0,3004;0,3906;0,3089;1,0;0,0862597;1,0;0,09286057999999998;0,0066008799999999895
35089;2020-01-19;T19-20;I1;Milan;Udinese;3;2;1,0;1,0;0,2786;0,5224;0,199;1,0;0,1389;0,8028;0,0583;1,0;0,05860948000000002;1,0;0,01134605;-0,04726343000000002
35094;2020-01-19;T19-20;I1;Juventus;Parma;2;1;1,0;1,0;0,1212;0,8173;0,0615;1,0;0,0929;0,8758;0,0313;1,0;0,009235845;1,0;0,00480505;-0,0044307949999999995
45196;2020-01-19;T19-20;SP1;Barcelona;Granada;1;0;1,0;1,0;0,1299;0,7918;0,0783;1,0;0,095;0,873;0,0321;1,0;0,011502450000000003;1,0;0,005024500000000001;-0,006477950000000001
16003;2020-01-21;T19-20;E0;Sheffield United;Man City;0;1;2,0;2,0;0,2169;0,1755;0,6077;2,0;0,1711;0,1316;0,6973;1,0;0,10051168499999999;1,0;0,06045124999999999;-0,040060435
15999;2020-01-21;T19-20;E0;Aston Villa;Watford;2;1;1,0;1,0;0,2867;0,4124;0,3008;1,0;0,3057;0,4;0,2943;1,0;0,08636885;1,0;0,09003249;0,0036636400000000097
16000;2020-01-21;T19-20;E0;Bournemouth;Brighton;3;1;1,0;1,0;0,2876;0,4416;0,2709;1,0;0,3073;0,3627;0,33;1,0;0,07802319999999999;1,0;0,101666645;0,023643445000000013
16006;2020-01-22;T19-20;E0;Tottenham;Norwich;2;1;1,0;1,0;0,2229;0,6513;0,1258;1,0;0,1448;0,7926;0,0626;1,0;0,032755025;1,0;0,0124429;-0,020312125
16005;2020-01-22;T19-20;E0;Leicester;West Ham;4;1;1,0;1,0;0,2596;0,5634;0,1771;1,0;0,1867;0,7181;0,0953;1,0;0,04936058;1,0;0,021959965000000005;-0,027400614999999996
16008;2020-01-23;T19-20;E0;Wolves;Liverpool;1;2;2,0;2,0;0,2166;0,1746;0,6088;2,0;0,2417;0,2145;0,5438;1,0;0,0999765;1,0;0,133268665;0,03329216500000001
45197;2020-01-24;T19-20;SP1;Osasuna;Levante;2;0;1,0;1,0;0,2756;0,4512;0,2732;1,0;0,2654;0,5355;0,1991;1,0;0,0752968;1,0;0,05503898500000001;-0,020257814999999985
35096;2020-01-24;T19-20;I1;Brescia;Milan;0;1;2,0;2,0;0,2474;0,2763;0,4763;2,0;0,2826;0,2703;0,447;1,0;0,16773422500000004;1,0;0,19278058499999995;0,025046359999999906
45201;2020-01-25;T19-20;SP1;Sevilla;Granada;2;0;1,0;1,0;0,2387;0,6005;0,1608;1,0;0,1824;0,7253;0,0923;1,0;0,04141716499999999;1,0;0,020894525000000004;-0,020522639999999988
45200;2020-01-25;T19-20;SP1;Alaves;Villarreal;1;2;2,0;1,0;0,3112;0,381;0,3078;2,0;0,289;0,296;0,415;0,0;0,2879931399999999;1,0;0,21287299999999998;-0,07512013999999995
35097;2020-01-25;T19-20;I1;Spal;Bologna;1;3;2,0;1,0;0,2955;0,427;0,2776;2,0;0,2959;0,3334;0,3707;0,0;0,30466324999999994;1,0;0,24178764999999997;-0,06287559999999998
35099;2020-01-25;T19-20;I1;Torino;Atalanta;0;7;2,0;2,0;0,2585;0,2917;0,4498;2,0;0,2663;0,257;0,4767;1,0;0,18477114500000003;1,0;0,17237929;-0,012391855000000035
35105;2020-01-26;T19-20;I1;Napoli;Juventus;2;1;1,0;2,0;0,249;0,2581;0,4929;1,0;0,2862;0,3733;0,3404;0,0;0,15247570500000002;1,0;0,09892534500000001;-0,053550360000000005
35101;2020-01-26;T19-20;I1;Parma;Udinese;2;0;1,0;1,0;0,2947;0,4808;0,2245;1,0;0,2715;0,5302;0,1983;1,0;0,06862416999999998;1,0;0,05651756999999999;-0,012106599999999995
35103;2020-01-26;T19-20;I1;Verona;Lecce;3;0;1,0;1,0;0,2722;0,503;0,2248;1,0;0,2235;0,6312;0,1453;1,0;0,06231394;1,0;0,03553217;-0,026781769999999996
45204;2020-01-26;T19-20;SP1;Getafe;Betis;1;0;1,0;1,0;0,2777;0,5208;0,2014;1,0;0,2633;0,5514;0,1853;1,0;0,058859770000000006;1,0;0,051831489999999994;-0,007028280000000012
45205;2020-01-26;T19-20;SP1;Sociedad;Mallorca;3;0;1,0;1,0;0,2366;0,6246;0,1388;1,0;0,2488;0,5868;0,1644;1,0;0,03762249999999999;1,0;0,044464399999999994;0,006841900000000005
45206;2020-01-26;T19-20;SP1;Valladolid;Real Madrid;0;1;2,0;2,0;0,2615;0,1957;0,5428;2,0;0,1663;0,127;0,7067;1,0;0,13870704500000003;1,0;0,05684029;-0,08186675500000003
16009;2020-01-29;T19-20;E0;West Ham;Liverpool;0;2;2,0;2,0;0,2023;0,1584;0,6393;2,0;0,1765;0,1341;0,6894;1,0;0,08551489000000001;1,0;0,063812305;-0,02170258500000001
26606;2020-01-31;T19-20;F1;Rennes;Nantes;3;2;1,0;1,0;0,3004;0,5111;0,1885;1,0;0,2586;0,563;0,1784;1,0;0,062886205;1,0;0,04935026000000002;-0,01353594499999998
5987;2020-02-01;T19-20;D1;Dortmund;Union Berlin;5;0;1,0;1,0;0,1483;0,7591;0,0926;1,0;0,1215;0,8312;0,0473;1,0;0,015283825000000001;1,0;0,008499769999999995;-0,006784055000000006
5986;2020-02-01;T19-20;D1;Augsburg;Werder Bremen;2;1;1,0;1,0;0,2766;0,4058;0,3176;1,0;0,2816;0,4706;0,2478;1,0;0,08868866;1,0;0,0703517;-0,01833696
5990;2020-02-01;T19-20;D1;Mainz;Bayern Munich;1;3;2,0;2,0;0,2213;0,1721;0,6066;2,0;0,1558;0,117;0,7272;1,0;0,10186862499999999;1,0;0,04934673999999999;-0,052521885
16015;2020-02-01;T19-20;E0;Watford;Everton;2;3;2,0;1,0;0,3054;0,3859;0,3088;2,0;0,3013;0,3193;0,3794;0,0;0,28558242500000003;1,0;0,23796302500000005;-0,04761939999999998
16013;2020-02-01;T19-20;E0;Liverpool;Southampton;4;0;1,0;1,0;0,1282;0,8127;0,0592;1,0;0,0969;0,8692;0,0339;1,0;0,009964025000000005;1,0;0,005269410000000001;-0,0046946150000000035
16012;2020-02-01;T19-20;E0;Crystal Palace;Sheffield United;0;1;2,0;1,0;0,3243;0,4015;0,2743;2,0;0,2977;0,3167;0,3856;0,0;0,31597806500000003;1,0;0,23305632500000004;-0,08292174
16011;2020-02-01;T19-20;E0;Bournemouth;Aston Villa;2;1;1,0;1,0;0,2749;0,4563;0,2688;1,0;0,2717;0,5296;0,1987;1,0;0,07391172500000001;1,0;0,05665129000000002;-0,01726043499999999
45210;2020-02-01;T19-20;SP1;Valencia;Celta;1;0;1,0;1,0;0,2305;0,6446;0,1249;1,0;0,2562;0,5692;0,1746;1,0;0,03436513;1,0;0,048061799999999995;0,013696669999999994
45207;2020-02-01;T19-20;SP1;Granada;Espanol;2;1;1,0;1,0;0,2625;0,5173;0,2202;1,0;0,3076;0,3898;0,3026;1,0;0,05869714499999999;1,0;0,09309225999999998;0,03439511499999999
26610;2020-02-01;T19-20;F1;Dijon;Brest;3;0;1,0;1,0;0,2815;0,4425;0,276;1,0;0,292;0,4659;0,2421;1,0;0,07770912499999999;1,0;0,07193820499999999;-0,005770919999999999
26609;2020-02-01;T19-20;F1;Angers;Reims;1;4;2,0;1,0;0,3082;0,4432;0,2486;2,0;0,3074;0,3453;0,3473;0,0;0,3297946;1,0;0,260256025;-0,06953857499999999
26607;2020-02-01;T19-20;F1;Paris SG;Montpellier;5;0;1,0;1,0;0,1624;0,7562;0,0814;1,0;0,1031;0,8598;0,0371;1,0;0,01649986;1,0;0,0060030100000000005;-0,010496850000000002
45208;2020-02-01;T19-20;SP1;Real Madrid;Ath Madrid;1;0;1,0;1,0;0,2555;0,5927;0,1518;1,0;0,2679;0,5397;0,1924;1,0;0,04416174499999999;1,0;0,05439408500000001;0,01023234000000002
35106;2020-02-01;T19-20;I1;Bologna;Brescia;2;1;1,0;1,0;0,248;0,5746;0,1774;1,0;0,1873;0,7063;0,1064;1,0;0,046487379999999995;1,0;0,023201124999999996;-0,023286255
35111;2020-02-02;T19-20;I1;Lazio;Spal;5;1;1,0;1,0;0,1512;0,7589;0,0899;1,0;0,1227;0,8295;0,0478;1,0;0,015471724999999999;1,0;0,008670064999999998;-0,006801660000000001
35109;2020-02-02;T19-20;I1;Juventus;Fiorentina;3;0;1,0;1,0;0,1615;0,745;0,0935;1,0;0,0915;0,8779;0,0305;1,0;0,017412250000000004;1,0;0,004654304999999998;-0,012757945000000007
35114;2020-02-02;T19-20;I1;Udinese;Inter;0;2;2,0;2,0;0,228;0,1792;0,5928;2,0;0,2271;0,1873;0,5856;1,0;0,10889792000000001;1,0;0,111650885;0,002752964999999996
45216;2020-02-02;T19-20;SP1;Barcelona;Levante;2;1;1,0;1,0;0,1375;0,7858;0,0767;1,0;0,102;0,8621;0,0359;1,0;0,01239457;1,0;0,005846405000000001;-0,006548165
45215;2020-02-02;T19-20;SP1;Villarreal;Osasuna;3;1;1,0;1,0;0,2882;0,5041;0,2077;1,0;0,2211;0,6474;0,1315;1,0;0,063099265;1,0;0,03308873000000001;-0,03001053499999999
45211;2020-02-02;T19-20;SP1;Leganes;Sociedad;2;1;1,0;1,0;0,2835;0,4088;0,3076;1,0;0,302;0,3564;0,3416;1,0;0,08752577000000003;1,0;0,10394728;0,016421509999999973
5993;2020-02-02;T19-20;D1;Paderborn;Wolfsburg;2;4;2,0;2,0;0,2668;0,3645;0,3687;2,0;0,2724;0,2638;0,4638;1,0;0,23486096499999998;1,0;0,18085610000000002;-0,05400486499999996
5992;2020-02-02;T19-20;D1;FC Koln;Freiburg;4;0;1,0;1,0;0,29;0,4306;0,2794;1,0;0,2609;0,5332;0,2059;1,0;0,08108218000000003;1,0;0,05523181;-0,025850370000000032
35115;2020-02-03;T19-20;I1;Sampdoria;Napoli;2;4;2,0;2,0;0,2743;0,2927;0,433;2,0;0,1954;0,1551;0,6495;1,0;0,19836474499999998;1,0;0,08051570499999999;-0,11784903999999999
26618;2020-02-04;T19-20;F1;Nantes;Paris SG;1;2;2,0;2,0;0,2385;0,1882;0,5733;2,0;0,1493;0,1107;0,74;1,0;0,11947756999999998;1,0;0,044945245;-0,07453232499999998
26616;2020-02-04;T19-20;F1;Lille;Rennes;1;0;1,0;1,0;0,2884;0,4854;0,2262;1,0;0,2604;0,5436;0,196;1,0;0,0671705;1,0;0,05311207999999999;-0,014058420000000002
26617;2020-02-04;T19-20;F1;Monaco;Angers;1;0;1,0;1,0;0,2783;0,5004;0,2214;1,0;0,2755;0,5194;0,2051;1,0;0,06321229;1,0;0,05898313000000002;-0,004229159999999982
26624;2020-02-05;T19-20;F1;Toulouse;Strasbourg;0;1;2,0;2,0;0,2766;0,3459;0,3775;2,0;0,3052;0,3232;0,3716;1,0;0,23200690500000004;1,0;0,24401680000000006;0,01200989500000002
26625;2020-02-05;T19-20;F1;St Etienne;Marseille;0;2;2,0;2,0;0,2929;0,3144;0,3927;2,0;0,2985;0,3109;0,3906;1,0;0,22730184999999997;1,0;0,23023530499999997;0,0029334550000000015
26622;2020-02-05;T19-20;F1;Nimes;Dijon;2;0;1,0;1,0;0,3;0,4224;0,2776;1,0;0,2572;0,5664;0,1764;1,0;0,08353088000000002;1,0;0,048634399999999994;-0,03489648000000002
45217;2020-02-07;T19-20;SP1;Alaves;Eibar;2;1;1,0;1,0;0,3167;0,4343;0,2489;1,0;0,3092;0,3625;0,3283;1,0;0,081149945;1,0;0,101692765;0,020542820000000003
5994;2020-02-07;T19-20;D1;Ein Frankfurt;Augsburg;5;0;1,0;1,0;0,2763;0,5006;0,2232;1,0;0,2147;0,6633;0,122;1,0;0,06305764999999999;1,0;0,030490045;-0,03256760499999999
45219;2020-02-08;T19-20;SP1;Getafe;Valencia;3;0;1,0;1,0;0,3143;0,3892;0,2965;1,0;0,2927;0,4087;0,2986;1,0;0,09334837000000001;1,0;0,087417625;-0,005930745000000015
5995;2020-02-08;T19-20;D1;Freiburg;Hoffenheim;1;0;1,0;2,0;0,2992;0,3263;0,3745;1,0;0,2851;0,3695;0,3455;0,0;0,11488544500000003;1,0;0,10029158499999999;-0,014593860000000042
45221;2020-02-08;T19-20;SP1;Ath Madrid;Granada;1;0;1,0;1,0;0,2453;0,604;0,1507;1,0;0,1193;0,8351;0,0456;1,0;0,041441290000000006;1,0;0,008155925000000005;-0,033285365
26627;2020-02-08;T19-20;F1;Marseille;Toulouse;1;0;1,0;1,0;0,1714;0,7336;0,095;1,0;0,1493;0,7846;0,0661;1,0;0,019201479999999996;1,0;0,01332985;-0,005871629999999996
45218;2020-02-08;T19-20;SP1;Levante;Leganes;2;0;1,0;1,0;0,2827;0,5134;0,2039;1,0;0,2987;0,4468;0,2546;1,0;0,060747249999999996;1,0;0,07699597;0,01624872
26628;2020-02-08;T19-20;F1;Amiens;Monaco;1;2;2,0;1,0;0,2701;0,3705;0,3595;2,0;0,2888;0,2972;0,414;0,0;0,24166118500000006;1,0;0,21340072000000004;-0,028260465000000012
16020;2020-02-08;T19-20;E0;Everton;Crystal Palace;3;1;1,0;1,0;0,2817;0,4765;0,2418;1,0;0,2495;0,585;0,1656;1,0;0,06891106500000001;1,0;0,04482025;-0,02409081500000001
