0;features;tabnet_owntop1_adv_comp_ss_sup_202406072117;tabnet_owntop1_comp_ss_sup_202406150937;tabnet_own_comp_rs_unsup_202405310904;tabnet_own_comp_ss_sup_202405232005;tabnet_own_simp_ss_sup_202405260830;tabnet_own_simp_ss_unsup_202406122130;tabnet_paper_ss_unsup_202406172147;COUNT;MEAN;
2;top6_A;0,162975493;;;;;;;1;0,162975493;MATCH_IMP
4;Points_365D_H;0,086120794;0,000427163;0,222533124;0,051854269;0,176729652;0,157011077;;6;0,115779347;OWN
20;S_365D_A;0,075580367;0;0;1,66E-05;;;;4;0,018899244;OWN
34;Side_15D_A;0,064529987;0;0;0,002820315;0,004075597;0;;6;0,011904317;OWN
6;pagerank_10_H;0,056962946;;;;;;;1;0,056962946;PAGERANK
43;FTG_rival_1825D_A;0,049740144;0;0;0,000457438;0;0,006190365;;6;0,009397991;
10;pagerank_1_A;0,045366677;;;;;;;1;0,045366677;PAGERANK
41;Y_15D_H;0,044901844;0;6,06E-05;4,08E-05;;;;4;0,011250812;OWN
19;down1_A;0,044245839;2,44E-06;;;;;;2;0,022124139;MATCH_IMP
1;rate_away;0,040909553;7,08E-05;;;;;0,578033291;3;0,206337878;PI_RATING
27;ST_60D_A;0,037322954;0,009901879;0,002980636;0,01097139;;;;4;0,015294215;OWN
5;Points_1825D_A;0,028533175;0,05257768;0,18042663;0,053739867;0,139458683;0;;6;0,075789339;OWN
56;ST_730D_H;0,024427678;5,69E-07;0;0;;;;4;0,006107062;
45;top4_A;0,017846024;5,12E-08;;;;;;2;0,008923038;
35;top1_H;0,0176274;0,006124218;;;;;;2;0,011875809;MATCH_IMP
26;down4_H;0,016761726;0,01502042;;;;;;2;0,015891073;MATCH_IMP
22;pagerank_5_A;0,016557965;;;;;;;1;0,016557965;PAGERANK
63;R_180D_A;0,016175319;0;0;0,003394482;;;;4;0,00489245;
69;Y_30D_H;0,016018707;0;0;0;;;;4;0,004004677;
77;Points_60D_H;0,015619129;4,06E-07;0;0,002135566;0;1,86E-06;;6;0,002959494;
70;Y_1825D_A;0,015244275;9,12E-07;0;0;;;;4;0,003811297;
17;ST_30D_H;0,013390891;1,01E-09;0,096673794;0;;;;4;0,027516172;OWN
71;ST_15D_A;0,013314451;5,24E-05;0,001019203;0;;;;4;0,003596516;
73;R_30D_A;0,012933836;0;0;0;;;;4;0,003233459;
84;Y_30D_A;0,009623497;0;4,81E-06;0;;;;4;0,002407076;
59;top4_H;0,007736431;0,003414629;;;;;;2;0,00557553;
87;F_15D_H;0,006721599;9,98E-05;0;0,001258539;;;;4;0,002019975;
83;FTG_180D_A;0,005510434;0,001672865;0,0008693;0;0,006240034;0,000264231;;6;0,002426144;
100;FTG_15D_A;0,004999262;0;0;0;0;0;;6;0,00083321;
92;C_365D_H;0,004112772;5,93E-08;0;0,000987051;;;;4;0,00127497;
68;pagerank_1_H;0,004102954;;;;;;;1;0,004102954;
88;down1_H;0,003342585;3,37E-06;;;;;;2;0,00167298;
16;FTG_rival_180D_H;0,003134674;2,02E-05;0;0,007949427;0,089952566;0,066696499;;6;0,027958891;OWN
102;F_30D_A;0,00303327;0;0;2,29E-05;;;;4;0,000764042;
81;top2_H;0,002936613;0,002471583;;;;;;2;0,002704098;
60;C_730D_H;0,001644109;4,78E-05;3,11E-06;0,020447036;;;;4;0,005535525;
113;C_60D_A;0,001501313;0;0;2,42E-05;;;;4;0,000381368;
96;Side_15D_H;0,001126549;0;0,00536536;5,26E-05;0;0;;6;0,001090753;
117;F_180D_A;0,001081894;0;0;0;;;;4;0,000270474;
7;FTG_1825D_H;0,000968534;0,029846308;0,009923869;0;0,167723986;0,13231435;;6;0,056796175;OWN
99;top5_A;0,000959726;0,000731838;;;;;;2;0,000845782;
122;FTG_rival_60D_A;0,000732171;0,000235421;0;0;0;3,42E-08;;6;0,000161271;
54;FTG_365D_A;0,000727978;0,030416631;0;0,000148098;0,005874374;0;;6;0,006194514;
46;C_180D_H;0,000402857;0,03428995;0;0;;;;4;0,008673202;
93;Points_30D_A;0,000335636;0;0,000314177;3,55E-08;0,001148101;0,005781359;;6;0,001263218;
125;S_60D_H;0,000286843;0,000182936;0;0;;;;4;0,000117445;
128;ST_730D_A;0,000284704;0;0;0;;;;4;7,12E-05;
50;ST_60D_H;0,000260306;0,00031134;0;0,027362296;;;;4;0,006983485;
129;Y_365D_H;0,000238424;0;0;0;;;;4;5,96E-05;
130;S_365D_H;0,000233402;0;0;0;;;;4;5,84E-05;
44;ST_180D_A;0,000150656;0;0;0,03644567;;;;4;0,009149081;
65;S_180D_H;0,000120611;0,018464123;0;0;;;;4;0,004646184;
138;Y_60D_H;7,34E-05;0;0;2,40E-06;;;;4;1,89E-05;
53;ST_365D_H;7,20E-05;0,011253684;0,013911598;0;;;;4;0,00630931;
141;Y_180D_H;5,72E-05;0;0;0;;;;4;1,43E-05;
101;FTG_15D_H;5,58E-05;1,71E-05;5,33E-06;0;0;0,004743931;;6;0,000803695;
98;R_730D_H;4,58E-05;0,003821577;0;0;;;;4;0,000966851;
47;Points_365D_A;3,96E-05;0,000246605;1,27E-06;0,046286132;0;0,003146323;;6;0,008286657;
148;S_15D_A;3,44E-05;0;0;0;;;;4;8,61E-06;
120;R_365D_H;3,27E-05;0,000264143;0;0,000550963;;;;4;0,000211944;
139;top1_A;2,92E-05;3,70E-11;;;;;;2;1,46E-05;
116;S_15D_H;2,85E-05;0,00126192;0;0;;;;4;0,000322594;
9;FTG_730D_H;2,65E-05;0,094126138;0;0,096535611;0,004077465;0,091293545;;6;0,047676542;OWN
