match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
26927;2021-02-21;T20-21;F1;Lens;Dijon;2;1;1,0;1;0,3137;0,402;0,2843
57764;2020-07-02;T19-20;SP2;Vallecano;Malaga;0;0;0,0;1;0,3137;0,402;0,2843
6215;2020-12-12;T20-21;D1;RB Leipzig;Werder Bremen;2;0;1,0;1;0,3137;0,402;0,2843
16407;2021-03-01;T20-21;E0;Everton;Southampton;1;0;1,0;1;0,3137;0,402;0,2843
6036;2020-03-08;T19-20;D1;Mainz;Fortuna Dusseldorf;1;1;0,0;1;0,3137;0,402;0,2843
26954;2021-03-10;T20-21;F1;Marseille;Rennes;1;0;1,0;1;0,3137;0,402;0,2843
5980;2020-01-25;T19-20;D1;Union Berlin;Augsburg;2;0;1,0;1;0,3137;0,402;0,2843
26792;2020-11-29;T20-21;F1;St Etienne;Lille;1;1;0,0;1;0,3137;0,402;0,2843
6303;2021-02-13;T20-21;D1;Werder Bremen;Freiburg;0;0;0,0;1;0,3137;0,402;0,2843
26923;2021-02-19;T20-21;F1;Brest;Lyon;2;3;2,0;1;0,3137;0,402;0,2843
26808;2020-12-13;T20-21;F1;Lorient;Nimes;3;0;1,0;1;0,3137;0,402;0,2843
26640;2020-02-15;T19-20;F1;Nimes;Angers;1;0;1,0;1;0,3137;0,402;0,2843
6221;2020-12-15;T20-21;D1;Stuttgart;Union Berlin;2;2;0,0;1;0,3137;0,402;0,2843
35125;2020-02-09;T19-20;I1;Parma;Lazio;0;1;2,0;1;0,3137;0,402;0,2843
57718;2020-06-17;T19-20;SP2;Vallecano;Fuenlabrada;1;0;1,0;1;0,3137;0,402;0,2843
58078;2021-02-07;T20-21;SP2;Malaga;Zaragoza;1;2;2,0;1;0,3137;0,402;0,2843
26853;2021-01-09;T20-21;F1;Bordeaux;Lorient;2;1;1,0;1;0,3137;0,402;0,2843
57703;2020-06-12;T19-20;SP2;Oviedo;Ponferradina;0;0;0,0;1;0,3137;0,402;0,2843
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,3137;0,402;0,2843
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,3137;0,402;0,2843
35361;2020-11-29;T20-21;I1;Milan;Fiorentina;2;0;1,0;1;0,3137;0,402;0,2843
16482;2021-05-01;T20-21;E0;Everton;Aston Villa;1;2;2,0;1;0,3137;0,402;0,2843
35450;2021-01-17;T20-21;I1;Crotone;Benevento;4;1;1,0;1;0,3137;0,402;0,2843
57960;2020-11-23;T20-21;SP2;Albacete;Almeria;1;2;2,0;1;0,3137;0,402;0,2843
6351;2021-03-21;T20-21;D1;Hoffenheim;Mainz;1;2;2,0;1;0,3137;0,402;0,2843
45605;2021-02-20;T20-21;SP1;Elche;Eibar;1;0;1,0;1;0,3137;0,402;0,2843
26998;2021-04-18;T20-21;F1;Paris SG;St Etienne;3;2;1,0;1;0,3137;0,402;0,2843
6013;2020-02-22;T19-20;D1;Hertha;FC Koln;0;5;2,0;1;0,3137;0,402;0,2843
26660;2020-02-29;T19-20;F1;Monaco;Reims;1;1;0,0;1;0,3137;0,402;0,2843
26835;2020-12-23;T20-21;F1;Nice;Lorient;2;2;0,0;1;0,3137;0,402;0,2843
6393;2021-04-24;T20-21;D1;Leverkusen;Ein Frankfurt;3;1;1,0;1;0,3137;0,402;0,2843
45701;2021-04-25;T20-21;SP1;Celta;Osasuna;2;1;1,0;1;0,3137;0,402;0,2843
26975;2021-04-03;T20-21;F1;Monaco;Metz;4;0;1,0;1;0,3137;0,402;0,2843
35091;2020-01-19;T19-20;I1;Brescia;Cagliari;2;2;0,0;1;0,3137;0,402;0,2843
45630;2021-03-07;T20-21;SP1;Huesca;Celta;3;4;2,0;1;0,3137;0,402;0,2843
6066;2020-05-30;T19-20;D1;Hertha;Augsburg;2;0;1,0;1;0,3137;0,402;0,2843
45661;2021-04-04;T20-21;SP1;Alaves;Celta;1;3;2,0;1;0,3137;0,402;0,2843
6166;2020-10-31;T20-21;D1;Augsburg;Mainz;3;1;1,0;1;0,3137;0,402;0,2843
6244;2021-01-03;T20-21;D1;Dortmund;Wolfsburg;2;0;1,0;1;0,3137;0,402;0,2843
45558;2021-01-20;T20-21;SP1;Betis;Celta;2;1;1,0;1;0,3137;0,402;0,2843
16048;2020-03-07;T19-20;E0;Liverpool;Bournemouth;2;1;1,0;1;0,3137;0,402;0,2843
6201;2020-12-04;T20-21;D1;Hertha;Union Berlin;3;1;1,0;1;0,3137;0,402;0,2843
6307;2021-02-15;T20-21;D1;Bayern Munich;Bielefeld;3;3;0,0;1;0,3137;0,402;0,2843
58047;2021-01-11;T20-21;SP2;Sp Gijon;Fuenlabrada;2;1;1,0;1;0,3137;0,402;0,2843
45653;2021-03-21;T20-21;SP1;Valencia;Granada;2;1;1,0;1;0,3137;0,402;0,2843
58112;2021-02-27;T20-21;SP2;Logrones;Mallorca;0;1;2,0;1;0,3137;0,402;0,2843
16366;2021-02-06;T20-21;E0;Burnley;Brighton;1;1;0,0;1;0,3137;0,402;0,2843
6079;2020-06-06;T19-20;D1;RB Leipzig;Paderborn;1;1;0,0;1;0,3137;0,402;0,2843
35569;2021-04-11;T20-21;I1;Inter;Cagliari;1;0;1,0;1;0,3137;0,402;0,2843
57685;2020-03-01;T19-20;SP2;La Coruna;Lugo;0;0;0,0;1;0,3137;0,402;0,2843
45472;2020-11-28;T20-21;SP1;Valencia;Ath Madrid;0;1;2,0;1;0,3137;0,402;0,2843
45556;2021-01-19;T20-21;SP1;Alaves;Sevilla;1;2;2,0;1;0,3137;0,402;0,2843
35152;2020-03-09;T19-20;I1;Sassuolo;Brescia;3;0;1,0;1;0,3137;0,402;0,2843
45518;2020-12-23;T20-21;SP1;Getafe;Celta;1;1;0,0;1;0,3137;0,402;0,2843
16032;2020-02-22;T19-20;E0;Crystal Palace;Newcastle;1;0;1,0;1;0,3137;0,402;0,2843
45613;2021-02-22;T20-21;SP1;Osasuna;Sevilla;0;2;2,0;1;0,3137;0,402;0,2843
16357;2021-02-02;T20-21;E0;Man United;Southampton;9;0;1,0;1;0,3137;0,402;0,2843
6374;2021-04-17;T20-21;D1;Freiburg;Schalke 04;4;0;1,0;1;0,3137;0,402;0,2843
16381;2021-02-14;T20-21;E0;Arsenal;Leeds;4;2;1,0;1;0,3137;0,402;0,2843
35428;2021-01-06;T20-21;I1;Crotone;Roma;1;3;2,0;1;0,3137;0,402;0,2843
35502;2021-02-21;T20-21;I1;Milan;Inter;0;3;2,0;1;0,3137;0,402;0,2843
6032;2020-03-07;T19-20;D1;Schalke 04;Hoffenheim;1;1;0,0;1;0,3137;0,402;0,2843
27032;2021-05-09;T20-21;F1;Strasbourg;Montpellier;2;3;2,0;1;0,3137;0,402;0,2843
45232;2020-02-16;T19-20;SP1;Sevilla;Espanol;2;2;0,0;1;0,3137;0,402;0,2843
