version;datetime;validation;test;bagging_fraction;bagging_freq;feature_fraction;gamma_pi;lambda_l1;lambda_l2;lamda;learning_rate;len_test;len_train;len_val;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_leaves;stopping_rounds
0;2024-05-26 16:42:44.335180;0,21023999999999998;0,484375;0,6000000000000001;0;0,2;0,15338220748707942;45;45;0,0953643644544718;0,5981923163022115;64;64;64;9;650;3,322681147981797;500;5;50
1;2024-05-26 16:42:44.757033;0,21023999999999998;;0,5;1;1,0;0,8429552311419906;20;75;0,08261374907919347;0,39040659086356283;64;64;64;17;250;5,415938739227915;100;525;50
2;2024-05-26 16:42:45.116207;0,21023999999999998;;0,8;0;0,9000000000000001;0,6465923896154862;100;65;0,050137866652907495;0,826145722407896;64;64;64;16;950;10,76475225735766;250;845;10
3;2024-05-26 16:42:45.365256;0,21023999999999998;;0,2;10;0,5;0,22524973124443376;40;5;0,0414350558035203;0,47293993234109166;64;64;64;5;850;12,824955957054161;500;85;20
4;2024-05-26 16:42:45.633300;0,21023999999999998;;1,0;0;0,7;0,26480185836962905;30;50;0,007382374366264306;0,8041791776957924;64;64;64;18;150;14,550274344075207;500;725;20
5;2024-05-26 16:42:45.893976;0,21023999999999998;;0,5;50;0,5;0,8460160614982136;100;55;0,08694641984908995;0,543904997470612;64;64;64;10;750;0,006006277503386448;250;665;50
6;2024-05-26 16:42:46.217089;0,21023999999999998;;0,2;50;0,7;0,37961199429638925;10;90;0,023269767084516765;0,6688249652543481;64;64;64;22;450;8,52134456456759;20;165;10
7;2024-05-26 16:42:46.466146;0,21023999999999998;;0,8;1;0,2;0,12750847845021435;45;0;0,04254117960519051;0,19929143417795306;64;64;64;13;750;0,2142173309867451;100;925;20
8;2024-05-26 16:42:46.748915;0,21023999999999998;;0,8;1;0,7;0,6222026105625891;35;40;0,06686760221033927;0,39337252329010886;64;64;64;13;350;3,6183509527384317;50;5;10
9;2024-05-26 16:42:47.032488;0,21023999999999998;;0,30000000000000004;50;0,5;0,44554619085630576;80;15;0,0314473253079753;0,8982532343517405;64;64;64;19;850;2,1400769184195894;20;605;50
10;2024-05-26 16:42:47.306989;0,21023999999999998;;0,6000000000000001;0;0,30000000000000004;0,05927590829338264;65;30;0,09793146520669638;0,028941472356600884;64;64;64;3;550;6,298865581331854;500;325;50
11;2024-05-26 16:42:47.676913;0,21023999999999998;;0,5;1;1,0;0,992324272140198;0;85;0,07787990061314962;0,35953731329153993;64;64;64;8;50;5,184474246787293;100;365;50
12;2024-05-26 16:42:48.271679;0,21023999999999998;;0,6000000000000001;10;0,30000000000000004;0,5485031261143898;20;70;0,09787742619111084;0,6568382837957734;64;64;64;25;250;4,340554818268192;100;465;50
13;2024-05-26 16:42:48.697198;0,21023999999999998;;0,4;1;0,9000000000000001;0,762871249783102;60;75;0,0668777945384882;0,31339652243697697;64;64;64;10;550;7,39415031260092;50;205;50
14;2024-05-26 16:42:49.091848;0,21023999999999998;;0,7;0;0,2;0,4017070956242803;20;30;0,07925439057958703;0,9784352332719275;64;64;64;15;350;3,0952346464669387;100;505;50
15;2024-05-26 16:42:49.478179;0,21023999999999998;;0,4;1;1,0;0,28767402901117134;55;100;0,09936377194966772;0,5517230819858157;64;64;64;8;1050;5,523686020042227;500;325;50
16;2024-05-26 16:42:49.865965;0,21023999999999998;;1,0;0;0,8;0,49367121175041795;75;55;0,06360044382280514;0,6837359171035252;64;64;64;20;650;7,732728086626267;100;525;50
17;2024-05-26 16:42:50.255138;0,21023999999999998;;0,5;10;0,4;0,1692081971376772;25;40;0,08634443432322443;0,21808139937521678;64;64;64;11;50;1,7786569391771017;500;785;50
18;2024-05-26 16:42:50.910876;0,21023999999999998;;0,7;0;0,8;0,33013819792763693;0;80;0,08735073977663049;0,43682276370933004;64;64;64;6;350;4,423968216810505;50;225;20
19;2024-05-26 16:42:51.277677;0,21023999999999998;;0,4;1;0,6000000000000001;0,053289262757533484;45;60;0,059171281581818835;0,5439918332136198;64;64;64;16;450;9,184684576178483;250;985;10
