match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;0;0,378;0,2457;0,3763
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;0;0,3678;0,3621;0,2701
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,2596;0,5821;0,1584
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,2801;0,2097;0,5102
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1369;0,8047;0,0584
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;0;0,3483;0,3359;0,3158
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2;0,1821;0,1242;0,6937
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2511;0,519;0,23
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2461;0,2385;0,5154
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,0844;0,8646;0,051
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2148;0,6616;0,1236
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2811;0,3846;0,3343
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2277;0,6233;0,1491
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2796;0,5918;0,1286
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;2;0,3546;0,2906;0,3548
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2812;0,4084;0,3105
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;2;0,3441;0,2915;0,3644
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,3633;0,2377;0,399
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,3089;0,5159;0,1752
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,2708;0,6069;0,1223
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,2911;0,2545;0,4544
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,2838;0,5994;0,1168
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,1918;0,1228;0,6854
56137;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,343;0,4988;0,1582
44315;2020-01-05;T19-20;SP1;Granada;Mallorca;1;0;1,0;1;0,2169;0,6779;0,1052
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2767;0,5313;0,192
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;0;0,3862;0,3652;0,2486
34313;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,1556;0,788;0,0564
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1,0;1;0,3113;0,48;0,2087
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;2;0,3094;0,3226;0,368
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0,0;1;0,309;0,3686;0,3224
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;2;0,3185;0,2363;0,4451
34311;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;2;0,2828;0,1596;0,5576
34310;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,1586;0,0932;0,7482
34314;2020-01-06;T19-20;I1;Bologna;Fiorentina;1;1;0,0;1;0,2597;0,4684;0,2718
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1;0,1728;0,7344;0,0927
34316;2020-01-06;T19-20;I1;Juventus;Cagliari;4;0;1,0;1;0,1028;0,8433;0,0539
34317;2020-01-06;T19-20;I1;Milan;Sampdoria;0;0;0,0;1;0,2061;0,7061;0,0878
34318;2020-01-06;T19-20;I1;Lecce;Udinese;0;1;2,0;0;0,3512;0,3147;0,3341
34319;2020-01-06;T19-20;I1;Napoli;Inter;1;3;2,0;2;0,2578;0,3076;0,4346
56140;2020-01-07;T19-20;SP2;Zaragoza;Sp Gijon;2;0;1,0;1;0,3132;0,5143;0,1725
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1;0,2752;0,6094;0,1154
26019;2020-01-10;T19-20;F1;Rennes;Marseille;0;1;2,0;1;0,3154;0,4054;0,2792
26024;2020-01-11;T19-20;F1;Nimes;Reims;2;0;1,0;2;0,2307;0,246;0,5233
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0,0;1;0,289;0,5478;0,1632
26023;2020-01-11;T19-20;F1;Metz;Strasbourg;1;0;1,0;1;0,3555;0,4274;0,2171
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;2;0,3404;0,2927;0,3669
26021;2020-01-11;T19-20;F1;Amiens;Montpellier;1;2;2,0;2;0,2033;0,2295;0,5672
26022;2020-01-11;T19-20;F1;Angers;Nice;1;1;0,0;1;0,2722;0,4554;0,2724
26020;2020-01-11;T19-20;F1;Bordeaux;Lyon;1;2;2,0;1;0,2792;0,4141;0,3067
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1;0,1116;0,81;0,0784
26025;2020-01-11;T19-20;F1;Toulouse;Brest;2;5;2,0;2;0,2585;0,2317;0,5098
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0,0;2;0,3084;0,3249;0,3667
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1;0,2863;0,526;0,1877
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1;0,2851;0,56;0,1549
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2,0;1;0,2819;0,5498;0,1684
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1;0,138;0,8015;0,0605
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0,0;1;0,3244;0,5206;0,1551
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;2;0,1956;0,2238;0,5805
26027;2020-01-12;T19-20;F1;Dijon;Lille;1;0;1,0;2;0,334;0,3122;0,3538
26028;2020-01-12;T19-20;F1;Paris SG;Monaco;3;3;0,0;1;0,1974;0,6912;0,1114
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2,0;2;0,2576;0,2827;0,4597
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2;0,1741;0,1332;0,6927
26026;2020-01-12;T19-20;F1;St Etienne;Nantes;0;2;2,0;1;0,3369;0,41;0,2531
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1,0;1;0,351;0,3594;0,2896
