val_loss,val_accuracy,rps,epoch,step,train_loss_epoch,train_accuracy_epoch,train_loss_step,train_accuracy_step
-58.12652587890625,0.234375,113.64872741699219,0,7,,,,
,,,0,7,-13.99482536315918,0.359375,,
-673.422119140625,0.234375,7214.2265625,1,15,,,,
,,,1,15,-247.37738037109375,0.46875,,
-3394.774658203125,0.234375,157159.03125,2,23,,,,
,,,2,23,-1703.81689453125,0.46875,,
-11294.220703125,0.234375,1613759.0,3,31,,,,
,,,3,31,-6834.0693359375,0.46875,,
-29251.8671875,0.234375,10339688.0,4,39,,,,
,,,4,39,-20009.896484375,0.46875,,
-64130.17578125,0.234375,48178968.0,5,47,,,,
,,,5,47,-47798.15234375,0.46875,,
,,,6,49,,,-77692.3125,0.5
-124886.515625,0.234375,178681888.0,6,55,,,,
,,,6,55,-99133.3828125,0.46875,,
-222649.671875,0.234375,558493824.0,7,63,,,,
,,,7,63,-185431.1875,0.46875,,
-370773.90625,0.234375,1528764416.0,8,71,,,,
,,,8,71,-320666.4375,0.46875,,
-584879.625,0.234375,3764842240.0,9,79,,,,
,,,9,79,-521430.03125,0.46875,,
