match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2583;0,2687;0,473
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,2805;0,2213;0,4982
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;1;0,3284;0,4187;0,2529
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2;0,2346;0,148;0,6174
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1584;0,7768;0,0647
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;1;0,366;0,3941;0,24
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,2978;0,5676;0,1347
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2849;0,5;0,2151
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;2;0,2962;0,2444;0,4594
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,0883;0,8842;0,0276
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2135;0,6852;0,1013
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2684;0,5867;0,1449
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2915;0,3741;0,3343
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,3444;0,3879;0,2677
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2777;0,4461;0,2762
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2178;0,6753;0,1069
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;0;0,3541;0,305;0,3409
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,3156;0,4744;0,21
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,3381;0,2627;0,3992
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,3156;0,2361;0,4482
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,3002;0,5964;0,1035
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,1629;0,0777;0,7593
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,2704;0,6148;0,1149
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2701;0,4921;0,2378
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,3107;0,4723;0,217
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;2;0,3258;0,3084;0,3658
34313;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,2314;0,6983;0,0703
34311;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;2;0,234;0,1434;0,6226
34310;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,179;0,0788;0,7422
