version;datetime;validation;test;bagging_fraction;bagging_freq;feature_fraction;gamma_pi;lambda_l1;lambda_l2;lamda;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_leaves;stopping_rounds
0;2024-01-09 00:03:48.340570;0,9221153862273315;;0,2;10;0,4;0,6862873845041763;45;75;0,0792872871389294;0,13969323811514006;21;1050;7,916288666627466;250;965;20
1;2024-01-09 00:05:09.503246;0,9081585338497733;;0,4;1;0,7;0,312158743735357;35;90;0,07632484014604483;0,7799009640287085;19;550;8,603193295917155;20;405;10
2;2024-01-09 00:06:29.415085;0,8944433263056928;;0,8;10;0,5;0,16601455258313808;60;30;0,05612292585900373;0,3528209922668134;13;750;0,4533558926464515;250;465;10
3;2024-01-09 00:07:50.856993;0,9016001110168675;;0,6000000000000001;0;0,6000000000000001;0,050076934683886465;55;30;0,050193059842491235;0,7273745109574429;11;650;10,790283769748637;20;265;20
4;2024-01-09 00:09:10.748969;0,8921147410147462;;0,9000000000000001;50;0,2;0,31966452941700463;25;50;0,07184757048387909;0,5976436894046149;10;150;6,486065607735335;50;885;10
5;2024-01-09 00:10:31.268180;0,895055352615306;;0,8;50;0,5;0,5612868495342309;0;40;0,02852118363867905;0,5034517268384572;21;950;10,17816521183712;500;165;50
6;2024-01-09 00:11:55.270812;0,9005206529179401;;0,30000000000000004;1;1,0;0,623923785195822;20;5;0,09461524578085079;0,5175688851673927;17;150;7,526476965043576;20;205;10
7;2024-01-09 00:13:14.531665;0,896521036050378;;0,6000000000000001;0;0,6000000000000001;0,9024656224788613;5;80;0,05156260289973709;0,724804353343687;20;950;11,234077449435086;50;125;20
8;2024-01-09 00:14:34.314815;0,8996494041922318;;1,0;1;0,7;0,533645628398869;30;70;0,08704435844408454;0,7715059056520017;25;150;14,634548205748258;20;285;20
9;2024-01-09 00:15:53.552293;0,8881973101117158;;0,7;0;0,5;0,6633634292267827;15;25;0,08386097142791099;0,2864581729118996;19;350;6,271872849186988;500;965;50
10;2024-01-09 00:17:17.220960;0,9044153418663747;;0,5;0;1,0;0,8332379936260285;85;10;0,0050166617747654865;0,9513189253623133;3;450;4,068035249033173;500;725;50
11;2024-01-09 00:18:39.148241;1,0196391508352682;;0,9000000000000001;50;0,2;0,31857146591966345;15;50;0,09687810368706007;0,004211016135476309;8;350;4,582143388040257;50;985;50
12;2024-01-09 00:20:02.184197;0,8924956803053681;;0,7;50;0,2;0,4187246763840041;25;55;0,07048406787951024;0,2983957635427383;7;50;5,335781785691475;100;785;50
13;2024-01-09 00:21:24.608519;0,8983022155410201;;1,0;0;0,30000000000000004;0,9915081191623948;80;20;0,09990568687739333;0,3664057215198906;15;350;5,692669842949617;500;725;10
14;2024-01-09 00:22:45.385290;0,9042998520901447;;0,8;50;0,8;0,7267655544383325;100;55;0,06857131866787262;0,5579272052592311;10;250;3,304198283240548;50;845;50
15;2024-01-09 00:24:07.659868;0,8931858255768056;;0,7;0;0,4;0,44248837015725295;45;40;0,08454187074124962;0,24995875710851878;25;50;6,354051728240739;100;605;10
16;2024-01-09 00:25:28.323284;0,8856890706026895;;0,9000000000000001;50;0,30000000000000004;0,7867721649704645;10;20;0,062213189021412825;0,4171218844709541;3;250;2,6441694635864663;500;885;50
17;2024-01-09 00:26:51.254818;0,8906538643435624;;0,5;10;0,4;0,7739214469223056;10;0;0,08426939991426062;0,43321578594100285;5;450;2,6502569277238175;500;625;50
18;2024-01-09 00:28:13.806613;0,8819970436268033;;0,7;0;0,30000000000000004;0,639981396270768;0;20;0,05887146329081569;0,19675650954265694;16;350;1,717238613213052;500;585;50
19;2024-01-09 00:29:40.290904;0,8834270464143199;;0,9000000000000001;50;0,30000000000000004;0,8452814782189582;0;15;0,06272692091650109;0,17879104477194532;14;750;0,19237853447066744;500;5;50
20;2024-01-09 00:31:11.448801;0,8841147960322434;;1,0;0;0,30000000000000004;0,8789840623586982;0;10;0,041048884293200444;0,17524840994923124;15;750;0,1975132725755253;500;565;50
21;2024-01-09 00:32:39.944859;0,8843212963341879;;1,0;0;0,30000000000000004;0,8753022235559853;0;10;0,042668426884388495;0,16331223932971695;15;750;0,770816180885745;500;585;50
22;2024-01-09 00:34:07.110968;0,8839087924880197;;0,9000000000000001;0;0,30000000000000004;0,9808437049737108;0;15;0,042665513177379;0,16184480538679455;17;750;0,03207997155437503;500;25;50
23;2024-01-09 00:35:36.520535;0,8889155528598008;;0,8;0;0,4;0,9782503185141312;35;15;0,06181136156032524;0,04722099351969761;17;850;1,4489285038538335;500;5;50
24;2024-01-09 00:37:14.018016;0,8829991738882633;;0,9000000000000001;0;0,2;0,749671374696022;10;0;0,061218425517140504;0,06179531765428049;13;650;1,6974562141911596;500;25;50
25;2024-01-09 00:38:51.103145;0,8858021540494357;;0,7;50;0,2;0,7285920787395858;10;0;0,06443050275783818;0,07275858431380966;13;650;1,9407404964425892;500;85;50
26;2024-01-09 00:40:25.536743;0,8867880621296242;;0,9000000000000001;1;0,2;0,6106239881662568;20;35;0,05849513485608676;0,09066220116099907;12;550;1,6105254562989317;100;385;50
27;2024-01-09 00:41:50.694704;0,8875848347363007;;0,8;10;0,30000000000000004;0,793320649135694;10;0;0,06648093170945055;0,22946574529001085;8;650;3,5309701285287574;250;325;50
28;2024-01-09 00:43:13.908875;0,8940192972049912;;0,5;0;0,4;0,6841545171316611;75;100;0,07312472335185907;0,027583223658413245;14;550;1,451958136631803;500;85;50
29;2024-01-09 00:44:53.896335;0,8972546200321695;;0,6000000000000001;10;0,9000000000000001;0,700311694158776;45;65;0,0765106438581942;0,13199109451894625;23;1050;2,48198769213326;250;485;20
30;2024-01-09 00:46:17.309477;0,9240035127754689;;0,2;50;0,5;0,625758431115464;65;20;0,05669247801029037;0,11318951937656446;17;850;3,9870044545062244;500;205;50
31;2024-01-09 00:47:39.204711;0,8835081414411246;;0,9000000000000001;0;0,30000000000000004;0,9303999770416912;0;15;0,04907017819588707;0,1955088106672285;17;850;0,13068569152078713;500;5;50
32;2024-01-09 00:49:09.978212;0,8855025079427028;;0,9000000000000001;0;0,4;0,9141877915543412;5;25;0,05084411126847265;0,21475591643670267;19;850;1,0591742597583709;500;5;50
33;2024-01-09 00:50:36.189676;0,883328785040864;;0,8;0;0,2;0,8501356508006563;5;5;0,0647742288786454;0,09950085255606893;16;650;0,02321241935774987;500;85;50
34;2024-01-09 00:52:11.675940;0,8843041743369208;;0,8;0;0,2;0,8282252069150148;20;5;0,07709335641366559;0,09892966971081736;13;650;1,1991131042937404;250;85;20
35;2024-01-09 00:53:40.683003;0,8867691224967794;;0,7;0;0,2;0,833692522368742;35;5;0,06673168204272592;0,060923809303509324;11;450;2,14107463666792;500;425;50
36;2024-01-09 00:55:17.717131;1,0274950124743056;;0,8;1;0,2;0,765585231400827;5;30;0,06011210982695163;0,007861087913139803;15;550;0,7937026638705147;20;165;50
37;2024-01-09 00:56:39.986657;0,8879392478286452;;0,7;10;0,30000000000000004;0,7290271266480421;15;0;0,056846255684833515;0,1266588461321936;12;650;2,996321775340591;500;245;10
38;2024-01-09 00:58:06.164697;0,8883133456808132;;0,8;0;0,4;0,6613015741009025;25;10;0,07235693740525345;0,26926698239112845;16;750;1,9763148042354894;100;65;50
39;2024-01-09 00:59:29.208244;0,8900286038725609;;0,6000000000000001;50;0,7;0,5707529258072849;5;40;0,06344532454752977;0,20248282630379796;19;450;0,051524287183167566;500;345;20
40;2024-01-09 01:00:54.797085;0,8861717411542024;;1,0;1;0,5;0,8594887003388848;15;25;0,05463243759856691;0,31095567077190434;22;550;0,9955110387223296;20;525;10
41;2024-01-09 01:02:16.270976;0,8863746199973368;;0,9000000000000001;0;0,30000000000000004;0,9323769318341861;0;15;0,04830556639358245;0,2046995972478971;18;950;0,09839465780818459;500;165;50
42;2024-01-09 01:03:43.567525;0,8842960210257367;;0,9000000000000001;0;0,2;0,9279282551693678;5;5;0,06702150860594004;0,14637234035334212;14;850;0,7840040799252216;500;45;50
43;2024-01-09 01:05:12.060470;0,8822868365062353;;0,8;0;0,30000000000000004;0,8142153569020005;0;15;0,054759739121584675;0,06886995149268396;16;650;1,8797700522045162;500;125;50
44;2024-01-09 01:06:43.457954;0,895831265948358;;0,8;0;0,2;0,8174701308793921;10;30;0,05891897697541053;0,05521381132598932;16;650;2,046877258673643;50;145;50
45;2024-01-09 01:08:06.445430;0,8882204727148778;;0,7;0;0,6000000000000001;0,7528569061922744;30;5;0,0537595735947081;0,08916836668923746;11;550;2,9460687693129572;500;125;50
46;2024-01-09 01:09:33.685336;0,8821688711751069;;0,8;0;0,30000000000000004;0,8081263074267226;5;20;0,07080044232490423;0,02798550346852205;13;650;1,558537642482345;500;685;50
47;2024-01-09 01:11:23.214717;0,9126163086461399;;0,6000000000000001;0;0,4;0,8011484221524747;55;20;0,07220582835403092;0,00389758451259151;12;650;3,6778649599845217;500;685;20
48;2024-01-09 01:13:18.612453;0,9392905225155903;;0,8;0;0,2;0,7112186983959906;15;25;0,08066726896747022;0,04708285853563127;16;450;4,49269758991132;20;765;50
49;2024-01-09 01:14:40.499048;0,8868881079848959;;0,7;0;0,30000000000000004;0,7497841950192037;20;35;0,07517382326813168;0,11803661145945307;20;250;3,237960929276632;50;665;10
50;2024-01-09 01:16:03.479959;0,9290055915635491;;0,8;0;0,5;0,7955716623293521;5;80;0,07046428898259384;0,004333721846436114;10;350;2,4010621198609603;250;225;50
