version;datetime;validation;test;bagging_fraction;bagging_freq;feature_fraction;gamma_pi;lambda_l1;lambda_l2;lamda;learning_rate;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_leaves;stopping_rounds
0;2024-01-09 13:05:16.752475;0,8985849512175703;;0,4;0;0,4;0,3913670120728298;25;0;0,08562582680271423;0,5515208750256693;24;1050;14,645821534337557;500;205;50
1;2024-01-09 13:06:38.917740;0,8950075871178251;;1,0;50;0,8;0,8237557641289991;95;70;0,056492149255970764;0,10213017711850524;11;950;0,1750146185107876;500;65;50
2;2024-01-09 13:08:08.031952;0,8882030258293512;;0,2;0;0,8;0,7211585431903509;30;10;0,07975035124577352;0,20326105280427728;7;1050;0,1815898531995075;100;845;50
3;2024-01-09 13:09:36.491112;0,9382612303185095;;0,30000000000000004;50;0,8;0,5507630554813278;75;70;0,013323777476151696;0,10439948941039923;24;550;7,774738991480762;20;545;10
4;2024-01-09 13:10:57.181693;0,8923024193932282;;0,30000000000000004;0;0,8;0,15275041750767387;35;50;0,07674887901906421;0,2302031434805742;16;150;5,622437670385269;20;345;20
5;2024-01-09 13:12:17.405944;0,9264592016948112;;0,2;50;0,5;0,2207459223981032;20;5;0,005221861254845435;0,9474171898035852;7;950;14,184182208817898;250;805;50
6;2024-01-09 13:13:38.107902;0,8968848151865633;;0,8;10;0,4;0,8817943272107558;10;55;0,03860501346050198;0,7122387636290473;3;150;12,96118569044494;100;45;50
7;2024-01-09 13:15:00.179436;0,8935798313648595;;0,9000000000000001;10;0,8;0,5364260529881028;0;80;0,05490638021417947;0,4980859891483605;9;850;5,918009776864584;500;485;20
8;2024-01-09 13:16:22.583128;0,8886009044249812;;0,8;50;1,0;0,10397521301207138;5;10;0,07689683185547516;0,35318826056513664;18;350;4,518218963116209;250;325;50
9;2024-01-09 13:17:46.185010;0,8963476123598715;;0,9000000000000001;0;0,6000000000000001;0,12859615912383507;40;100;0,06289963616780846;0,596090457286002;11;250;7,474551521248577;50;545;20
10;2024-01-09 13:19:08.583721;0,9507735538221566;;0,5;1;0,2;0,759930070069877;60;30;0,09883118293650527;0,012011596345002706;3;650;0,2339940065003399;100;985;10
11;2024-01-09 13:20:32.424614;0,8878820638141521;;0,7;1;1,0;0,6785461279126939;5;20;0,0786953083205298;0,34949254603506197;17;450;3,1083646318163303;250;725;50
12;2024-01-09 13:21:57.854115;0,8966345058838927;;0,6000000000000001;1;1,0;0,6983106506679118;60;25;0,09697142205032169;0,30540327538002526;19;550;2,2652773951731238;100;745;50
13;2024-01-09 13:23:24.225838;0,8922946660672579;;0,6000000000000001;1;1,0;0,993969508331838;20;25;0,07291433886193037;0,3777813514275594;14;750;2,7051342253140818;250;785;50
14;2024-01-09 13:24:53.189858;0,8945788786315358;;0,5;1;0,9000000000000001;0,661540485150933;35;40;0,08782298813235757;0,2248768487607023;20;350;2,567719341883582;50;965;50
15;2024-01-09 13:26:18.861762;0,8908067167730049;;0,2;0;0,7;0,6421533761414813;50;15;0,06949790564779075;0,4395736656774822;14;450;0,3690879956467974;100;645;10
16;2024-01-09 13:27:40.730675;0,8892734366644655;;0,7;1;0,9000000000000001;0,43753358894060773;15;15;0,08421185319873878;0,24304793256316837;6;750;2,0270073222742164;250;865;50
17;2024-01-09 13:29:08.301227;0,885374350883222;;0,7;0;0,7;0,7890322735247896;0;40;0,041421152004451005;0,15986927191266936;11;450;4,0406709073880585;100;685;50
18;2024-01-09 13:30:33.375744;0,8859361840802832;;0,7;10;0,6000000000000001;0,8587298335262514;0;40;0,04409111022905104;0,39758598340905704;21;50;4,038248861013969;250;685;20
19;2024-01-09 13:31:56.048599;1,0184410605296992;;0,7;10;0,6000000000000001;0,93499097158101;0;45;0,03993068181401426;0,009319863169557352;21;50;4,469407249525159;20;665;20
