datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor_flag;learning_rate;method;mode;n_units_l1;num_hidden_layers;optim;scaler
2023-12-19 23:27:03.033813;0,4492533206939697;;relu;;;32;10,0;0,6451072734662383;False;0,003914733832951886;pca;dropout;8;1;sgd;maxabs
2023-12-19 23:33:01.125236;0,3339325189590454;;relu;0,3298869522664893;0,4670171664850061;32;;;True;0,21443317820504745;;vanilla;9;3;adam;normalizer
2023-12-19 23:35:34.510524;0,3250829577445984;;selu;0,8446021187577364;0,9576971939866439;64;;;True;0,0016251884623899664;;vanilla;20;5;adam;maxabs
2023-12-19 23:36:58.737880;0,33388522267341614;;relu;0,1366368214355027;0,28968736297265074;16;;0,6942623601691655;False;0,007147383623590827;;dropout;29;5;adam;maxabs
2023-12-19 23:41:59.555020;0,3250558078289032;;leaky_relu;;;256;;;True;0,08010156951906472;;vanilla;26;2;sgd;normalizer
2023-12-19 23:42:27.656538;0,4295479953289032;;relu;;;256;37,0;;False;0,004524514787194162;anova;batchnorm;23;3;sgd;normalizer
2023-12-19 23:43:05.284364;0,4532645046710968;;leaky_relu;0,23695923012787848;0,4820773260311494;256;;0,4291116992650239;True;0,0069558379988175585;;dropout;19;1;adam;normalizer
2023-12-19 23:43:34.698435;0,3406808078289032;;leaky_relu;0,9414490397320215;0,28189447367373366;128;43,0;0,6164537500247417;True;0,02023290176977116;pca;dropout;25;5;adam;maxabs
2023-12-19 23:44:22.352809;0,4603794515132904;;leaky_relu;0,25085190811293656;0,5416000434344814;256;18,0;0,5396632085834049;False;0,0038751819857340162;anova;dropout;6;3;adam;normalizer
2023-12-19 23:45:03.939657;0,35899558663368225;;relu;;;16;;;True;0,0014510593165033415;;batchnorm;9;3;sgd;maxabs
2023-12-19 23:51:13.941058;0,3409845232963562;;selu;0,013611629002913739;0,7727612019985319;64;14,0;0,15157962968504732;False;0,5425380994936232;anova;dropout;3;4;adam;minmax
2023-12-19 23:52:35.204463;0,4684709906578064;;leaky_relu;0,36532273990684083;0,615508950431297;256;26,0;0,4305197022525411;False;0,01635250423157889;anova;dropout;16;1;adam;normalizer
2023-12-19 23:53:09.372086;0,4642857015132904;;leaky_relu;0,4641959314338969;0,6532812741000232;256;23,0;0,4497893417529723;False;0,018789535912872583;anova;dropout;14;2;adam;normalizer
2023-12-19 23:53:45.140018;0,4446149468421936;;leaky_relu;0,5244220167960183;0,6991314722715318;256;28,0;0,36913474822266656;False;0,026462385918073955;anova;dropout;14;2;adam;minmax
2023-12-19 23:54:13.761574;0,3929966390132904;;leaky_relu;0,5070282980932757;0,026280616938098134;128;26,0;0,4092149662383906;False;0,06310534089161643;anova;dropout;15;2;adam;normalizer
2023-12-19 23:55:10.041233;0,4603794515132904;;leaky_relu;0,41756343740422447;0,7301272464594025;256;27,0;;False;0,018210022157098726;anova;batchnorm;13;1;adam;normalizer
2023-12-19 23:56:16.667417;0,4640066921710968;;leaky_relu;0,5534675169190151;0,9710927717816908;256;19,0;0,49168708534311606;False;0,013135010017359318;anova;dropout;19;2;adam;normalizer
2023-12-19 23:57:11.592296;0,4768415093421936;;selu;0,657765819028199;0,6339320864579442;256;35,0;0,30271426689390074;False;0,04309705440802214;anova;dropout;12;1;adam;minmax
2023-12-19 23:57:41.691888;0,40445244312286377;;selu;;;32;35,0;;False;0,051942339810022255;pca;batchnorm;11;1;sgd;minmax
2023-12-20 00:01:06.975751;0,3409845232963562;;selu;0,6866118123911938;0,8278667794288697;64;48,0;;False;0,13604502648875488;anova;vanilla;18;4;adam;minmax
