match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2851;0,263;0,4518
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,315;0,3956;0,2894
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3021;0,3096;0,3883
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2756;0,5994;0,1249
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3075;0,3696;0,323
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2903;0,2821;0,4276
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2975;0,3058;0,3967
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3178;0,4082;0,274
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3033;0,3176;0,3791
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2808;0,5827;0,1365
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3182;0,3908;0,291
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3113;0,4568;0,2319
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3143;0,4023;0,2834
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,3072;0,3311;0,3617
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3131;0,4644;0,2225
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,302;0,3321;0,3659
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3134;0,3903;0,2963
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3049;0,3707;0,3244
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3139;0,4112;0,2749
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2761;0,2533;0,4706
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,3121;0,4869;0,201
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2797;0,2621;0,4582
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3114;0,4386;0,25
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;2;0,3142;0,3423;0,3435
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3108;0,4053;0,2839
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3153;0,3621;0,3226
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3155;0,3708;0,3137
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3102;0,4109;0,2788
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3059;0,3577;0,3364
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,2935;0,5559;0,1506
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3161;0,395;0,2889
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,305;0,3944;0,3006
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,3004;0,3729;0,3267
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,2983;0,3139;0,3877
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2838;0,2766;0,4396
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,3129;0,4557;0,2314
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,3065;0,4895;0,204
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,3145;0,4657;0,2198
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2983;0,5508;0,1508
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,3009;0,3261;0,373
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,3031;0,541;0,1559
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3167;0,4201;0,2632
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3168;0,3974;0,2858
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,2621;0,2317;0,5062
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,3161;0,3546;0,3293
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,3179;0,4471;0,2349
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,3196;0,4528;0,2276
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3159;0,3774;0,3067
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,2999;0,3387;0,3614
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,3201;0,4025;0,2773
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3088;0,3688;0,3224
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3137;0,4077;0,2786
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,3101;0,3541;0,3358
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,3165;0,4094;0,2741
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,314;0,431;0,2551
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,3086;0,4883;0,2031
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,3121;0,4394;0,2484
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,3067;0,3233;0,37
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,2778;0,2586;0,4637
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,3079;0,3568;0,3352
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,3109;0,3541;0,335
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3177;0,4333;0,2491
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,3136;0,4493;0,2371
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,3109;0,4361;0,253
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;2;0,3068;0,3301;0,3631
56152;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,3087;0,3899;0,3014
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,3012;0,5048;0,194
