match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2049;0,2321;0,563
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2659;0,5058;0,2283
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2554;0,3573;0,3873
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1454;0,8218;0,0328
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2473;0,3648;0,388
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2334;0,302;0,4646
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2346;0,3018;0,4636
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2727;0,47;0,2574
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2351;0,2914;0,4736
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1471;0,8195;0,0333
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2744;0,493;0,2326
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2388;0,6189;0,1423
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,27;0,5163;0,2137
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,258;0,3702;0,3718
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2342;0,6435;0,1223
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,2577;0,3612;0,3811
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,263;0,479;0,2581
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2676;0,4425;0,2899
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2694;0,4681;0,2626
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1485;0,1145;0,737
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2094;0,7025;0,088
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,177;0,1706;0,6524
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2536;0,5683;0,1781
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,265;0,4146;0,3204
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2656;0,5219;0,2125
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2646;0,3939;0,3415
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2635;0,4653;0,2712
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,26;0,5143;0,2257
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2644;0,4222;0,3134
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1485;0,8194;0,0321
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2653;0,5075;0,2272
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2608;0,4491;0,2901
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2578;0,4858;0,2565
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,2396;0,3024;0,458
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2009;0,2289;0,5702
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2246;0,6656;0,1098
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2224;0,6754;0,1022
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2455;0,6062;0,1483
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1869;0,7554;0,0578
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,2553;0,3817;0,363
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1729;0,7783;0,0488
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2688;0,5089;0,2223
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2727;0,4629;0,2645
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1387;0,1033;0,758
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2699;0,456;0,2741
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,245;0,6113;0,1437
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2416;0,627;0,1314
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2612;0,5618;0,177
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,2517;0,4982;0,2501
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2707;0,4736;0,2557
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2641;0,4565;0,2794
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2669;0,5151;0,218
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,2703;0,4532;0,2766
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2614;0,5429;0,1957
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2552;0,5739;0,1709
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,219;0,6842;0,0969
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2589;0,5557;0,1855
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2506;0,3272;0,4222
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,202;0,2477;0,5503
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,2669;0,4301;0,303
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2677;0,4405;0,2918
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2552;0,5789;0,1659
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2552;0,5653;0,1795
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2384;0,6314;0,1302
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,2619;0,41;0,3281
56152;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,2697;0,4473;0,283
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1947;0,7221;0,0832
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,2352;0,6221;0,1427
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2577;0,5522;0,1901
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,1886;0,7413;0,07
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,2653;0,448;0,2867
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,2591;0,3796;0,3613
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,2273;0,2802;0,4926
34331;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,2654;0,4219;0,3126
56153;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,2642;0,498;0,2378
15778;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;2;0,1854;0,1773;0,6373
15772;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,2637;0,526;0,2104
34330;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;1;0,1878;0,746;0,0662
15773;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,256;0,5542;0,1898
15771;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;2;0,2259;0,2759;0,4983
15775;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1;1;0,2668;0,4366;0,2966
15776;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2;1;0,2646;0,4265;0,3088
15777;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0;1;0,2592;0,3923;0,3485
15774;2020-01-18;T19-20;E0;Man City;Crystal Palace;2;2;0;1;0,1269;0,8518;0,0213
44326;2020-01-19;T19-20;SP1;Villarreal;Espanol;1;2;2;1;0,2343;0,6423;0,1234
56161;2020-01-19;T19-20;SP2;Tenerife;Girona;1;0;1;1;0,2657;0,4518;0,2825
56160;2020-01-19;T19-20;SP2;Extremadura;Almeria;1;2;2;1;0,2596;0,3714;0,369
56159;2020-01-19;T19-20;SP2;Santander;Las Palmas;1;1;0;1;0,2628;0,4373;0,2999
56158;2020-01-19;T19-20;SP2;Oviedo;Huesca;1;1;0;2;0,2574;0,3698;0,3727
56156;2020-01-19;T19-20;SP2;Elche;Alcorcon;1;1;0;1;0,2669;0,496;0,2371
44328;2020-01-19;T19-20;SP1;Barcelona;Granada;1;0;1;1;0,14;0,8316;0,0284
44325;2020-01-19;T19-20;SP1;Betis;Sociedad;3;0;1;1;0,263;0,4545;0,2825
56157;2020-01-19;T19-20;SP2;La Coruna;Cadiz;1;0;1;1;0,2645;0,4285;0,307
34338;2020-01-19;T19-20;I1;Juventus;Parma;2;1;1;1;0,1417;0,8311;0,0271
34337;2020-01-19;T19-20;I1;Genoa;Roma;1;3;2;2;0,1671;0,1489;0,684
34336;2020-01-19;T19-20;I1;Lecce;Inter;1;1;0;2;0,1836;0,1826;0,6338
34335;2020-01-19;T19-20;I1;Brescia;Cagliari;2;2;0;1;0,2672;0,4178;0,315
34334;2020-01-19;T19-20;I1;Bologna;Verona;1;1;0;1;0,2412;0,6162;0,1425
34333;2020-01-19;T19-20;I1;Milan;Udinese;3;2;1;1;0,2123;0,708;0,0797
15780;2020-01-19;T19-20;E0;Liverpool;Man United;2;0;1;1;0,1955;0,7211;0,0834
15779;2020-01-19;T19-20;E0;Burnley;Leicester;2;1;1;2;0,1989;0,2031;0,598
44324;2020-01-19;T19-20;SP1;Mallorca;Valencia;4;1;1;2;0,2292;0,261;0,5098
34339;2020-01-20;T19-20;I1;Atalanta;Spal;1;2;2;1;0,1346;0,8403;0,025
15786;2020-01-21;T19-20;E0;Chelsea;Arsenal;2;2;0;1;0,2341;0,6234;0,1426
15785;2020-01-21;T19-20;E0;Sheffield United;Man City;0;1;2;2;0,1516;0,1244;0,7241
15784;2020-01-21;T19-20;E0;Everton;Newcastle;2;2;0;1;0,2308;0,654;0,1152
