version;datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-01-13 17:10:44.014850;0,45998474955558777;;relu;;;64;;;4,0;True;maxabs;0,003198593974958609;2631;17667;5269;;batchnorm;0,050165397329157556;14;;;;;;True;1;sgd;minmax
1;2024-01-13 17:11:42.777648;0,5222942233085632;;relu;;;128;;;90,0;True;normalizer;0,08280915969638332;2631;17667;5269;;vanilla;0,015063122731685188;11;29,0;;;;;False;2;sgd;minmax
2;2024-01-13 17:12:17.457123;0,2515625059604645;;relu;0,41264413043308773;0,9052338316478155;256;25,0;0,49818244462926853;8,0;True;minmax;0,07102494516080492;2631;17667;5269;anova;dropout;;5;17,0;;;;;;2;adam;minmax
3;2024-01-13 17:12:37.439904;0,46210938692092896;;selu;0,9220817450942976;0,15421932810026373;256;9,0;0,2373907034695949;7,0;True;minmax;0,04717322165896634;2631;17667;5269;anova;dropout;;16;13,0;4,0;;;;;3;adam;minmax
4;2024-01-13 17:12:59.349108;0,5292553305625916;;selu;0,6128951718700753;0,8387533458747596;16;22,0;0,18193967903477298;;False;;0,018497760933767426;2631;17667;5269;anova;dropout;;22;27,0;15,0;;;;;3;adam;maxabs
5;2024-01-13 17:17:00.746050;0,4594131112098694;;selu;0,04188279929825107;0,374595150024885;32;27,0;;;False;;0,6910473341506078;2631;17667;5269;anova;vanilla;;5;12,0;;;;;;2;adam;normalizer
6;2024-01-13 17:18:49.946624;0,5135289430618286;;relu;0,8997323304094872;0,5444015010271032;32;;;;False;;0,0038996365323944408;2631;17667;5269;;batchnorm;;18;11,0;17,0;21,0;;;;4;adam;maxabs
7;2024-01-13 17:20:55.748599;0,4594131112098694;;selu;0,6891357094602595;0,46017679603367945;32;24,0;0,5065472862263627;;False;;0,933202972206921;2631;17667;5269;pca;dropout;;3;;;;;;;1;adam;minmax
8;2024-01-13 17:23:02.829656;0,46210938692092896;;relu;0,012715643678268397;0,35830325943776636;256;;;;False;;0,3516744452544932;2631;17667;5269;;batchnorm;;28;27,0;;;;;;2;adam;normalizer
9;2024-01-13 17:23:30.984255;0,2515625059604645;;leaky_relu;;;256;5,0;;1,0;True;maxabs;0,9870583293104349;2631;17667;5269;anova;vanilla;0,4938896420471679;22;17,0;;;;0,0938855194559471;False;2;sgd;normalizer
10;2024-01-13 17:23:52.282707;0,4597264528274536;;leaky_relu;;;16;16,0;0,10080278911798324;;False;;0,012174161371443847;2631;17667;5269;pca;dropout;0,0013383389925734027;28;24,0;27,0;3,0;18,0;0,0023922563816439132;True;5;sgd;maxabs
11;2024-01-13 17:27:40.539577;0,5217225551605225;;selu;;;128;;;100,0;True;normalizer;0,016423098060990432;2631;17667;5269;;vanilla;0,007480067368468916;11;30,0;12,0;;;;False;3;sgd;maxabs
12;2024-01-13 17:28:20.042717;0,5260258316993713;;relu;;;16;17,0;;;False;;0,13271948327920627;2631;17667;5269;anova;vanilla;0,03762442878972191;22;22,0;18,0;30,0;;;False;4;sgd;maxabs
13;2024-01-13 17:31:53.278617;0,5298252105712891;;selu;;;16;17,0;;;False;;0,0010628677442812693;2631;17667;5269;anova;vanilla;0,17079208401408075;23;21,0;19,0;30,0;;;False;4;sgd;maxabs
14;2024-01-13 17:36:34.711373;0,4597264528274536;;selu;0,4997978382456149;0,9252839030856987;16;20,0;0,6917744091734308;;False;;0,0010447386084738786;2631;17667;5269;anova;dropout;;23;5,0;23,0;30,0;;;;4;adam;maxabs
15;2024-01-13 17:40:31.315731;0,5153875350952148;;selu;;;16;12,0;0,2552442959650793;;False;;0,0010169187951391886;2631;17667;5269;anova;dropout;0,4458301135592353;25;21,0;11,0;15,0;3,0;;False;5;sgd;maxabs
16;2024-01-13 17:48:36.833061;0,5191869139671326;;selu;0,6714556126602668;0,7170246532829057;16;21,0;;;False;;0,023554276051214445;2631;17667;5269;pca;vanilla;;19;25,0;21,0;19,0;;;;4;adam;maxabs
17;2024-01-13 17:53:53.774946;0,4594131112098694;;leaky_relu;;;64;13,0;0,11246889766794552;;False;;0,007282671658331563;2631;17667;5269;anova;dropout;0,13517070180972454;25;20,0;11,0;;;0,05031255735402426;True;3;sgd;maxabs
18;2024-01-13 17:54:51.487376;0,5300151705741882;;selu;;;16;30,0;;;False;;0,026623046126503187;2631;17667;5269;anova;vanilla;0,7371425111794926;30;26,0;29,0;10,0;30,0;;False;5;sgd;maxabs
19;2024-01-13 17:58:29.990337;0,4597264528274536;;selu;;;16;27,0;;;False;;0,03499491070679858;2631;17667;5269;anova;vanilla;0,9879643587726482;30;19,0;30,0;7,0;30,0;;False;5;sgd;maxabs
20;2024-01-13 18:02:08.940301;0,5191869139671326;;selu;;;16;29,0;;;False;;0,007863750707732039;2631;17667;5269;pca;vanilla;0,2856511260519186;29;23,0;26,0;11,0;30,0;;False;5;sgd;normalizer
21;2024-01-13 18:06:17.603893;0,5271656513214111;;selu;;;16;22,0;;;False;;0,019053554316852718;2631;17667;5269;anova;vanilla;0,1423516816461756;26;27,0;14,0;24,0;;;False;4;sgd;maxabs
22;2024-01-13 18:09:51.665409;0,5334346294403076;;selu;;;16;30,0;;;False;;0,03503765612224835;2631;17667;5269;anova;vanilla;0,9571290589679484;20;26,0;21,0;;;;False;3;sgd;maxabs
23;2024-01-13 18:13:21.335309;0,2522796392440796;;selu;;;16;29,0;;;False;;0,03784727156313633;2631;17667;5269;anova;vanilla;0,9919712383023267;19;25,0;22,0;13,0;19,0;;False;5;sgd;maxabs
24;2024-01-13 18:16:59.140185;0,5332446694374084;;selu;;;16;30,0;;;False;;0,14564527842034417;2631;17667;5269;anova;vanilla;0,2354741525993827;15;30,0;30,0;9,0;;;False;4;sgd;maxabs
25;2024-01-13 18:20:38.969012;0,4597264528274536;;leaky_relu;;;16;30,0;;;False;;0,14911636187258528;2631;17667;5269;anova;vanilla;0,9670325347201107;10;30,0;30,0;8,0;;0,005590223028973135;False;4;sgd;maxabs
