datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 18:50:24.725473;0,5127667784690857;;leaky_relu;128;False;0,001278626514476353;;dropout;;26;;;;1;adam;maxabs
2023-12-19 18:51:04.066315;0,4594131112098694;;selu;32;False;0,0015643077161259188;pca;dropout;0,6391016604840736;19;17,0;12,0;True;5;sgd;maxabs
2023-12-19 18:52:52.414567;0,4594131112098694;;selu;128;False;0,008155798792529844;anova;dropout;0,007206567865409675;9;6,0;11,0;False;5;sgd;minmax
2023-12-19 18:53:25.922860;0,5302051901817322;;selu;16;False;0,6875024315746125;;vanilla;0,03506479996134949;16;29,0;8,0;True;4;sgd;maxabs
2023-12-19 18:57:02.776060;0,3012576103210449;;selu;128;True;0,014844151467560783;pca;batchnorm;0,0024830362101424916;19;18,0;17,0;True;5;sgd;maxabs
2023-12-19 18:57:47.771344;0,2522865831851959;;selu;64;True;0,11829468184207152;pca;dropout;0,001177200005585744;19;7,0;29,0;True;4;sgd;minmax
2023-12-19 18:58:46.209256;0,2522796392440796;;relu;16;False;0,2578399933678763;pca;dropout;;14;22,0;28,0;;5;adam;normalizer
2023-12-19 19:02:48.615103;0,3530868887901306;;selu;128;True;0,0016669868134760518;;dropout;;5;;;;1;adam;normalizer
2023-12-19 19:03:40.420263;0,2515625059604645;;leaky_relu;256;True;0,1782144404746063;;dropout;;25;25,0;14,0;;5;adam;minmax
2023-12-19 19:04:04.688677;0,4594131112098694;;selu;32;True;0,07006413913974467;pca;dropout;0,47765710342306705;4;27,0;12,0;False;4;sgd;minmax
2023-12-19 19:05:48.782059;0,4597264528274536;;relu;16;False;0,9240504834516288;anova;vanilla;0,04802442426571879;30;29,0;3,0;True;3;sgd;maxabs
2023-12-19 19:09:18.488264;0,5277355909347534;;leaky_relu;16;False;0,022141599650002633;;vanilla;;25;;;;1;adam;maxabs
2023-12-19 19:13:37.391073;0,5319148898124695;;leaky_relu;16;False;0,03448985471442835;;vanilla;;13;13,0;;;2;adam;maxabs
2023-12-19 19:18:21.756720;0,46067628264427185;;leaky_relu;16;False;0,8455931186794909;;vanilla;;13;12,0;;;2;adam;maxabs
2023-12-19 19:22:22.389251;0,522606372833252;;leaky_relu;16;False;0,04778089193394614;;vanilla;0,03724323622292047;10;12,0;4,0;True;3;sgd;maxabs
2023-12-19 19:26:22.156238;0,46210938692092896;;relu;256;False;0,39016786865860553;;vanilla;;15;12,0;;;2;adam;maxabs
2023-12-19 19:26:48.460361;0,4594131112098694;;leaky_relu;64;False;0,08707107476777436;anova;batchnorm;;11;21,0;;;2;adam;normalizer
2023-12-19 19:27:48.417042;0,5315349698066711;;selu;16;False;0,35622406234778026;;vanilla;0,10469432336165622;8;30,0;21,0;False;4;sgd;maxabs
2023-12-19 19:31:21.876932;0,4599164128303528;;leaky_relu;16;False;0,30869203274153423;;vanilla;;6;3,0;22,0;;3;adam;maxabs
2023-12-19 19:35:01.234250;0,5197568535804749;;relu;16;False;0,03956666058708453;;vanilla;0,23354903371087182;9;15,0;21,0;False;3;sgd;normalizer
2023-12-19 19:40:29.607196;0,5142911672592163;;leaky_relu;32;False;0,15985417783562908;anova;batchnorm;0,1551761733432978;3;22,0;;False;2;sgd;maxabs
2023-12-19 19:42:25.579571;0,5300151705741882;;selu;16;False;0,4567739968664585;;vanilla;0,013252137610932305;17;30,0;8,0;False;4;sgd;maxabs
2023-12-19 19:45:59.693762;0,5296352505683899;;selu;16;False;0,5163029432074333;;vanilla;0,08986147536413011;7;26,0;19,0;True;4;sgd;maxabs
2023-12-19 19:49:36.805306;0,5326747894287109;;selu;16;False;0,20818449783517143;;vanilla;0,02053845439714151;13;28,0;24,0;False;4;sgd;maxabs
2023-12-19 19:53:11.150829;0,5328647494316101;;selu;16;False;0,19153947644001326;;vanilla;0,012757925127362563;12;24,0;25,0;False;4;sgd;maxabs
2023-12-19 19:56:44.521220;0,5325838327407837;;selu;64;False;0,1651806242138402;;vanilla;0,013735561002245282;12;24,0;25,0;False;3;sgd;maxabs
2023-12-19 19:57:40.166159;0,2522865831851959;;selu;64;True;0,19701341910444298;;vanilla;0,012067512229310951;12;24,0;26,0;False;3;sgd;maxabs
2023-12-19 19:58:36.916653;0,5301067233085632;;selu;64;False;0,10708462193277163;;batchnorm;0,015343647121786168;22;20,0;25,0;False;4;sgd;maxabs
2023-12-19 19:59:40.208365;0,5268673896789551;;selu;64;False;0,22262551256562532;anova;vanilla;0,00595872421998206;17;24,0;24,0;False;3;sgd;minmax
2023-12-19 20:00:35.941863;0,514843761920929;;selu;256;False;0,07159953581806984;;vanilla;0,022642116191967706;11;27,0;30,0;False;4;sgd;normalizer
2023-12-19 20:01:39.516132;0,53125;;selu;64;False;0,13585455865839008;;vanilla;0,006012125015069269;21;19,0;27,0;False;4;sgd;maxabs
2023-12-19 20:02:39.478392;0,5218465328216553;;leaky_relu;16;False;0,13390843936864283;;vanilla;;13;15,0;;;2;adam;maxabs
2023-12-19 20:07:07.942259;0,4594131112098694;;selu;32;False;0,26905136066434204;;vanilla;;15;23,0;23,0;;3;adam;maxabs
2023-12-19 20:09:11.615404;0,5302051901817322;;selu;16;False;0,060172593907270054;;vanilla;0,026570739043178394;12;;;False;1;sgd;maxabs
2023-12-19 20:12:32.497366;0,5282012224197388;;selu;128;False;0,03237587974317517;;vanilla;0,05696849564165099;9;16,0;;False;2;sgd;maxabs
2023-12-19 20:13:20.006939;0,527629554271698;;relu;64;False;0,08362095729935909;;vanilla;0,01870620755422305;14;27,0;18,0;False;5;sgd;maxabs
2023-12-19 20:14:36.329743;0,5195668935775757;;selu;16;False;0,04559228944248404;pca;batchnorm;0,00926912226038567;17;11,0;25,0;False;3;sgd;maxabs
2023-12-19 20:18:05.862461;0,5282012224197388;;leaky_relu;128;True;0,09993810874146583;;vanilla;;11;17,0;20,0;;5;adam;minmax
2023-12-19 20:19:17.309976;0,5235562324523926;;selu;16;False;0,23223125506607722;pca;vanilla;0,004210953489718761;15;25,0;27,0;False;3;sgd;maxabs
2023-12-19 20:22:47.418946;0,46210938692092896;;selu;256;False;0,4954547822287035;anova;dropout;0,016190806909178797;18;8,0;15,0;False;4;sgd;maxabs
2023-12-19 20:23:11.264617;0,5232469439506531;;selu;32;True;0,1669442607888821;;batchnorm;;20;;;;1;adam;normalizer
2023-12-19 20:24:59.146904;0,5298252105712891;;selu;16;False;0,31690149480112356;;vanilla;0,07902453762650215;8;29,0;23,0;False;4;sgd;maxabs
2023-12-19 20:28:34.747102;0,2522796392440796;;selu;16;False;0,65519982794907;;vanilla;0,025713092948549267;6;30,0;21,0;False;4;sgd;maxabs
2023-12-19 20:32:08.709230;0,531154990196228;;selu;16;False;0,12927158011676607;;vanilla;0,010212271436126803;8;28,0;23,0;False;5;sgd;maxabs
2023-12-19 20:35:48.748815;0,5309650301933289;;selu;16;False;0,36723694224368136;;vanilla;0,03188318613659065;13;26,0;25,0;False;4;sgd;minmax
2023-12-19 20:39:24.208429;0,521276593208313;;relu;16;False;0,2111122139089547;pca;dropout;0,01880920848347399;10;28,0;20,0;False;4;sgd;maxabs
2023-12-19 20:43:33.027119;0,2522865831851959;;leaky_relu;128;True;0,5861592228084894;;vanilla;0,05797777929628743;14;14,0;28,0;False;5;sgd;maxabs
2023-12-19 20:44:08.052160;0,5304877758026123;;selu;64;False;0,022610169780962593;;vanilla;;12;19,0;17,0;;3;adam;maxabs
2023-12-19 20:45:26.410983;0,5283054709434509;;leaky_relu;16;False;0,3463807933596728;;vanilla;0,008670154425170338;10;30,0;;False;2;sgd;maxabs
2023-12-19 20:48:52.965420;0,4597264528274536;;selu;16;False;0,9213697636058213;pca;dropout;;30;9,0;22,0;;4;adam;minmax
2023-12-19 20:53:08.546724;0,46210938692092896;;relu;256;False;0,008859476852303368;anova;vanilla;0,03870020574851045;16;25,0;29,0;False;3;sgd;normalizer
