match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2246;0,2659;0,5095
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2672;0,5292;0,2035
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2398;0,3111;0,4491
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,11;0,8506;0,0394
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2627;0,4162;0,3212
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2158;0,2462;0,538
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2488;0,3189;0,4323
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2557;0,5601;0,1841
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2474;0,3212;0,4314
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1178;0,8388;0,0433
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2731;0,5123;0,2146
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2692;0,5152;0,2156
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2743;0,5056;0,2202
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2465;0,3096;0,444
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2507;0,5738;0,1755
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2644;0,3987;0,337
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2763;0,4769;0,2468
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2634;0,3973;0,3394
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2636;0,5367;0,1998
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1497;0,1434;0,7069
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1564;0,7749;0,0687
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2307;0,2705;0,4988
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,1836;0,724;0,0924
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2648;0,4;0,3352
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2596;0,5465;0,1939
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2777;0,477;0,2453
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2764;0,486;0,2376
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2716;0,4778;0,2506
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,266;0,4145;0,3195
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,138;0,8069;0,0551
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2575;0,5569;0,1855
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2261;0,5728;0,2012
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2462;0,5394;0,2145
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2646;0,4013;0,3341
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2216;0,248;0,5304
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2248;0,6346;0,1406
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,1559;0,7763;0,0678
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2414;0,5957;0,1629
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1658;0,7579;0,0763
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,2614;0,3859;0,3528
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1324;0,8153;0,0522
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2427;0,5944;0,1629
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2694;0,5239;0,2067
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1425;0,1349;0,7226
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2735;0,459;0,2674
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2512;0,5724;0,1764
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2395;0,5989;0,1616
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2649;0,537;0,1981
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,2475;0,3265;0,426
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2534;0,5659;0,1807
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2676;0,4311;0,3013
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2663;0,5327;0,201
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,2637;0,3841;0,3521
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2721;0,5139;0,214
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2191;0,6477;0,1332
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,1916;0,7075;0,1009
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2212;0,6431;0,1358
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2484;0,3214;0,4302
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,1797;0,1822;0,6381
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;2;0,256;0,3514;0,3926
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2687;0,4259;0,3053
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2668;0,5312;0,202
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2323;0,6168;0,1509
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2015;0,6882;0,1103
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;2;0,249;0,3241;0,4269
56152;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,2709;0,478;0,251
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1593;0,7703;0,0704
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,2665;0,5312;0,2023
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2523;0,5707;0,1771
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,1664;0,7572;0,0764
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,2657;0,4123;0,322
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,2687;0,4374;0,294
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,1993;0,2141;0,5866
