match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,3024;0,3162;0,3814
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2424;0,6425;0,1151
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3079;0,4266;0,2656
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1647;0,7791;0,0562
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2799;0,5191;0,201
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,2688;0,5466;0,1846
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2614;0,1713;0,5673
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;2;0,3376;0,3169;0,3454
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3176;0,4342;0,2482
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0618;0,9239;0,0143
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3373;0,5251;0,1376
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,1639;0,7772;0,0589
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2813;0,3775;0,3411
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2721;0,3953;0,3326
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2846;0,4943;0,2211
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,2912;0,3141;0,3947
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2255;0,5968;0,1777
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2883;0,4037;0,308
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2988;0,3738;0,3273
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1695;0,0672;0,7633
