version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-01-23 09:02:03.764603;0,46530330181121826;;relu;0,47494442561639044;0,08002049223006653;256;;0,3777777476502679;0,07173355237955746;0,7821393357957406;2607;17992;4424;vanilla;;11;6,0;29,0;;;;;3;adam;minmax
1;2024-01-23 09:03:46.447246;0,46530330181121826;;selu;;;256;;0,46585803607448084;0,056363112849353865;0,0020602677907315668;2607;17992;4424;vanilla;0,0017467655750156809;11;22,0;;;;;True;2;sgd;normalizer
2;2024-01-23 09:05:34.631694;0,601222813129425;;selu;;;64;;0,6418686697560284;0,03234095130037447;0,009372404146401305;2607;17992;4424;batchnorm;0,025268850302144635;29;25,0;;;;;False;2;sgd;minmax
3;2024-01-23 09:08:42.250291;0,5745018124580383;;selu;0,502453516516708;0,6641332476724351;32;;0,6525908587324349;0,08974145193041355;0,02672189755627644;2607;17992;4424;batchnorm;;25;22,0;11,0;;;;;3;adam;maxabs
4;2024-01-23 09:12:26.942558;0,59033203125;;selu;;;512;;0,11654477063060156;0,08286856018866087;0,07140542906564772;2607;17992;4424;batchnorm;0,002588863899103235;20;20,0;23,0;;;;False;3;sgd;normalizer
5;2024-01-23 09:14:08.640467;0,4644474685192108;;relu;0,9378756828075885;0,9996039677425536;64;;0,30694658764327426;0,02734696654643629;0,6159447815606635;2607;17992;4424;vanilla;;24;22,0;22,0;;;;;3;adam;minmax
6;2024-01-23 09:16:24.798431;0,2599637806415558;;selu;0,7948481971264959;0,05040926200406825;16;;0,6541841664350233;0,07475065210340288;0,057244543388784624;2607;17992;4424;vanilla;;12;30,0;15,0;;;;;3;adam;maxabs
7;2024-01-23 09:21:24.813853;0,56103515625;;relu;;;512;0,15229037837159123;0,11760017689579359;0,09526676570257347;0,043882255727817045;2607;17992;4424;dropout;0,010837741430245422;30;18,0;;;;;False;2;sgd;minmax
8;2024-01-23 09:23:12.425147;0,5058876872062683;;relu;0,4758912848193822;0,6378747907899692;32;0,5036651194912718;0,4196046925831443;0,09560221351231392;0,02639873522026379;2607;17992;4424;dropout;;18;12,0;;;;;;2;adam;normalizer
9;2024-01-23 09:26:19.071134;0,4644474685192108;;selu;0,23287164323061302;0,9592648045107571;64;0,5747416244608787;0,3986087140224595;0,04069701745775823;0,3195368595230146;2607;17992;4424;dropout;;13;10,0;28,0;6,0;;;;4;adam;minmax
10;2024-01-23 09:28:43.051908;0,5153952240943909;;leaky_relu;;;128;;0,9343219994770655;0,006705534022502121;0,0033319267945613146;2607;17992;4424;batchnorm;0,11893717147241824;4;;;;;0,025585879159077205;False;1;sgd;minmax
