match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2993;0,2182;0,4825
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2785;0,6307;0,0907
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3381;0,3101;0,3519
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,149;0,8128;0,0381
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3773;0,432;0,1907
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,3514;0,4929;0,1557
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,1899;0,0812;0,729
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;2;0,3302;0,2121;0,4577
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;0;0,3947;0,3852;0,22
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0173;0,9821;0,0007
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3004;0,5937;0,1059
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,1929;0,7623;0,0448
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;0;0,3836;0,3711;0,2453
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2985;0,598;0,1035
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3907;0,4363;0,173
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;0;0,4069;0,37;0,223
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2059;0,7282;0,0658
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3666;0,4827;0,1508
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;0;0,4144;0,2819;0,3037
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1096;0,0311;0,8593
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1563;0,8155;0,0282
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1048;0,0301;0,8651
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3868;0,429;0,1842
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3982;0,4136;0,1882
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3055;0,4696;0,225
