version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-01-25 21:08:02.053876;0,45949074625968933;;leaky_relu;;;64;0,27546436849621264;0,48606931039066176;0,038166573317208144;0,13046927791546434;2607;17222;5194;dropout;0,17263151126376033;16;12,0;15,0;17,0;;0,08259572676492158;False;4;sgd;normalizer
1;2024-01-25 21:10:48.713988;0,5837191343307495;;selu;0,06495988850510605;0,23959626184161822;64;0,504512467851503;0,47916016438406833;0,006764207746127321;0,002493988577039333;2607;17222;5194;dropout;;13;7,0;5,0;;;;;3;adam;maxabs
2;2024-01-25 21:13:45.788049;0,5648437738418579;;relu;0,1736514352280145;0,46438541894761076;128;0,422342778162767;0,45041197950155987;0,0469534508589024;0,004712685390281222;2607;17222;5194;dropout;;29;5,0;20,0;28,0;;;;4;adam;minmax
3;2024-01-25 21:16:15.616044;0,5322265625;;leaky_relu;;;512;;0,31469775876309586;0,07028383203893318;0,7968134422951069;2607;17222;5194;vanilla;0,35406840801488965;16;18,0;25,0;;;0,023675684751684127;True;3;sgd;normalizer
4;2024-01-25 21:18:19.581585;0,571484386920929;;relu;0,47378860844130166;0,7995052470482378;128;;0,9296827296103145;0,006759129583674817;0,021239064470660363;2607;17222;5194;batchnorm;;26;22,0;4,0;27,0;28,0;;;5;adam;maxabs
5;2024-01-25 21:20:36.070274;0,5589843988418579;;relu;;;256;;0,8292291922466827;0,06078225405748605;0,08159268604073666;2607;17222;5194;batchnorm;0,0015932150088120906;12;8,0;;;;;True;2;sgd;normalizer
6;2024-01-25 21:22:56.985937;0,45949074625968933;;relu;0,0693049368991139;0,23735269700532038;32;0,583649531524728;0,5421723690054667;0,04202275032444599;0,1667192199331324;2607;17222;5194;dropout;;3;7,0;7,0;17,0;;;;4;adam;maxabs
7;2024-01-25 21:26:47.863477;0,581835925579071;;relu;0,7550339474497929;0,28903724347427173;128;0,2964995093769926;0,6641699268634919;0,043212830159363134;0,008099151089909492;2607;17222;5194;dropout;;14;;;;;;;1;adam;normalizer
8;2024-01-25 21:29:02.444847;0,6066743731498718;;selu;;;16;;0,4526040987164297;0,0882555011466032;0,19538554660762866;2607;17222;5194;batchnorm;0,0012005651579710067;25;17,0;14,0;9,0;;;True;4;sgd;minmax
9;2024-01-25 21:36:01.472798;0,5478395223617554;;relu;;;64;;0,09658540604881653;0,09713217518181019;0,0024100667555435563;2607;17222;5194;batchnorm;0,8604390697109174;28;10,0;20,0;;;;True;3;sgd;normalizer
10;2024-01-25 21:39:25.271754;0,45949074625968933;;selu;;;16;;0,24768652998516838;0,09760434735466586;0,7898184642425805;2607;17222;5194;vanilla;0,0010275685662841704;22;29,0;12,0;3,0;3,0;;False;5;sgd;minmax
11;2024-01-25 21:44:19.544848;0,45949074625968933;;selu;0,9965433372402321;0,03925888325917773;16;;0,6864487294072552;0,010254120643281031;0,0022836164045865136;2607;17222;5194;batchnorm;;8;16,0;;;;;;2;adam;maxabs
12;2024-01-25 21:50:40.909231;0,5505401492118835;;selu;0,02322864141708006;0,7634219394796664;64;0,6391406638248798;0,3606360383068804;0,0807090916004451;0,01872717845597323;2607;17222;5194;dropout;;21;23,0;10,0;;;;;3;adam;minmax
13;2024-01-25 21:53:27.581942;0,5983796119689941;;selu;;;16;;0,614046753176417;0,026325510443644395;0,0012236888872927299;2607;17222;5194;batchnorm;0,010144741012550853;21;3,0;;;;;True;2;sgd;minmax
14;2024-01-25 22:00:22.903876;0,5619212985038757;;selu;;;16;;0,6368734382532046;0,024759444056566764;0,0010093381215646028;2607;17222;5194;batchnorm;0,008891543358111138;22;;;;;;True;1;sgd;minmax
