match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,261;0,285;0,454
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2999;0,421;0,2791
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,2968;0,4269;0,2763
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1318;0,7981;0,0701
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2694;0,4592;0,2714
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,268;0,3054;0,4265
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2403;0,2339;0,5259
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2916;0,4613;0,247
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2931;0,3406;0,3664
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1543;0,7521;0,0937
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2966;0,4504;0,253
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,253;0,5642;0,1827
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2993;0,4383;0,2624
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3063;0,4043;0,2894
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2711;0,5192;0,2097
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2957;0,3554;0,3489
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2993;0,4303;0,2704
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2924;0,4402;0,2674
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2802;0,4936;0,2262
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2316;0,181;0,5875
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2529;0,5621;0,185
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2571;0,2702;0,4727
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2384;0,5883;0,1733
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3134;0,3928;0,2938
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2652;0,5078;0,227
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3081;0,4213;0,2706
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3067;0,425;0,2682
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2705;0,5162;0,2132
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2949;0,4355;0,2696
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1548;0,7532;0,092
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2817;0,5008;0,2175
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2537;0,3775;0,3689
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2531;0,4474;0,2995
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2947;0,4217;0,2835
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2296;0,3645;0,406
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2147;0,6599;0,1253
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,167;0,7477;0,0853
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2298;0,6266;0,1437
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1983;0,6897;0,1121
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2648;0,3259;0,4093
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,2069;0,6864;0,1066
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2727;0,5105;0,2167
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2931;0,4283;0,2786
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1767;0,111;0,7123
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,3149;0,3933;0,2918
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2622;0,5483;0,1895
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2663;0,5404;0,1933
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3012;0,439;0,2598
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,2433;0,464;0,2927
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2875;0,4743;0,2382
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2883;0,396;0,3157
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2917;0,472;0,2363
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,301;0,4483;0,2508
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2891;0,4819;0,229
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2443;0,5886;0,1671
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2494;0,573;0,1776
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,276;0,5119;0,2121
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2896;0,3328;0,3777
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,2057;0,3144;0,4799
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,2845;0,4508;0,2647
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2978;0,4593;0,2429
