datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-22 16:02:41.105664;0,5158450704225352;;1024;0,626898500767909;1,1811536722684068;0,10658472776033955;24;30;1;5;6
2023-12-22 16:07:20.155186;0,5136443661971831;;1024;0,6159550302252369;1,0883213249722523;0,07935953057919018;10;9;2;4;4
2023-12-22 16:09:43.777495;0,5162852112676056;;1024;0,43246553867550175;1,1167865788143534;0,29103236532006876;51;41;5;3;3
2023-12-22 16:15:23.877710;0,507262323943662;;1024;0,2633234506884455;1,0224823768034959;0,0022612708121469887;35;31;3;1;4
2023-12-22 16:20:18.433484;0,4630281690140845;;4096;0,15803192032341196;1,3420126749150478;0,5095276569211956;26;8;4;4;8
2023-12-22 16:22:50.713644;0,464568661971831;;4096;0,30504949388573155;1,6793330397432842;0,02990163803457561;29;29;2;4;7
2023-12-22 16:25:20.534028;0,5158450704225352;;8192;0,6225700160926537;1,1531502105104579;0,0121986926624891;60;20;3;3;5
2023-12-22 16:33:23.401578;0,46170774647887325;;4096;0,6811057480121266;1,3730907510637314;0,2836398608828649;54;34;5;3;7
2023-12-22 16:36:17.076090;0,461487676056338;;2048;0,9393495199272837;1,726352095679932;0,6816165096517094;52;26;5;3;9
2023-12-22 16:40:08.205615;0,5063820422535211;;1024;0,574480360714997;1,0781258820309951;0,24191754970494184;13;31;5;3;7
2023-12-22 16:45:54.135221;0,43882042253521125;;512;0,3903544518408998;1,2650001137014564;0,8833987955522125;16;63;4;1;3
2023-12-22 16:47:37.874739;0,5132042253521126;;1024;0,45232090624005994;1,216599092787164;0,11936994072962856;19;51;1;5;10
2023-12-22 16:57:58.594957;0,5178257042253521;;1024;0,7583533180236712;1,1962665572902982;0,09469294577894376;38;45;1;2;5
2023-12-22 17:04:04.735861;0,5143045774647887;;2048;0,8035351078109305;1,4960552699596736;0,05392952942526508;38;48;2;2;3
2023-12-22 17:06:14.718668;0,5202464788732394;;512;0,46296452377670433;1,0212215831015332;0,24646588413081816;42;43;4;2;5
2023-12-22 17:11:41.099680;0,5178257042253521;;512;0,7551751931667823;1,0077904222100253;0,025644398205922358;40;63;4;2;5
2023-12-22 17:16:32.667568;0,5169454225352113;;512;0,49621079408600727;1,244345499272202;0,13013121201034802;32;40;3;2;5
2023-12-22 17:22:44.872442;0,4925176056338028;;8192;0,8872205180017105;1,9409419356274886;0,20697958235134747;42;48;1;2;6
2023-12-22 17:26:20.462849;0,5217869718309859;;512;0,52382013576228;1,0002226605382467;0,05008490011906517;27;21;4;1;4
2023-12-22 17:32:29.814050;0,5173855633802817;;512;0,5563532607918819;1,0286399013585943;0,01685190652263909;22;19;4;1;4
2023-12-22 17:35:50.011335;0,5162852112676056;;512;0,5162447831783565;1,0046322135131591;0,05132311685801396;26;23;4;1;4
2023-12-22 17:39:44.466347;0,5211267605633803;;512;0,7508460767448489;1,1210155537141657;0,06076018321393737;33;17;3;2;5
2023-12-22 17:43:12.398253;0,5165052816901409;;512;0,6776610650321425;1,089096832863574;0,05010515678813242;31;16;3;1;6
2023-12-22 17:49:13.940049;0,5147447183098591;;512;0,9952708282036303;1,1295556506978206;0,010481759575347981;46;15;3;2;5
2023-12-22 17:54:10.127968;0,47315140845070425;;512;0,394961593647563;1,0718998903333778;0,5382598394043879;64;24;4;2;4
2023-12-22 17:56:17.756032;0,5101232394366197;;512;0,49917864076276075;1,0525397364453197;0,17568042182099367;29;16;3;1;6
2023-12-22 17:59:49.508590;0,5070422535211268;;512;0,5759584218893139;1,002400618622319;0,36828126877590106;44;12;4;2;5
2023-12-22 18:03:25.609816;0,5189260563380281;;512;0,6985167447467127;1,1499787595954707;0,17643188543159025;35;21;2;1;3
2023-12-22 18:05:22.061415;0,515625;;2048;0,836729998486937;1,0598450287702674;0,07665313607550672;23;26;4;2;4
2023-12-22 18:10:09.310282;0,503080985915493;;8192;0,6203953656655933;1,1593237721704337;0,14847354905174695;20;18;3;1;6
