match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2084;0,2034;0,5882
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2909;0,4393;0,2698
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,2779;0,392;0,3302
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1362;0,7856;0,0782
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2538;0,3444;0,4018
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,25;0,2755;0,4745
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2658;0,2907;0,4435
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2992;0,4327;0,2681
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2569;0,2874;0,4557
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1523;0,7682;0,0794
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3127;0,4671;0,2202
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2261;0,6534;0,1205
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3126;0,3924;0,295
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2549;0,3337;0,4114
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3066;0,4096;0,2838
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,274;0,3272;0,3988
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2469;0,4636;0,2895
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2472;0,2999;0,4529
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3131;0,4137;0,2732
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1959;0,1506;0,6535
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2637;0,5541;0,1822
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2163;0,2261;0,5577
