match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2488;0,3116;0,4397
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2457;0,4558;0,2985
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,249;0,358;0,393
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1402;0,7924;0,0674
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2656;0,375;0,3594
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2414;0,2651;0,4935
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,2495;0,4344;0,3161
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2329;0,4861;0,281
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2402;0,3725;0,3873
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2123;0,6648;0,1229
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3405;0,4053;0,2542
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,242;0,5137;0,2442
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,235;0,4651;0,2999
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2531;0,3496;0,3973
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2339;0,5446;0,2215
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2638;0,4101;0,3261
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2843;0,4449;0,2709
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2551;0,3114;0,4336
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2705;0,4749;0,2546
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2174;0,1374;0,6452
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2459;0,6088;0,1454
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,3089;0,3643;0,3268
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2609;0,5798;0,1592
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3299;0,3551;0,3151
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2559;0,4676;0,2765
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2582;0,4355;0,3063
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2715;0,3921;0,3364
