datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
2023-12-23 17:30:03.034598;0,5187956529485124;;1024;0,8483999794878315;1,9652804869283498;0,003205546537003365;sparsemax;11;12;2;5;6;0,3192634456156652
2023-12-23 17:51:31.534640;0,4917156600748263;;2048;0,17936784975575823;1,2268183378602877;0,5807602341741274;entmax;37;55;2;1;10;0,5571250155020256
2023-12-23 17:59:13.118141;0,5223588099055764;;1024;0,8093744708117278;1,3587082468114615;0,013098881137553463;sparsemax;23;40;1;3;4;0,31052491451878944
2023-12-23 18:10:35.376876;0,5102440762515589;;4096;0,3492859060460775;1,5413924954326657;0,006194858829970075;sparsemax;49;16;1;1;7;0,2657766486252049
2023-12-23 18:20:43.095281;0,5070372349902014;;8192;0,8971070277345811;1,6780266926982519;0,001329270942928458;sparsemax;17;18;4;2;5;0,6716582257756536
2023-12-23 18:41:11.886433;0,5116693390343845;;512;0,5420762161765101;1,3422103064457305;0,3540130437015834;entmax;13;22;1;2;4;0,4008242114150466
2023-12-23 18:48:07.588546;0,5159451273828612;;4096;0,5784577465707412;1,688896444731942;0,20111994911536166;entmax;48;9;2;4;5;0,29299175734382715
2023-12-23 18:55:06.765956;0,5127382861215036;;2048;0,37654868638686745;1,7274201714385784;0,45509556862133355;entmax;9;19;4;1;6;0,29370317787262445
2023-12-23 19:01:02.889871;0,5228932834491359;;512;0,7826675463436651;1,2707980154504699;0,012334770854898543;entmax;13;11;3;5;7;0,816347121882695
2023-12-23 19:15:58.027725;0,5155888116871549;;8192;0,8846831998166639;1,1597070855194067;0,17766211274125615;entmax;24;41;5;1;10;0,23548164865375734
2023-12-23 19:30:54.564944;0,5239622305362551;;512;0,9757491148761555;1,0308799746251247;0,02984623494751034;entmax;8;8;3;5;8;0,8161807947599002
2023-12-23 19:47:01.573315;0,5225369677534295;;512;0,9975783134057504;1,096775599648373;0,03351850151080542;entmax;8;8;3;5;8;0,8849553334322593
2023-12-23 20:04:35.853523;0,5218243363620167;;512;0,7155908062139529;1,0030086705165462;0,0370426265732268;entmax;8;10;3;4;8;0,8992517340903871
2023-12-23 20:21:40.440287;0,5246748619276679;;512;0,9745762264891498;1,0149957250969754;0,016534435634725567;entmax;13;8;4;4;8;0,6505533896698915
2023-12-23 20:54:27.300290;0,5261001247104935;;512;0,9846053607990741;1,0131198600500255;0,0649695342483707;entmax;11;8;4;4;9;0,5625431495739631
2023-12-23 21:15:16.410859;0,5221806520577231;;512;0,9815439081008948;1,0938730771227205;0,08741380241055693;entmax;17;13;5;4;9;0,5357026536081395
2023-12-23 21:40:51.648043;0,5214680206663104;;512;0,6930086923130527;1,1806788636879002;0,0671177722694668;entmax;12;8;4;3;9;0,4732817317185632
2023-12-23 21:53:56.759616;0,46125066809192944;;512;0,8691238673312617;1,0800791172380677;0,9887683567708035;entmax;17;13;4;4;9;0,6486317676891115
2023-12-23 22:11:17.421362;0,5298414395154106;0,4941087039148613;1024;0,7497374770641165;1,0164058160017928;0,014870276174850441;sparsemax;10;10;5;3;10;0,4038224132867276
2023-12-23 22:38:30.281510;0,5186174951006591;;1024;0,6928206879745892;1,1380871822071847;0,09413325961896499;sparsemax;10;14;5;2;10;0,38118093195031455
2023-12-23 22:49:57.052569;0,5237840726884019;;1024;0,7370224321436716;1,2416301181164944;0,0061744343002437954;sparsemax;10;10;5;3;3;0,20150181468854167
2023-12-23 22:57:45.757443;0,5223588099055764;;1024;0,9643374463098183;1,0082359521303155;0,013980455674773627;sparsemax;14;10;4;3;9;0,4540255723515132
2023-12-23 23:17:32.528323;0,520220915731338;;8192;0,9093493201733149;1,059871502273542;0,02457703119916614;sparsemax;10;8;5;4;8;0,36427015387508976
2023-12-23 23:32:24.145795;0,5268127561019063;;2048;0,8208248545883918;1,0028050759483895;0,01782920765560117;sparsemax;11;10;4;3;10;0,518633309210558
2023-12-23 23:53:02.195284;0,5232495991448424;;2048;0,8077456886417005;1,1158932556319567;0,04620837577611993;sparsemax;9;11;4;3;10;0,48694837313521916
2023-12-24 00:11:15.823071;0,5259219668626403;;2048;0,8139225999630363;1,0573971733062888;0,05622925531988667;sparsemax;11;10;5;2;10;0,4332228974744844
2023-12-24 00:29:09.085069;0,5187956529485124;;2048;0,8947825157328981;1,1735240122561876;0,022172416019896952;sparsemax;15;14;4;3;9;0,5140786486549679
2023-12-24 00:44:19.133879;0,5232495991448424;;4096;0,7713137038889952;1,054389663249222;0,11599577391942359;sparsemax;11;9;5;2;10;0,4227009264764921
2023-12-24 01:05:07.325818;0,5218243363620167;;1024;0,6436454275957503;1,0046729711565168;0,04959242106848495;sparsemax;19;12;3;4;9;0,565748122112196
2023-12-24 01:25:04.773037;0,5227151256012827;;2048;0,850248199856887;1,1160939852998815;0,007790508730256699;sparsemax;12;11;4;3;10;0,3358031927424586
2023-12-24 01:51:22.514332;0,5232495991448424;;1024;0,9248819684932148;1,0693386981235597;0,021004724956922453;sparsemax;15;15;5;3;7;0,3576991248068327
2023-12-24 02:16:38.387156;0,519330126492072;;2048;0,8255345652058287;1,0469445206737313;0,04620169715547089;sparsemax;11;9;5;2;10;0,4081417658780145
2023-12-24 02:35:17.024992;0,5246748619276679;;2048;0,8362156253408137;1,0005905964808748;0,050700483602182246;sparsemax;9;12;5;2;10;0,43708477838324367
2023-12-24 02:59:14.857517;0,5252093354712275;;2048;0,7737189771431077;1,0521811834837327;0,009993180404453423;sparsemax;11;9;5;3;9;0,4684616468903872
2023-12-24 03:22:31.653948;0,521111704970604;;2048;0,9214690939419049;1,1318217554936667;0,02178302537032574;sparsemax;12;10;4;2;10;0,4257892089812441
2023-12-24 03:36:57.491305;0,513985391056476;;2048;0,8370386987464069;1,1881204996430665;0,004658964417369845;sparsemax;28;16;2;3;9;0,5671117523662995
2023-12-24 03:52:29.849760;0,519330126492072;;1024;0,7861828440680253;1,0893191913423086;0,010594172302864559;sparsemax;15;23;5;2;10;0,5066344768305543
2023-12-24 04:27:32.953034;0,5173703901656868;;4096;0,8650622897252591;1,0371241052019489;0,0034896032964467543;sparsemax;9;12;4;1;10;0,3861418018863292
2023-12-24 04:49:37.992959;0,521111704970604;;8192;0,9181037098572017;1,1223935451637739;0,017001174710393002;sparsemax;10;9;3;4;9;0,593655667901241
2023-12-24 05:10:33.421315;0,5186174951006591;;2048;0,6442784238450531;1,2265158139588552;0,06882598399742768;sparsemax;13;17;4;5;7;0,5013223880376965
2023-12-24 05:21:24.011736;0,5246748619276679;;1024;0,7475176733659575;1,322138106714021;0,033654390057664824;sparsemax;8;26;5;2;6;0,4584142374323647
2023-12-24 05:32:55.879454;0,5250311776233743;;2048;0,7995772366342954;1,04759835301465;0,00955580770848185;sparsemax;11;9;5;3;9;0,4545333946465996
2023-12-24 06:00:49.552286;0,5271690717976126;;2048;0,7518709131906186;1,043261424888773;0,013955668453910055;sparsemax;12;11;5;3;10;0,40392672517620787
