match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2761;0,2447;0,4791
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2953;0,446;0,2588
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2643;0,2996;0,4361
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1621;0,7896;0,0483
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2677;0,3697;0,3626
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2487;0,1836;0,5676
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3124;0,3258;0,3618
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2964;0,4311;0,2725
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3109;0,3649;0,3242
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1492;0,8042;0,0465
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3036;0,4449;0,2515
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2776;0,5125;0,2099
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2964;0,4696;0,234
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2908;0,4072;0,302
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,273;0,5268;0,2002
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,307;0,3328;0,3601
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3055;0,4372;0,2573
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2921;0,3638;0,344
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2748;0,5127;0,2126
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1659;0,0985;0,7356
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2483;0,5667;0,185
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,3214;0,3449;0,3337
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2576;0,5568;0,1856
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2995;0,4352;0,2653
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2913;0,4;0,3088
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3103;0,417;0,2727
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2756;0,4738;0,2505
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3058;0,3708;0,3234
