version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-01-28 09:15:04.248260;0,5716546112115732;;2048;0,642052301033779;0,14911535715855836;1,5763728346742347;0,049091660146400505;2607;17992;4424;0,016584597438370707;entmax;19;31;5;1;5;0,8144912878714633
1;2024-01-28 09:28:45.893673;0,5687160940325497;;8192;0,05166920994112806;0,40001898187960505;1,2371721434871827;0,08960153839364297;2607;17992;4424;0,0859542519303869;sparsemax;22;23;3;4;4;0,5311021701325783
2;2024-01-28 09:38:42.400937;0,5617088607594937;;2048;0,12984573245304556;0,8641917452291344;1,8592901325779816;0,07117650002991822;2607;17992;4424;0,07585977808538857;entmax;8;8;3;4;9;0,6194745366944168
3;2024-01-28 09:50:27.546322;0,5474683544303798;;2048;0,7312647064787696;0,3074113881708487;1,707752336586886;0,07362073163915672;2607;17992;4424;0,4408852302473237;entmax;21;43;3;3;3;0,5147741930476368
4;2024-01-28 09:55:46.978130;0,5070072332730561;;8192;0,24920060376424863;0,2647945443115448;1,3696501577258458;0,005414951237443033;2607;17992;4424;0,026153254731250783;sparsemax;32;37;4;4;10;0,7682620143229677
5;2024-01-28 10:12:49.958970;0,5108499095840868;;4096;0,6729717929447224;0,7580048495087484;1,7915118519249176;0,0804263708003613;2607;17992;4424;0,003888405287685795;sparsemax;32;13;3;3;10;0,7805101663937195
6;2024-01-28 10:38:14.557919;0,5363924050632911;;1024;0,8569330641804487;0,3833964302865127;1,5193442670739947;0,05597111926744736;2607;17992;4424;0,0023256000516145045;entmax;10;21;5;1;8;0,497758232307774
7;2024-01-28 11:02:26.439779;0,5904159132007233;;1024;0,7306159811676929;0,2806621387293602;1,1722144026443202;0,09539040254804919;2607;17992;4424;0,005299871285566646;entmax;24;34;5;1;6;0,544779415170695
8;2024-01-28 11:19:33.818425;0,6381103074141049;;512;0,9454649078881782;0,33123882260721565;1,8269139053612158;0,06214809628256084;2607;17992;4424;0,10480045957274069;entmax;9;51;3;1;3;0,290060393789923
9;2024-01-28 11:27:34.187659;0,5748191681735986;;512;0,7273863359645458;0,5555487379014596;1,855659241434511;0,022147576472993535;2607;17992;4424;0,0371042532303813;sparsemax;9;25;4;4;6;0,7000130679380133
10;2024-01-28 11:41:29.387795;0,5384267631103075;;512;0,9645734073654181;0,5168325025460093;1,044395895128375;0,0482354784184187;2607;17992;4424;0,3911157473627662;entmax;61;58;1;2;3;0,28747907984632537
11;2024-01-28 11:48:47.440257;0,5122061482820977;;1024;0,9817177324988494;0,17079171385765013;1,9770753336098141;0,09818309805706407;2607;17992;4424;0,0012270587326782872;entmax;13;63;2;2;7;0,33972536163874634
12;2024-01-28 12:11:55.204187;0,586121157323689;;1024;0,48124424156364937;0,13188462789039426;1,2668787632198115;0,09313529725058185;2607;17992;4424;0,007335815778731712;entmax;14;45;4;1;5;0,21439971858630313
13;2024-01-28 12:26:37.884146;0,6003616636528029;;512;0,8535556453996732;0,49074290343748284;1,0923228912881386;0,09953787774500507;2607;17992;4424;0,010004639076811483;entmax;12;48;2;2;7;0,3866790300723047
14;2024-01-28 12:44:08.404684;0,5743670886075949;;512;0,8963019720280863;0,5882836747621975;1,0535530726150366;0,0639474602303212;2607;17992;4424;0,15712498862750246;entmax;11;55;1;2;8;0,3869194273360533
15;2024-01-28 13:04:03.093985;0,6105334538878843;;512;0,8426655183856302;0,469525965615845;1,427142833263439;0,0838974879949025;2607;17992;4424;0,011711865622215625;entmax;8;47;2;2;7;0,29310969677212806
16;2024-01-28 13:25:07.945268;0,6123417721518988;;512;0,8493915297975316;0,6615081742633602;1,4580716074677564;0,08193891224950672;2607;17992;4424;0,016156967381012015;entmax;8;62;2;5;5;0,264511480925144
17;2024-01-28 13:49:30.574841;0,5284810126582279;;4096;0,9999389269386212;0,6610645523297927;1,6953064641764797;0,06735232089661614;2607;17992;4424;0,8918556817671741;entmax;8;61;2;5;4;0,21217853013163504
18;2024-01-28 14:00:25.028925;0,6200271247739603;;512;0,5021651757569628;0,702441646513736;1,577801889724765;0,08025655978352564;2607;17992;4424;0,03135709972484856;sparsemax;10;64;1;5;4;0,2828359174400153
19;2024-01-28 14:15:06.109853;0,5709764918625678;;512;0,510994654766608;0,9834964736505462;1,6160215431865594;0,058321868553714525;2607;17992;4424;0,0414002241003723;sparsemax;15;38;1;5;4;0,25585725077108734
20;2024-01-28 14:24:17.923122;0,5734629294755877;;512;0,4138681422822426;0,7766131886838679;1,9993630794521204;0,07514007123211193;2607;17992;4424;0,13080338010445233;sparsemax;11;30;1;3;3;0,3352356536000936
21;2024-01-28 14:29:59.911905;0,6121157323688969;;512;0,6140096433115398;0,641401071873102;1,535336317318336;0,08615546346601215;2607;17992;4424;0,018872275237733684;sparsemax;10;64;2;5;4;0,24530206755683595
22;2024-01-28 14:50:40.793735;0,615506329113924;;512;0,7953059098545441;0,676643281111032;1,4611041379976752;0,08359272883674304;2607;17992;4424;0,04039224827347991;sparsemax;9;51;2;5;5;0,262887657694901
23;2024-01-28 15:09:13.837549;0,6204792043399638;;512;0,5850471917104463;0,7354637114014156;1,6480427940438838;0,07839891356577214;2607;17992;4424;0,041683372913282904;sparsemax;10;51;1;5;5;0,3158834880945614
