version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-01-20 20:58:47.445784;0,49306892568348093;;1024;0,9458443990755463;0,16228676767952724;1,7444141210422486;0,01454179593633162;2607;17222;5194;0,0012770960335571056;entmax;9;15;4;2;8;0,2570079094200372
1;2024-01-20 21:18:57.478464;0,617058144012322;;8192;0,6285114758128459;0,7746113940420524;1,0868472401539373;0,09053362201910593;2607;17222;5194;0,04669617818440759;sparsemax;17;41;4;1;3;0,844361374530547
2;2024-01-20 21:26:42.316562;0,6060839430111667;;2048;0,4755378983499225;0,10185106047484976;1,0769128379196247;0,08726513984370614;2607;17222;5194;0,00701415030204447;entmax;8;45;5;2;8;0,5916144645366191
3;2024-01-20 21:44:54.537852;0,6201386214863304;;2048;0,8446599049145196;0,9729287900727368;1,1268798826766477;0,0871513147923005;2607;17222;5194;0,04280852410846023;entmax;31;17;3;4;3;0,7278054823313437
4;2024-01-20 21:53:53.781289;0,5286869464767039;;8192;0,17070869552605258;0,8093882463463034;1,3973612988755024;0,04905560328805858;2607;17222;5194;0,012188357151976113;sparsemax;8;43;1;5;10;0,2573008202310869
5;2024-01-20 22:12:47.500026;0,5718136311128225;;8192;0,12891043167395932;0,793055547586805;1,872873667349216;0,09475868154751092;2607;17222;5194;0,007092088739040044;entmax;46;9;1;4;3;0,5913211219085125
6;2024-01-20 22:22:09.576140;0,5800924143242202;;4096;0,8918755865538011;0,8207286006630835;1,2609589904281782;0,04296277272306595;2607;17222;5194;0,3354198108015568;entmax;29;10;5;3;3;0,2775676722101935
7;2024-01-20 22:27:31.494020;0,4489795918367347;;4096;0,9576098130724604;0,24561996289001148;1,6762151538288266;0,06421390892485881;2607;17222;5194;0,0015083496579277819;sparsemax;38;10;3;5;5;0,25068264864198087
8;2024-01-20 22:40:31.440024;0,5254139391605699;;8192;0,1251007099443356;0,22419507686224566;1,5665872174146098;0,08032035350414608;2607;17222;5194;0,014966616723906666;sparsemax;20;43;5;3;9;0,42126596893842755
9;2024-01-20 23:04:05.488872;0,5535232961108972;;4096;0,43820809577609976;0,8657190315322217;1,7097777585979024;0,0611522685153387;2607;17222;5194;0,005305668657354716;sparsemax;24;59;2;2;5;0,2686498743609452
10;2024-01-20 23:15:28.872118;0,6197535618020793;;2048;0,7858638556983751;0,5848824359606671;1,0273146242663778;0,07659830497403555;2607;17222;5194;0,08807273513970845;entmax;51;22;3;4;5;0,8515869774430903
11;2024-01-20 23:33:31.009196;0,5862533692722371;;2048;0,7501103866656657;0,9966539774862402;1,0077298195872546;0,07249995900831117;2607;17222;5194;0,11640843482095359;entmax;62;21;3;4;5;0,8929951581245958
12;2024-01-20 23:46:56.874743;0,5877936080092414;;2048;0,7730210080512825;0,5769881508163265;1,1946520224106085;0,0996098725790219;2607;17222;5194;0,06737745297509715;entmax;58;24;2;4;6;0,7179814393850802
13;2024-01-21 00:02:56.141900;0,49056603773584906;;512;0,7829093662658725;0,5505822057401899;1,0058977713102049;0,07793675053811813;2607;17222;5194;0,7666171250718945;entmax;37;20;2;4;4;0,6968720517969131
14;2024-01-21 00:09:01.413248;0,5591066615325375;;2048;0,6223465153593217;0,4333935977695331;1,1939709666700484;0,07357949438846112;2607;17222;5194;0,13552486852624934;entmax;45;14;4;5;6;0,48955432967625845
15;2024-01-21 00:18:02.908148;0,5910666153253754;;2048;0,8624817462105142;0,6567559992707896;1,3733110759505223;0,084737630431686;2607;17222;5194;0,029577501369409842;entmax;28;28;3;3;4;0,8611927198852536
16;2024-01-21 00:30:39.240669;0,5737389295340778;;512;0,9782833374799371;0,9787431881850367;1,1127969766559116;0,09628269415691933;2607;17222;5194;0,18876179600133997;entmax;64;16;2;4;7;0,7232428562036806
17;2024-01-21 00:49:20.157073;0,6085868309587986;;1024;0,669951729498032;0,39881720907178086;1,2867104631383635;0,06745670453241719;2607;17222;5194;0,03425283055123725;entmax;36;29;4;5;4;0,4107503455000073
18;2024-01-21 01:04:42.311788;0,555641124374278;;2048;0,8419179059757912;0,7032719376485916;1,1429984478912503;0,08376008425654888;2607;17222;5194;0,0713203288175651;entmax;49;13;3;4;4;0,5884041431810576
19;2024-01-21 01:12:04.203957;0,5958798613785137;;2048;0,988449785418281;0,9100156565334074;1,0562525547573307;0,06400290732143986;2607;17222;5194;0,3858353777266398;entmax;31;18;3;3;7;0,7393400941950948
20;2024-01-21 01:29:31.925544;0,6020408163265306;;2048;0,7004187991249552;0,677723806831353;1,0022667570317565;0,09961578937942696;2607;17222;5194;0,024931234920544457;entmax;52;12;2;3;5;0,8819138017326551
21;2024-01-21 01:36:17.549228;0,5700808625336927;;8192;0,6052237733716569;0,7585695515618295;1,1070747371890974;0,08965509504956203;2607;17222;5194;0,058817520210626216;sparsemax;16;26;4;1;3;0,7914679884754495
22;2024-01-21 01:40:45.856835;0,621101270696958;;8192;0,5721175916711216;0,9275123713493068;1,1643728193852594;0,08792831320186874;2607;17222;5194;0,06123706588893192;sparsemax;16;18;4;1;3;0,8895847458916044
23;2024-01-21 01:49:32.247653;0,607624181748171;;1024;0,5331751246328867;0,9275305825257592;1,155342042288019;0,07933013170459464;2607;17222;5194;0,09113772925408252;sparsemax;14;18;3;2;4;0,6592172676508348
24;2024-01-21 01:57:27.766781;0,5696958028494417;;512;0,8318957101422012;0,8927626812621596;1,2526061134681283;0,08982062802013108;2607;17222;5194;0,2122005546934983;sparsemax;24;22;4;1;3;0,8001328112332281
25;2024-01-21 02:03:42.225318;0,5852907200616095;;8192;0,7205285983411831;0,9552856124427912;1,0670339401186248;0,07599837772324475;2607;17222;5194;0,04400524757984035;sparsemax;40;16;3;4;6;0,893435937370989
26;2024-01-21 02:17:09.204314;0,5700808625336927;;2048;0,8063822577488421;0,8570364558817279;1,1839345933368357;0,08516684983157982;2607;17222;5194;0,10565148345773519;sparsemax;32;12;4;3;4;0,7953393265700094
