match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,1597;0,179;0,6613
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,2617;0,3523;0,386
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;2;0,292;0,3311;0,3769
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;1;0,2688;0,5483;0,183
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1515;0,74;0,1085
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;2;0,1736;0,2683;0,5581
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,295;0,3955;0,3095
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2951;0,3828;0,3221
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;1;0,2758;0,3949;0,3293
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,1019;0,7599;0,1382
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2823;0,3863;0,3314
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2093;0,6505;0,1402
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2944;0,4171;0,2885
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,2506;0,5931;0,1563
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2336;0,5818;0,1845
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2835;0,4865;0,23
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;1;0,2803;0,4942;0,2256
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,2973;0,4562;0,2465
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;1;0,2993;0,4215;0,2793
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,2293;0,2371;0,5336
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,1672;0,7129;0,1199
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,1996;0,2005;0,5998
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,1893;0,6389;0,1718
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2556;0,5808;0,1636
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,2964;0,4156;0,2881
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;1;0,2816;0,4534;0,265
34313;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,1232;0,7774;0,0994
34311;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;1;0,2894;0,3881;0,3226
34310;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,2224;0,216;0,5616
56137;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,2669;0,5261;0,207
