match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2315;0,1876;0,5808
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2701;0,5866;0,1432
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2794;0,3255;0,3952
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1447;0,8165;0,0388
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2898;0,393;0,3172
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,2622;0,5562;0,1815
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,1937;0,1041;0,7022
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;2;0,3316;0,182;0,4864
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3166;0,412;0,2714
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0312;0,9663;0,0025
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,349;0,4673;0,1837
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,1409;0,8127;0,0463
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2722;0,366;0,3618
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,263;0,429;0,308
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2655;0,5308;0,2036
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,2714;0,3065;0,4222
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2209;0,6189;0,1602
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2732;0,2922;0,4346
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;2;0,2756;0,3595;0,3649
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1233;0,0316;0,8451
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1792;0,7805;0,0404
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1558;0,054;0,7902
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2629;0,5798;0,1573
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;2;0,2714;0,3398;0,3888
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;2;0,2878;0,3525;0,3597
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2581;0,4693;0,2726
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2644;0,4843;0,2513
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3103;0,5757;0,114
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,3337;0,2724;0,3938
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,178;0,7637;0,0583
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2318;0,6836;0,0846
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,1833;0,0777;0,7389
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;2;0,2415;0,1738;0,5846
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;2;0,2534;0,1922;0,5544
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,1841;0,0973;0,7186
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2009;0,7033;0,0958
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,0423;0,9532;0,0045
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;2;0,37;0,2279;0,4021
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2324;0,6675;0,1001
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2018;0,7102;0,088
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,1816;0,0971;0,7213
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,2579;0,2189;0,5232
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2661;0,5993;0,1346
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,1448;0,8048;0,0504
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;2;0,3748;0,1853;0,4399
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;0;0,3769;0,2743;0,3488
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1452;0,0513;0,8035
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;2;0,3657;0,2376;0,3968
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,0755;0,9091;0,0154
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2332;0,6627;0,1041
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2741;0,3806;0,3452
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2656;0,4594;0,275
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;2;0,2655;0,2705;0,464
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2244;0,6282;0,1473
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2019;0,6765;0,1215
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2018;0,6835;0,1148
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;2;0,2077;0,1119;0,6804
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,1937;0,0872;0,7191
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2975;0,11;0,5926
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2118;0,6488;0,1393
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2857;0,5469;0,1674
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2586;0,5435;0,1979
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,1737;0,7476;0,0788
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;2;0,1992;0,1041;0,6966
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,2666;0,6447;0,0887
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,2848;0,4108;0,3044
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;2;0,276;0,3461;0,3779
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;1;0,2084;0,646;0,1456
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;2;0,3548;0,2197;0,4255
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,2144;0,6929;0,0927
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,3355;0,3942;0,2702
34331;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,1468;0,8274;0,0258
56153;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,2245;0,6192;0,1564
15778;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;1;0,266;0,3799;0,3541
15772;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,2968;0,4976;0,2056
34330;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;1;0,1917;0,7411;0,0672
15773;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,2192;0,6921;0,0887
15771;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;2;0,2641;0,2921;0,4437
15775;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1;1;0,2326;0,586;0,1814
15776;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2;2;0,2223;0,1393;0,6384
15777;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0;2;0,2744;0,3005;0,4251
