version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-15 12:28:42.535448;0,5922067761421204;;leaky_relu;0,12476197157509457;0,3171144432991276;64;;0,08623575772935858;0,0705337080275832;0,221598645615201;2607;17222;5194;vanilla;;14;;;;;0,018019649722844592;;1;adam;maxabs
1;2024-05-15 12:33:37.104594;0,4593749940395355;;leaky_relu;;;128;;0,3671816468460692;0,09252331754838088;0,0011625267356632104;2607;17222;5194;vanilla;0,42834128798315557;22;7,0;19,0;8,0;10,0;0,04083709219380835;False;5;sgd;normalizer
2;2024-05-15 12:35:47.243559;0,45949074625968933;;selu;0,8580626259916591;0,3723553374116942;32;;0,8461362935493207;0,005520088471061094;0,7582780331340407;2607;17222;5194;batchnorm;;4;28,0;27,0;;;;;3;adam;normalizer
3;2024-05-15 12:40:17.991520;0,5700231194496155;;relu;;;64;0,3737974072120712;0,22123004222196263;0,09055067110685865;0,6138729074689332;2607;17222;5194;dropout;0,0033821312592068036;14;;;;;;True;1;sgd;minmax
4;2024-05-15 12:43:10.637296;0,5966796875;;selu;;;128;;0,07037761137391943;0,02643577700915213;0,4369015840620008;2607;17222;5194;vanilla;0,0021831792208725853;21;10,0;;;;;True;2;sgd;maxabs
5;2024-05-15 12:46:18.202760;0,5939428806304932;;leaky_relu;;;16;;0,6543263062082889;0,06185644725145258;0,01277083434737444;2607;17222;5194;batchnorm;0,06289589269373301;19;6,0;5,0;26,0;;0,07042065069332679;False;4;sgd;normalizer
6;2024-05-15 12:54:16.227339;0,4603515565395355;;leaky_relu;;;128;;0,1522463980124671;0,07289222972072898;0,0014363258896344436;2607;17222;5194;batchnorm;0,2968988137065202;3;21,0;18,0;;;0,022717768597298196;False;3;sgd;maxabs
7;2024-05-15 12:56:40.155283;0,6165123581886292;;leaky_relu;0,1940453577893274;0,6837781137869803;64;;0,15948887869402206;0,016113673369043412;0,0028806090433487275;2607;17222;5194;vanilla;;17;22,0;23,0;;;0,0432988234601882;;3;adam;normalizer
8;2024-05-15 13:02:36.130538;0,543749988079071;;leaky_relu;;;256;;0,175331905294209;0,059728181081716444;0,008102832735006638;2607;17222;5194;batchnorm;0,0011953425214518785;20;7,0;;;;0,0038238934473731347;False;2;sgd;normalizer
9;2024-05-15 13:05:00.517738;0,5874999761581421;;relu;;;512;;0,21752421444920655;0,016956988469519613;0,08010100078540172;2607;17222;5194;vanilla;0,03854929282671495;16;;;;;;False;1;sgd;minmax
