match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;0;0,4802;0,1505;0,3694
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,1971;0,7894;0,0135
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;0;0,6695;0,0911;0,2394
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1159;0,8798;0,0042
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2661;0,6971;0,0367
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,1656;0,8194;0,015
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,113;0,0027;0,8843
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;2;0,1044;0,0023;0,8933
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3303;0,6399;0,0298
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0423;0,9572;0,0005
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2199;0,7773;0,0028
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,181;0,8142;0,0048
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,1445;0,8504;0,0051
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,0298;0,0004;0,9697
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,3192;0,6715;0,0094
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,1168;0,8811;0,0021
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,2975;0,0077;0,6947
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;0;0,7017;0,1814;0,1169
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;0;0,4955;0,1785;0,326
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;0;0,6296;0,0526;0,3178
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2008;0,7798;0,0194
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1033;0,8931;0,0036
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1616;0,8314;0,0071
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,1887;0,8082;0,0031
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,0432;0,0007;0,956
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2713;0,7254;0,0033
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,1341;0,8643;0,0017
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,217;0,0073;0,7758
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,0957;0,903;0,0013
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;2;0,3007;0,0077;0,6916
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,056;0,9432;0,0007
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,0442;0,9555;0,0003
