version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-17 15:43:48.962353;0,46015626192092896;;relu;;;256;;0,2154845985420481;0,08566212225285785;0,031987912293735356;2282;17639;5161;vanilla;0,0016496378586030576;17;8,0;25,0;16,0;10,0;;False;5;sgd;minmax
1;2024-05-17 15:46:03.972298;0,550000011920929;;leaky_relu;;;64;0,5531794151692572;0,23169560614272566;0,09260655711605248;0,0026816249703593073;2282;17639;5161;dropout;0,005351610116944994;3;;;;;0,05457275316208799;True;1;sgd;minmax
2;2024-05-17 15:51:40.567004;0,6284937858581543;;selu;0,3487906096600768;0,7249014632189668;16;;0,6784650789381598;0,015372492202777352;0,03929555309541908;2282;17639;5161;vanilla;;30;;;;;;;1;adam;normalizer
3;2024-05-17 16:04:43.895583;0,621874988079071;;relu;0,9765454798268876;0,4381867067833332;256;;0,4275620501899596;0,048738342618277385;0,002677825844358142;2282;17639;5161;vanilla;;20;;;;;;;1;adam;maxabs
4;2024-05-17 16:07:47.964815;0,5879270434379578;;leaky_relu;0,8816810997452097;0,6780708156001751;32;0,14508671781765486;0,8405654012703606;0,08092815354489093;0,6541169837044449;2282;17639;5161;dropout;;8;;;;;0,07202431565628231;;1;adam;maxabs
5;2024-05-17 16:15:10.709080;0,31424689292907715;;leaky_relu;0,22754963966805025;0,6498991254184994;16;;0,38928189443161865;0,03323590509772944;0,0671237584565688;2282;17639;5161;batchnorm;;22;28,0;13,0;5,0;7,0;0,07808293818237158;;5;adam;maxabs
6;2024-05-17 16:27:37.488315;0,4602096378803253;;relu;0,8478604843704202;0,7191517700368919;32;0,2143054245337859;0,7413488163553388;0,027868331558410432;0,035830561554369554;2282;17639;5161;dropout;;13;20,0;8,0;24,0;;;;4;adam;minmax
7;2024-05-17 16:33:25.908348;0,5845702886581421;;leaky_relu;;;256;0,27677666796952316;0,5392278962697783;0,03672761534619452;0,616762463238312;2282;17639;5161;dropout;0,011632441971193997;3;21,0;;;;0,008994667824007894;False;2;sgd;maxabs
8;2024-05-17 16:36:03.722845;0,6107422113418579;;relu;;;512;;0,7942539996920638;0,01604491876378683;0,7595922095658674;2282;17639;5161;vanilla;0,0018689043004390445;11;14,0;8,0;4,0;;;True;4;sgd;minmax
9;2024-05-17 16:39:36.031567;0,46015626192092896;;selu;0,7801533359030053;0,3797663049890335;512;0,20892884687867103;0,36576224593277296;0,04535785002961236;0,8695047836669585;2282;17639;5161;dropout;;26;16,0;;;;;;2;adam;minmax
10;2024-05-17 16:41:31.515344;0,6678959727287292;;selu;0,2937646822288733;0,9716791248913583;16;;0,9740804865409928;0,008196656349910403;0,006413530956311632;2282;17639;5161;batchnorm;;28;3,0;28,0;;;;;3;adam;normalizer
11;2024-05-17 16:53:51.248890;0,6502329111099243;;selu;0,3005267900618886;0,9439887644382252;16;;0,995728724744391;0,006469216333744816;0,0065145886073442825;2282;17639;5161;batchnorm;;29;3,0;30,0;;;;;3;adam;normalizer
