match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,186;0,1387;0,6753
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2929;0,4703;0,2368
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2981;0,3125;0,3894
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1014;0,8705;0,0281
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2801;0,2821;0,4378
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2417;0,205;0,5533
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2525;0,2252;0,5224
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3063;0,427;0,2668
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2555;0,2053;0,5391
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1008;0,873;0,0262
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3042;0,4291;0,2667
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2508;0,6033;0,1459
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,313;0,4115;0,2755
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2668;0,2463;0,4869
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2512;0,5942;0,1546
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,27;0,2476;0,4825
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3063;0,3833;0,3104
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2637;0,304;0,4323
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3068;0,3882;0,305
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1276;0,092;0,7804
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1917;0,7169;0,0914
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1225;0,0833;0,7942
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2652;0,5596;0,1752
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;2;0,3185;0,3399;0,3416
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2893;0,4879;0,2228
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,2936;0,2845;0,4219
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2988;0,3996;0,3017
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2973;0,4544;0,2483
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;2;0,2986;0,3102;0,3912
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1214;0,8401;0,0385
