version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-18 04:37:13.266514;0,46015626192092896;;leaky_relu;;;256;0,3069489596019566;0,5189575641422126;0,04940711779599828;0,007116567247722151;2255;17639;5161;dropout;0,0381405907009394;7;20,0;;;;0,09448142042785243;False;2;sgd;minmax
1;2024-05-18 04:39:22.909315;0,529492199420929;;leaky_relu;;;64;;0,7383751510443316;0,027065196433984893;0,01767817458047262;2255;17639;5161;batchnorm;0,8599602228603547;10;15,0;8,0;22,0;15,0;0,027906769458767175;True;5;sgd;minmax
2;2024-05-18 04:42:39.125899;0,4602096378803253;;leaky_relu;0,583261497433289;0,21839593852592215;16;;0,2632723870395904;0,09440190775691523;0,05477879076145766;2255;17639;5161;batchnorm;;3;3,0;11,0;21,0;;0,041816258794151254;;4;adam;minmax
3;2024-05-18 04:51:00.616313;0,46015626192092896;;selu;0,8568852393933586;0,03065808945291036;64;;0,4744227685687614;0,036615887748035564;0,0548528099378794;2255;17639;5161;vanilla;;27;;;;;;;1;adam;normalizer
4;2024-05-18 04:53:48.362461;0,5238281488418579;;relu;;;512;;0,1862869198492852;0,023453891333327457;0,2715413508489936;2255;17639;5161;batchnorm;0,13255798598396995;17;17,0;;;;;True;2;sgd;normalizer
5;2024-05-18 04:55:53.191439;0,5296875238418579;;leaky_relu;0,6728350648088094;0,36790968488989767;256;;0,3766580881389604;0,08861638076952756;0,005961040048610432;2255;17639;5161;vanilla;;26;13,0;12,0;8,0;;0,0033536571304568497;;4;adam;normalizer
6;2024-05-18 04:57:50.469040;0,5316406488418579;;selu;;;128;;0,09539288310326159;0,048049677681496865;0,004453945889598109;2255;17639;5161;vanilla;0,04591877876629817;30;;;;;;False;1;sgd;maxabs
7;2024-05-18 05:00:34.271530;0,5287109613418579;;selu;;;256;0,6139100363168537;0,20058206541934115;0,08360903530949845;0,19232082687032326;2255;17639;5161;dropout;0,0402257750340729;26;12,0;24,0;6,0;25,0;;True;5;sgd;maxabs
8;2024-05-18 05:03:02.789067;0,46015626192092896;;leaky_relu;0,13486943077760366;0,14055264691444821;256;;0,11824647178940723;0,06805184454152925;0,776683543690798;2255;17639;5161;batchnorm;;4;4,0;23,0;;;0,029937853504596972;;3;adam;normalizer
9;2024-05-18 05:05:09.797434;0,46015626192092896;;relu;0,6418605372050262;0,28563430227699527;128;;0,6533324462252619;0,017208296461279242;0,08307183633679843;2255;17639;5161;batchnorm;;17;19,0;;;;;;2;adam;normalizer
10;2024-05-18 05:07:28.142091;0,528124988079071;;selu;;;128;;0,08454754785869761;0,05595016485708517;0,001676604956816646;2255;17639;5161;vanilla;0,002331260798953989;30;;;;;;False;1;sgd;maxabs
11;2024-05-18 05:10:46.121566;0,4602096378803253;;selu;0,9913506402607806;0,7036769115301745;32;;0,9294378541820345;0,07448584162009715;0,0034227919470184655;2255;17639;5161;vanilla;;23;28,0;4,0;6,0;;;;4;adam;maxabs
12;2024-05-18 05:15:16.463439;0,46015626192092896;;leaky_relu;;;128;;0,32526586820105496;0,09810491024516481;0,0011799279653612826;2255;17639;5161;vanilla;0,0012723319673483531;22;9,0;16,0;12,0;;0,0010378113366999037;False;4;sgd;maxabs
13;2024-05-18 05:17:27.300122;0,5343555808067322;;selu;0,32224101495449575;0,9992259403883763;32;;0,3720949698607896;0,057484883059190264;0,008007107016248932;2255;17639;5161;vanilla;;28;26,0;30,0;;;;;3;adam;normalizer
14;2024-05-18 05:21:35.855685;0,5306677222251892;;selu;0,22552533849453296;0,9644680395593702;32;;0,36379904187747836;0,04696461467759522;0,015255520536751584;2255;17639;5161;vanilla;;30;28,0;28,0;;;;;3;adam;maxabs
