match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2546;0,2463;0,4991
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2;0,2754;0,3252;0,3994
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;2;0,2548;0,2323;0,5129
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;1;0,2771;0,3696;0,3533
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1597;0,7361;0,1042
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,2748;0,3311;0,394
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,2839;0,4375;0,2786
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;1;0,2544;0,3929;0,3527
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2653;0,4789;0,2558
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,1516;0,7769;0,0715
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2525;0,6036;0,1439
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2996;0,433;0,2674
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,277;0,4957;0,2272
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,2763;0,5569;0,1668
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2617;0,5656;0,1727
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,3002;0,2951;0,4048
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,2899;0,4373;0,2728
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,297;0,5153;0,1878
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;1;0,3213;0,3471;0,3316
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,324;0,3316;0,3444
