version;datetime;validation;test;bagging_fraction;bagging_freq;feature_fraction;gamma_pi;lambda_l1;lambda_l2;lamda;learning_rate;len_test;len_train;len_val;max_depth;min_data_in_leaf;min_gain_to_split;n_estimators;num_leaves;stopping_rounds
0;2024-05-26 15:35:59.554722;1,1927212562939278;;0,2;10;0,5;0,6746754704260913;80;5;0,040951463128488325;0,8307555352004737;2409;34472;8619;11;150;8,118806432191658;500;225;20
1;2024-05-26 15:37:26.450968;1,0894213703850262;;0,4;10;0,5;0,7277194194626097;65;65;0,07793699803455822;0,686895625104176;2409;34472;8619;19;550;5,501681558950907;20;725;20
2;2024-05-26 15:38:53.992539;1,0165171316655706;;0,5;10;0,7;0,40491934489923953;5;65;0,04430631237154321;0,8033058160201064;2409;34472;8619;23;1050;10,635135115783008;250;565;10
3;2024-05-26 15:40:19.839262;1,1421132542357844;;0,30000000000000004;10;0,2;0,16826728392915624;80;50;0,018731559049445397;0,5469389166035955;2409;34472;8619;22;150;11,274442953713573;250;845;50
4;2024-05-26 15:41:49.397398;1,0169281733948714;;0,6000000000000001;10;0,9000000000000001;0,3759573694563449;45;25;0,021456469059250853;0,6606635056341364;2409;34472;8619;23;1050;10,22685993282009;500;605;20
5;2024-05-26 15:43:16.458583;1,0101277125369579;;0,6000000000000001;50;0,8;0,12040006862045124;5;45;0,026266778166037685;0,023558423494567018;2409;34472;8619;4;50;0,842255463694061;250;745;10
6;2024-05-26 15:45:33.953314;1,0132470183818325;;0,7;50;0,8;0,12309337898812875;40;65;0,07295106167700655;0,3937357334075991;2409;34472;8619;6;750;3,7346685671575774;20;485;50
7;2024-05-26 15:47:01.860639;1,0153355026443456;;1,0;10;0,9000000000000001;0,5221029386088536;90;95;0,02612928487053047;0,5242845179270345;2409;34472;8619;24;450;10,377811952037181;500;45;20
8;2024-05-26 15:48:29.455357;1,0510136009573732;;0,2;1;1,0;0,2215226859298176;5;45;0,07589430437524479;0,635124106290189;2409;34472;8619;20;750;12,248752764957926;500;145;50
9;2024-05-26 15:50:02.383660;1,0111208900982054;;0,5;1;0,30000000000000004;0,11526190905156497;35;45;0,04666569124251919;0,04462530791405545;2409;34472;8619;22;950;3,338914841799046;250;485;50
10;2024-05-26 15:51:55.566140;1,0105259124887158;;0,8;50;0,6000000000000001;0,9535364886972184;20;100;0,008203314474639477;0,09955714146466488;2409;34472;8619;3;50;0,43068756264657804;50;965;10
11;2024-05-26 15:53:29.589160;1,024720009992178;;0,8;50;0,6000000000000001;0,9419838820161432;20;100;0,008832038265792812;0,02040541050464853;2409;34472;8619;3;50;0,2723697656936306;50;985;10
12;2024-05-26 15:55:04.139529;1,011313634300744;;0,9000000000000001;50;0,7;0,9323052790931686;20;80;0,01369511252623961;0,20217033162094555;2409;34472;8619;9;350;0,27075835145434923;100;945;10
13;2024-05-26 15:56:46.932454;1,0099002832982442;;0,7;0;0,5;0,9977110700843395;20;25;0,008293043860659988;0,21529296276644522;2409;34472;8619;3;250;1,8318829556661198;50;785;10
14;2024-05-26 15:58:16.826839;1,011041841880974;;0,6000000000000001;0;0,4;0,282046985857325;0;25;0,029980815123908825;0,26748778334429374;2409;34472;8619;7;250;2,543100105536272;50;705;10
15;2024-05-26 15:59:46.835556;1,0132970086452322;;0,7;0;0,8;0,06613312771739438;30;25;0,03448970347422775;0,23370134487014219;2409;34472;8619;15;350;14,495764327365157;100;365;10
16;2024-05-26 16:01:14.779699;1,0129046010915705;;0,7;0;0,4;0,7850358268850044;60;0;0,06192813337130072;0,39450344944987437;2409;34472;8619;13;250;5,614969205903838;250;765;10
17;2024-05-26 16:02:44.109760;1,0096627199166104;;0,5;0;0,7;0,5933287066997626;15;15;0,005700564073983838;0,13443526933332214;2409;34472;8619;6;50;1,6120380715524132;50;825;10
18;2024-05-26 16:04:19.159076;1,01096257145559;;0,4;0;0,5;0,5863149102357528;55;15;0,005318002077675555;0,13083219393771373;2409;34472;8619;7;550;2,244651628528645;50;845;10
19;2024-05-26 16:05:51.784316;1,011497394149234;;0,5;0;0,7;0,8250282635451597;25;35;0,01866163385078533;0,34649807275530836;2409;34472;8619;10;250;5,137582298758726;50;625;10
20;2024-05-26 16:07:20.043584;1,0095494822593074;;1,0;0;0,2;0,6172552478661139;15;10;0,005156984792127159;0,17152353366546455;2409;34472;8619;16;150;2,3252514844664836;50;845;10
21;2024-05-26 16:08:53.143131;1,0095190957475877;;1,0;0;0,2;0,6100999412203814;15;10;0,005391300428420829;0,17707268785561783;2409;34472;8619;15;150;1,937201438279458;50;865;10
22;2024-05-26 16:10:26.590849;1,00981047108105;;1,0;0;0,2;0,6049287755036077;10;10;0,015576710668429866;0,13750377940753022;2409;34472;8619;16;150;4,052292063180036;50;885;10
23;2024-05-26 16:11:59.067087;1,0104432140480235;;0,9000000000000001;0;0,30000000000000004;0,5113112127170157;15;15;0,005132995303851518;0,2977490002487611;2409;34472;8619;17;50;1,7403544373173276;50;865;10
24;2024-05-26 16:13:30.450272;1,0103419235453308;;0,9000000000000001;0;0,30000000000000004;0,6623340528870585;35;0;0,0930960011546299;0,14418855872347108;2409;34472;8619;13;350;1,5256900609085828;50;665;10
25;2024-05-26 16:15:03.002755;1,0110494838222945;;1,0;0;0,2;0,4676173709213362;30;15;0,013500771796722655;0,307954587815491;2409;34472;8619;18;150;2,7940984828159516;50;905;10
26;2024-05-26 16:16:32.599455;1,009821292964819;;0,8;1;0,4;0,5831415778460676;0;35;0,03259752290992236;0,19094020866975334;2409;34472;8619;14;450;4,5666131680428945;50;385;10
27;2024-05-26 16:18:02.916953;1,0109334269142487;;0,9000000000000001;0;0,30000000000000004;0,6487057930982515;45;5;0,02352828632125764;0,1003765818688568;2409;34472;8619;12;750;3,1858249472820024;100;805;10
28;2024-05-26 16:19:39.686790;1,0563380642298512;;0,4;0;0,2;0,7293676595275899;10;35;0,013584629409000867;0,002737211846796539;2409;34472;8619;16;150;1,260421339455572;20;685;20
29;2024-05-26 16:21:11.622740;1,013393699240515;;1,0;0;0,4;0,572007653003097;75;10;0,034051356633957267;0,3811861852777174;2409;34472;8619;11;50;6,494249726709116;50;545;50
30;2024-05-26 16:22:40.693394;1,0142789407799093;;0,30000000000000004;0;0,6000000000000001;0,46661715193334685;100;20;0,03934558892923951;0,253960500256162;2409;34472;8619;10;450;7,48577147180718;50;305;20
31;2024-05-26 16:24:09.235116;1,0099054365475255;;1,0;0;0,2;0,6243515692354857;10;5;0,01622146302235983;0,14530885316745507;2409;34472;8619;16;150;4,047910847996122;50;885;10
32;2024-05-26 16:25:41.006828;1,0100996422196356;;1,0;0;0,2;0,6670796416363853;15;10;0,01250991944024049;0,07872967744433809;2409;34472;8619;20;150;2,6350296589627082;50;905;10
33;2024-05-26 16:27:14.421132;1,0106077225404348;;0,9000000000000001;0;0,30000000000000004;0,7243291687021687;10;0;0,01962332134381916;0,170522120468728;2409;34472;8619;18;250;4,042990065750409;20;805;10
34;2024-05-26 16:28:43.426990;1,0100168432904038;;1,0;0;0,2;0,5956288948198862;25;10;0,006037164884264929;0,08888045773120558;2409;34472;8619;15;50;1,254773336099172;50;985;10
35;2024-05-26 16:30:18.730865;1,0142519104830723;;0,8;1;0,7;0,5492461508933254;0;20;0,02103792723687167;0,16700623526702035;2409;34472;8619;14;150;0,006058988152682465;50;925;10
36;2024-05-26 16:32:02.830698;1,0104638290487142;;0,9000000000000001;10;0,30000000000000004;0,6286916422497605;15;30;0,012360425795583167;0,22196814334727635;2409;34472;8619;19;350;4,468476262320998;500;825;20
37;2024-05-26 16:33:34.465961;1,0117846100534527;;0,5;0;0,2;0,7103453639117041;30;10;0,01759134197123018;0,45671696169760456;2409;34472;8619;17;650;3,284159307139684;50;705;10
38;2024-05-26 16:35:03.309132;1,0124800209399476;;1,0;10;0,4;0,3952583208484677;70;55;0,025539518813341704;0,2854371176363514;2409;34472;8619;12;250;2,2021186251749194;20;745;50
39;2024-05-26 16:36:31.692918;1,0123718532712336;;0,30000000000000004;0;0,9000000000000001;0,5064840871300128;5;20;0,011260641389908906;0,11435744629521213;2409;34472;8619;20;150;0,981661519586688;100;645;10
40;2024-05-26 16:38:15.782392;1,016736916455193;;0,5;0;0,5;0,4464743017885012;45;5;0,017070847119325834;0,968176013726771;2409;34472;8619;5;50;3,262212037514386;250;545;20
41;2024-05-26 16:39:44.536528;1,0097726071079869;;0,8;1;0,2;0,5706215670069645;0;35;0,010196372117877597;0,1969431975484891;2409;34472;8619;14;450;4,805071908925438;50;405;10
42;2024-05-26 16:41:15.942547;1,0097912395472715;;0,8;1;0,2;0,5473469409570388;5;30;0,009675895716514558;0,07195581921515651;2409;34472;8619;15;850;2,1971649548484313;50;385;10
43;2024-05-26 16:42:50.983977;1,0099984229290544;;0,6000000000000001;1;0,30000000000000004;0,5406254626892241;5;40;0,005155793414225285;0,07411733137314082;2409;34472;8619;15;950;2,1288275828146355;50;405;10
