match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2534;0,2606;0,486
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2;0,284;0,3294;0,3867
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;2;0,2496;0,2632;0,4872
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;1;0,2848;0,3776;0,3376
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,1655;0,7318;0,1027
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,2719;0,3539;0,3742
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,277;0,4392;0,2838
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;1;0,2485;0,4126;0,3389
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2637;0,4792;0,257
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,1588;0,7456;0,0956
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2463;0,5949;0,1587
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2993;0,4178;0,2829
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2715;0,4974;0,2311
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,2753;0,5597;0,165
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2643;0,5539;0,1818
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,2967;0,3107;0,3926
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,3007;0,4228;0,2765
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,3002;0,4981;0,2017
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;2;0,3006;0,3465;0,3529
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,3139;0,3393;0,3469
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,2136;0,1716;0,6148
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2939;0,4212;0,2849
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,2416;0,6063;0,1521
35066;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,2391;0,2149;0,546
35067;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;1;0,2846;0,4177;0,2977
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;1;0,2842;0,4078;0,308
35069;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,2032;0,6547;0,1422
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1,0;1;0,293;0,4568;0,2502
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0,0;1;0,3057;0,4253;0,2691
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;1;0,2865;0,4239;0,2896
57596;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,2781;0,5444;0,1775
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2682;0,5285;0,2034
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,2914;0,4355;0,2731
45183;2020-01-05;T19-20;SP1;Granada;Mallorca;1;0;1,0;1;0,2705;0,5283;0,2012
35070;2020-01-06;T19-20;I1;Bologna;Fiorentina;1;1;0,0;1;0,2749;0,4359;0,2892
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1;0,2499;0,5687;0,1814
35072;2020-01-06;T19-20;I1;Juventus;Cagliari;4;0;1,0;1;0,16;0,7422;0,0978
35073;2020-01-06;T19-20;I1;Milan;Sampdoria;0;0;0,0;1;0,2593;0,5294;0,2113
35074;2020-01-06;T19-20;I1;Lecce;Udinese;0;1;2,0;1;0,2809;0,457;0,2621
35075;2020-01-06;T19-20;I1;Napoli;Inter;1;3;2,0;2;0,2496;0,307;0,4434
57599;2020-01-07;T19-20;SP2;Zaragoza;Sp Gijon;2;0;1,0;1;0,2963;0,4904;0,2134
26583;2020-01-10;T19-20;F1;Rennes;Marseille;0;1;2,0;1;0,2906;0,3781;0,3314
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1;0,2979;0,4518;0,2503
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0,0;1;0,2545;0,5212;0,2243
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;1;0,2724;0,385;0,3426
26588;2020-01-11;T19-20;F1;Nimes;Reims;2;0;1,0;1;0,2948;0,376;0,3291
26586;2020-01-11;T19-20;F1;Angers;Nice;1;1;0,0;1;0,309;0,4533;0,2378
26587;2020-01-11;T19-20;F1;Metz;Strasbourg;1;0;1,0;1;0,2847;0,4226;0,2927
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1;0,2058;0,588;0,2062
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;2;0,2429;0,2969;0,4602
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0,0;1;0,281;0,4873;0,2317
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1;0,2178;0,6453;0,1368
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2,0;1;0,2555;0,5773;0,1672
26585;2020-01-11;T19-20;F1;Amiens;Montpellier;1;2;2,0;1;0,2933;0,4161;0,2906
26589;2020-01-11;T19-20;F1;Toulouse;Brest;2;5;2,0;1;0,2949;0,3972;0,3079
26584;2020-01-11;T19-20;F1;Bordeaux;Lyon;1;2;2,0;1;0,2858;0,3775;0,3367
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1;0,2908;0,4954;0,2138
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1;0,2486;0,6064;0,145
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0,0;1;0,2873;0,3873;0,3253
26591;2020-01-12;T19-20;F1;Dijon;Lille;1;0;1,0;2;0,2772;0,344;0,3788
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1,0;1;0,2543;0,5144;0,2313
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1,0;1;0,272;0,4988;0,2291
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2;0,2239;0,181;0,595
26592;2020-01-12;T19-20;F1;Paris SG;Monaco;3;3;0,0;1;0,1608;0,7289;0,1104
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1,0;1;0,2861;0,4959;0,218
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1,0;1;0,2624;0,5064;0,2312
