match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2765;0,5983;0,1253
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;0;0,3576;0,3215;0,321
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,3281;0,2195;0,4524
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,342;0,2555;0,4026
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3329;0,2298;0,4373
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3453;0,2609;0,3938
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,3258;0,2139;0,4603
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;0;0,358;0,3073;0,3347
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,3258;0,2139;0,4603
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3308;0,2252;0,444
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;0;0,358;0,3073;0,3347
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3453;0,2609;0,3938
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2388;0,6708;0,0904
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,335;0,4512;0,2138
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;0;0,3565;0,2989;0,3446
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;0;0,3565;0,2989;0,3446
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3541;0,3701;0,2758
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3541;0,3701;0,2758
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,335;0,4512;0,2138
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2552;0,1148;0,63
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,3422;0,4247;0,2331
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,3463;0,2626;0,3911
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,3008;0,1726;0,5266
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3537;0,362;0,2843
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;2;0,354;0,287;0,359
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3327;0,4623;0,205
