version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-28 21:03:50.217042;0,34181416034698486;;leaky_relu;;;64;;;False;;0,0010525011193831574;3704;24514;7248;vanilla;0,06751815036118898;13;19,0;;;;0,04938636460433473;False;2;sgd;normalizer
1;2024-05-28 21:06:23.693695;0,3242533206939697;;relu;;;32;0,4083812200698087;1,0;True;maxabs;0,28997094277573876;3704;24514;7248;dropout;0,08666990962077585;18;7,0;8,0;;;;False;3;sgd;minmax
2;2024-05-28 21:11:37.798107;0,3250558078289032;;leaky_relu;;;256;;4,0;True;maxabs;0,1758030273919633;3704;24514;7248;vanilla;0,33867003463548145;4;25,0;25,0;24,0;10,0;0,033109729189669236;False;5;sgd;normalizer
3;2024-05-28 21:12:34.792623;0,4756637215614319;;relu;0,7553967591250371;0,9261679956455863;64;0,11410767836486191;10,0;True;normalizer;0,002727075871945051;3704;24514;7248;dropout;;3;3,0;9,0;24,0;;;;4;adam;maxabs
4;2024-05-28 21:15:39.313362;0,4539620578289032;;relu;;;512;;;False;;0,22026656286225682;3704;24514;7248;batchnorm;0,033962385349304;27;10,0;11,0;20,0;9,0;;True;5;sgd;normalizer
5;2024-05-28 21:16:29.283586;0,3250558078289032;;relu;;;256;;4,0;True;maxabs;0,22157398908018572;3704;24514;7248;batchnorm;0,7478302514594847;24;17,0;;;;;False;2;sgd;normalizer
6;2024-05-28 21:17:28.192315;0,3418874144554138;;relu;0,8699623108074866;0,1922534155927134;16;0,6500478656753935;;False;;0,015685911919203353;3704;24514;7248;dropout;;4;15,0;15,0;26,0;;;;4;adam;maxabs
7;2024-05-28 21:26:55.590434;0,4779575765132904;;leaky_relu;;;128;0,5983406088743844;;False;;0,010591413587228364;3704;24514;7248;dropout;0,9759398156055714;27;3,0;;;;0,051995653193787655;False;2;sgd;maxabs
8;2024-05-28 21:28:50.388739;0,4557119309902191;;selu;;;8;0,6931004825318787;73,0;True;normalizer;0,014217223067729698;3704;24514;7248;dropout;0,0012613369671620718;21;;;;;;False;1;sgd;maxabs
9;2024-05-28 21:45:25.229752;0,3418874144554138;;relu;0,28575727174983706;0,6093626161386104;8;0,11410763331976426;10,0;True;maxabs;0,19633916502012072;3704;24514;7248;dropout;;24;24,0;28,0;30,0;;;;4;adam;maxabs
10;2024-05-28 22:05:31.840788;0,4462890625;;leaky_relu;0,01824302901686664;0,03311422972479128;128;;;False;;0,05205232120092071;3704;24514;7248;batchnorm;;30;;;;;0,09101129446411943;;1;adam;minmax
11;2024-05-28 22:07:52.487988;0,46833518147468567;;selu;0,785304997306488;0,99533570713414;64;0,153195584797368;;False;;0,0032241797758871147;3704;24514;7248;dropout;;10;3,0;4,0;;;;;3;adam;maxabs
12;2024-05-28 22:10:39.929513;0,4814453125;;leaky_relu;0,6268583031020315;0,9662526882326004;128;0,3775732612907955;;False;;0,004920319443972636;3704;24514;7248;dropout;;10;4,0;20,0;8,0;;0,0016905277591764134;;4;adam;maxabs
13;2024-05-28 22:12:22.159456;0,4673549234867096;;leaky_relu;0,5302547974352207;0,6943796781762999;128;0,47467802833856054;;False;;0,007526512795213672;3704;24514;7248;dropout;;10;10,0;;;;0,006109192198100015;;2;adam;maxabs
14;2024-05-28 22:14:04.953416;0,3341238796710968;;leaky_relu;;;128;0,5238986730744741;;False;;0,9823285505083396;3704;24514;7248;dropout;0,902727251960376;15;7,0;22,0;;;0,008649540445045702;True;3;sgd;maxabs
15;2024-05-28 22:15:34.482965;0,4679129421710968;;leaky_relu;0,4984848203506742;0,41984012948211524;128;;;False;;0,04550825726291794;3704;24514;7248;vanilla;;8;30,0;19,0;5,0;;0,057775745769432875;;4;adam;maxabs
16;2024-05-28 22:17:12.816354;0,4751674234867096;;leaky_relu;0,945713030676554;0,7763618645766616;128;0,3173541615680742;;False;;0,005890753191832711;3704;24514;7248;dropout;;17;12,0;;;;0,03593581722333944;;2;adam;minmax
17;2024-05-28 22:18:45.468321;0,3341611623764038;;leaky_relu;;;16;0,5778652099586106;;False;;0,019152882465724747;3704;24514;7248;dropout;0,006956888396942339;21;6,0;30,0;9,0;30,0;0,06294840931512308;True;5;sgd;maxabs
18;2024-05-28 22:28:25.521927;0,4656808078289032;;selu;0,6153584650423696;0,45898787232309246;512;;;False;;0,0012100525214985757;3704;24514;7248;vanilla;;13;3,0;16,0;;;;;3;adam;maxabs
19;2024-05-28 22:29:21.555382;0,4173119366168976;;leaky_relu;;;32;;;False;;0,0050675973808381675;3704;24514;7248;batchnorm;0,19255475893009863;8;;;;;0,001534043034004215;False;1;sgd;minmax
20;2024-05-28 22:34:43.950249;0,4624721109867096;;leaky_relu;;;128;0,34170112758292365;;False;;0,010207223463649068;3704;24514;7248;dropout;0,27543504807141483;30;12,0;;;;0,02723750823830706;True;2;sgd;maxabs
21;2024-05-28 22:37:03.521292;0,3242533206939697;;relu;0,7272591389936892;0,9660439209364113;64;0,24111360285480793;8,0;True;minmax;0,0028119360624815977;3704;24514;7248;dropout;;3;4,0;11,0;13,0;;;;4;adam;maxabs
22;2024-05-28 22:39:34.485045;0,34181416034698486;;relu;0,9722162065966633;0,853159408065751;64;0,242258799039705;43,0;True;normalizer;0,0034477846194208646;3704;24514;7248;dropout;;6;6,0;3,0;16,0;;;;4;adam;maxabs
23;2024-05-28 22:42:38.358002;0,4719586968421936;;selu;0,7010611466571363;0,8327715203309949;128;0,4319749574020164;99,0;True;normalizer;0,0026028303123220775;3704;24514;7248;dropout;;12;3,0;19,0;4,0;;;;4;adam;maxabs
24;2024-05-28 22:44:26.962343;0,3242533206939697;;leaky_relu;0,8254434409484053;0,9993146442771703;64;0,5448938094544012;7,0;True;minmax;0,0018371308710211536;3704;24514;7248;dropout;;7;9,0;12,0;11,0;26,0;0,07396712880824557;;5;adam;maxabs
25;2024-05-28 22:47:05.267675;0,4606584906578064;;relu;0,6127012979395727;0,6560819078876196;128;0,4707544938425816;;False;;0,005748926639877925;3704;24514;7248;dropout;;20;5,0;8,0;;;;;3;adam;maxabs
26;2024-05-28 22:49:31.161343;0,46978476643562317;;leaky_relu;0,37929308825990826;0,8900353976994939;8;0,37217102343681424;37,0;True;normalizer;0,0017935179496691874;3704;24514;7248;dropout;;15;8,0;22,0;21,0;;0,023644464693596955;;4;adam;maxabs
