match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,3131;0,1835;0,5033
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3259;0,4647;0,2094
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3428;0,2977;0,3595
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1558;0,8124;0,0318
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,3418;0,3014;0,3568
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,3381;0,2678;0,3941
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3359;0,253;0,4111
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3399;0,3969;0,2632
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3365;0,2559;0,4076
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1626;0,8028;0,0347
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3334;0,4342;0,2325
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2566;0,6447;0,0987
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3257;0,466;0,2082
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,3414;0,3036;0,3549
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2621;0,6338;0,1041
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3423;0,3127;0,345
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3364;0,4177;0,2459
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3395;0,3977;0,2629
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3365;0,4145;0,249
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2451;0,0912;0,6638
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2349;0,6862;0,0789
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2763;0,1238;0,5999
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3035;0,5355;0,161
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3424;0,3558;0,3018
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3153;0,5005;0,1842
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,3422;0,295;0,3629
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3366;0,4113;0,2521
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,322;0,4788;0,1993
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3421;0,3569;0,3011
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,154;0,815;0,031
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3211;0,4814;0,1975
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,3374;0,4022;0,2604
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,3322;0,4366;0,2312
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,3336;0,2463;0,4201
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,3235;0,2097;0,4668
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2591;0,6398;0,1012
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2484;0,6608;0,0908
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2821;0,5896;0,1284
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1975;0,7498;0,0527
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;0;0,3438;0,34;0,3162
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1777;0,7805;0,0419
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3289;0,4535;0,2176
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3361;0,4191;0,2448
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,2398;0,0868;0,6733
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,3364;0,4168;0,2469
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2794;0,5965;0,1241
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2759;0,604;0,1201
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3044;0,5331;0,1624
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,3305;0,4436;0,2259
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,3307;0,4441;0,2252
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3371;0,4102;0,2527
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3217;0,4802;0,1981
