version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-10 10:47:46.326868;0,5289633870124817;;leaky_relu;;;32;;;False;;0,03995581919752101;2631;17786;5269;vanilla;0,05927470553519541;17;23,0;19,0;29,0;;0,07709178143658613;False;4;sgd;minmax
1;2024-05-10 10:51:08.817166;0,5258358716964722;;selu;;;16;0,2906930195969475;;False;;0,005051710809132386;2631;17786;5269;dropout;0,00293795244256243;11;17,0;15,0;30,0;21,0;;True;5;sgd;maxabs
2;2024-05-10 10:59:08.542292;0,3265577554702759;;leaky_relu;0,14152180816199547;0,5505522537216647;8;0,6976898315620581;1,0;True;minmax;0,011734479488441888;2631;17786;5269;dropout;;25;17,0;;;;0,0511645975907975;;2;adam;minmax
3;2024-05-10 11:09:00.763090;0,4596036672592163;;selu;0,10620113931938935;0,15774043703544036;32;;;False;;0,17529816136828508;2631;17786;5269;vanilla;;16;10,0;14,0;7,0;12,0;;;5;adam;maxabs
4;2024-05-10 11:12:05.174290;0,525645911693573;;selu;0,25786642523069464;0,544520628891158;8;;63,0;True;normalizer;0,1925156413013176;2631;17786;5269;vanilla;;9;;;;;;;1;adam;normalizer
5;2024-05-10 11:18:12.007509;0,5279296636581421;;selu;;;512;;;False;;0,06277113916796298;2631;17786;5269;batchnorm;0,013554620285608453;10;28,0;21,0;25,0;;;True;4;sgd;maxabs
6;2024-05-10 11:18:41.229496;0,4596036672592163;;leaky_relu;0,4201437322338299;0,07818405040597202;32;;;False;;0,06090466762204958;2631;17786;5269;batchnorm;;14;16,0;7,0;;;0,024792996007419806;;3;adam;minmax
7;2024-05-10 11:21:54.630703;0,2522865831851959;;relu;;;128;;10,0;True;maxabs;0,2821383491948977;2631;17786;5269;batchnorm;0,019143849361121665;22;29,0;;;;;False;2;sgd;minmax
8;2024-05-10 11:22:44.798301;0,4596036672592163;;selu;;;128;0,4897517519700908;;False;;0,016196645682399757;2631;17786;5269;dropout;0,0015198539157522896;13;24,0;16,0;;;;True;3;sgd;normalizer
9;2024-05-10 11:23:23.363886;0,4597264528274536;;relu;0,21192517629808366;0,4982113425144895;16;;;False;;0,14862727476372564;2631;17786;5269;batchnorm;;20;26,0;27,0;;;;;3;adam;maxabs
10;2024-05-10 11:30:39.567846;0,53125;;leaky_relu;;;256;;100,0;True;normalizer;0,9630154137963279;2631;17786;5269;vanilla;0,38604295983073594;29;5,0;3,0;17,0;;0,0975131869744719;False;4;sgd;minmax
11;2024-05-10 11:31:36.141505;0,4619140625;;leaky_relu;;;256;;97,0;True;normalizer;0,0012069975101219638;2631;17786;5269;vanilla;0,39913336844728897;30;6,0;3,0;17,0;;0,09851424260768181;False;4;sgd;minmax
12;2024-05-10 11:32:08.223025;0,5302972793579102;;leaky_relu;;;64;;100,0;True;normalizer;0,8286657632568563;2631;17786;5269;vanilla;0,2600594113213456;4;3,0;24,0;16,0;;0,09526337656317038;False;4;sgd;minmax
13;2024-05-10 11:33:42.706761;0,2522865831851959;;leaky_relu;;;64;;99,0;True;normalizer;0,8017623844609756;2631;17786;5269;vanilla;0,9161901987557912;3;3,0;30,0;15,0;;0,09958514003878731;False;4;sgd;minmax
14;2024-05-10 11:34:34.422139;0,5322265625;;leaky_relu;;;256;;74,0;True;normalizer;0,9105564234449594;2631;17786;5269;vanilla;0,20970679981656068;29;9,0;23,0;16,0;30,0;0,0765840014143392;False;5;sgd;minmax
15;2024-05-10 11:35:12.677424;0,53125;;leaky_relu;;;256;;72,0;True;normalizer;0,9507236203823368;2631;17786;5269;vanilla;0,1295891541522589;30;10,0;9,0;9,0;30,0;0,06984415055276925;False;5;sgd;minmax
16;2024-05-10 11:35:53.118134;0,251953125;;leaky_relu;;;256;;9,0;True;maxabs;0,3028653132147752;2631;17786;5269;vanilla;0,7719063047746522;26;9,0;10,0;20,0;30,0;0,07434399888882669;False;5;sgd;minmax
17;2024-05-10 11:36:27.158582;0,251953125;;relu;;;256;;9,0;True;minmax;0,4120023316494372;2631;17786;5269;vanilla;0,15753094130998158;26;14,0;23,0;11,0;4,0;;False;5;sgd;normalizer
18;2024-05-10 11:37:05.787009;0,533398449420929;;leaky_relu;;;256;;78,0;True;normalizer;0,5836824286777696;2631;17786;5269;vanilla;0,08592138956981332;22;7,0;26,0;22,0;;0,006085694856298222;False;4;sgd;minmax
19;2024-05-10 11:37:46.158494;0,4619140625;;leaky_relu;;;512;0,1214518511229466;78,0;True;normalizer;0,10264905018317222;2631;17786;5269;dropout;0,060215924191826344;21;13,0;;;;0,0018209693350440329;True;2;sgd;normalizer
20;2024-05-10 11:38:11.656648;0,5283203125;;relu;;;256;;45,0;True;normalizer;0,5034802141220555;2631;17786;5269;vanilla;0,08362389953998393;24;7,0;27,0;;;;False;3;sgd;minmax
21;2024-05-10 11:38:46.704665;0,531445324420929;;leaky_relu;;;256;;82,0;True;normalizer;0,47986928193999034;2631;17786;5269;vanilla;0,35138052500309974;28;6,0;26,0;22,0;;0,03762775398344389;False;4;sgd;minmax
22;2024-05-10 11:39:28.220891;0,5337890386581421;;leaky_relu;;;256;;81,0;True;normalizer;0,43561736586502753;2631;17786;5269;vanilla;0,211866393248926;28;8,0;26,0;23,0;21,0;0,028713067246351386;False;5;sgd;minmax
23;2024-05-10 11:40:08.191958;0,527539074420929;;leaky_relu;;;256;;47,0;True;normalizer;0,4347709533050079;2631;17786;5269;vanilla;0,14270842214744528;23;12,0;29,0;22,0;21,0;0,008280195351599743;False;5;sgd;minmax
24;2024-05-10 11:40:58.591160;0,4390625059604645;;leaky_relu;;;256;;10,0;True;minmax;0,21769231882083703;2631;17786;5269;vanilla;0,04284011082822345;19;9,0;20,0;25,0;23,0;0,01791585200839562;False;5;sgd;minmax
25;2024-05-10 11:41:25.027434;0,251953125;;leaky_relu;;;256;;10,0;True;maxabs;0,5524669513943901;2631;17786;5269;vanilla;0,19062923551170807;27;20,0;24,0;13,0;14,0;0,02448454999255881;False;5;sgd;minmax
