match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2228;0,2194;0,5578
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3337;0,4204;0,246
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2577;0,2614;0,4809
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1237;0,836;0,0403
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3372;0,3809;0,2819
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2275;0,2245;0,5481
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2874;0,2979;0,4147
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3092;0,497;0,1937
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,277;0,2848;0,4382
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1247;0,8344;0,0408
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3378;0,401;0,2611
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3329;0,4244;0,2427
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,339;0,3861;0,2749
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2859;0,296;0,4181
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2907;0,5432;0,1661
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3263;0,3569;0,3168
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3358;0,3784;0,2858
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3242;0,3523;0,3235
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3249;0,4515;0,2235
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,0925;0,0807;0,8267
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,223;0,6768;0,1002
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,218;0,2134;0,5686
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2559;0,616;0,1281
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;2;0,3162;0,3389;0,3449
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3319;0,428;0,24
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3387;0,3841;0,2773
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3389;0,3845;0,2765
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3335;0,4215;0,2449
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3285;0,3618;0,3097
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1658;0,7722;0,062
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3264;0,4466;0,227
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,3353;0,3903;0,2744
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,3292;0,4375;0,2332
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,3187;0,3433;0,338
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2233;0,2193;0,5574
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,285;0,5565;0,1585
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2211;0,6799;0,099
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,295;0,533;0,172
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2231;0,6762;0,1007
