version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-20 11:13:23.591730;0,5219329595565796;;relu;;;8;;43,0;True;normalizer;0,03572840073029737;2631;39710;5613;batchnorm;0,04647894079330855;5;20,0;28,0;;;;True;3;sgd;minmax
1;2024-05-20 11:26:48.757456;0,2548145651817322;;selu;;;8;;10,0;True;maxabs;0,005344035716584317;2631;39710;5613;batchnorm;0,0019157590364990964;30;27,0;4,0;12,0;;;False;4;sgd;minmax
2;2024-05-20 11:40:27.927747;0,4946056604385376;;leaky_relu;;;256;0,49058975578613606;;False;;0,29977319703793776;2631;39710;5613;dropout;0,0014289603865752607;21;;;;;0,07058147499941761;False;1;sgd;minmax
3;2024-05-20 11:41:03.937983;0,459285706281662;;leaky_relu;0,20526181053829215;0,4158567638443416;16;0,6847954488187828;;False;;0,013426116927366118;2631;39710;5613;dropout;;29;5,0;6,0;;;0,014055515311924543;;3;adam;minmax
4;2024-05-20 11:47:48.660225;0,4599609375;;selu;0,6706624557253024;0,022920422744785875;512;;;False;;0,15249507925286832;2631;39710;5613;vanilla;;3;7,0;;;;;;2;adam;maxabs
5;2024-05-20 11:48:16.371249;0,5041307210922241;;relu;0,7925082238467558;0,01354307852485245;64;;54,0;True;normalizer;0,0040050929366724775;2631;39710;5613;batchnorm;;9;30,0;8,0;3,0;;;;4;adam;minmax
6;2024-05-20 11:50:20.655239;0,4692857265472412;;leaky_relu;0,6576670536500423;0,9703684422423974;32;;6,0;True;minmax;0,0012051629137827748;2631;39710;5613;batchnorm;;30;;;;;0,042154860050815035;;1;adam;maxabs
7;2024-05-20 11:57:02.830778;0,4599609375;;selu;;;512;0,18237032993099872;86,0;True;normalizer;0,003992700129775883;2631;39710;5613;dropout;0,003686207433595062;3;14,0;;;;;False;2;sgd;maxabs
8;2024-05-20 11:57:40.998313;0,5249999761581421;;relu;;;16;0,273462943184883;19,0;True;normalizer;0,17023888005156454;2631;39710;5613;dropout;0,014395791099678335;21;;;;;;True;1;sgd;minmax
9;2024-05-20 12:03:43.816253;0,3939732015132904;;selu;;;256;;4,0;True;minmax;0,10995833755523783;2631;39710;5613;vanilla;0,049056044229689816;5;26,0;30,0;;;;False;3;sgd;normalizer
10;2024-05-20 12:04:24.146637;0,459285706281662;;relu;;;16;0,19247289366274561;;False;;0,34173509904261967;2631;39710;5613;dropout;0,8970230016605264;18;13,0;18,0;30,0;9,0;;True;5;sgd;normalizer
11;2024-05-20 12:11:10.006130;0,5130813717842102;;relu;;;128;;40,0;True;normalizer;0,04601409342246424;2631;39710;5613;batchnorm;0,030632826756269157;13;21,0;;;;;True;2;sgd;minmax
12;2024-05-20 12:12:24.546277;0,5215763449668884;;relu;;;8;0,34295027195580324;35,0;True;normalizer;0,9922556125077976;2631;39710;5613;dropout;0,0269092575031785;23;;;;;;True;1;sgd;minmax
13;2024-05-20 12:26:20.459206;0,5242510437965393;;relu;;;8;;32,0;True;normalizer;0,04082320560711689;2631;39710;5613;batchnorm;0,01218051922419632;13;19,0;30,0;30,0;29,0;;True;5;sgd;minmax
14;2024-05-20 12:40:41.160127;0,25482141971588135;;relu;;;16;;1,0;True;maxabs;0,06462336135519418;2631;39710;5613;vanilla;0,007986921396690083;15;10,0;20,0;30,0;30,0;;True;5;sgd;minmax
15;2024-05-20 12:48:13.298138;0,5192169547080994;;relu;;;64;;27,0;True;normalizer;0,023917565501737733;2631;39710;5613;batchnorm;0,008998788623095852;11;19,0;24,0;20,0;;;True;4;sgd;normalizer
16;2024-05-20 12:52:33.547406;0,46057412028312683;;relu;;;128;0,11347555584941138;25,0;True;normalizer;0,10851306460344479;2631;39710;5613;dropout;0,010280991328399098;24;24,0;13,0;21,0;29,0;;True;5;sgd;minmax
