match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2833;0,1592;0,5575
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3048;0,3923;0,303
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3096;0,3771;0,3134
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1904;0,6492;0,1604
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;0;0,3641;0,2755;0,3604
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,3061;0,2937;0,4002
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3264;0,2465;0,4271
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3158;0,3618;0,3225
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3093;0,3271;0,3636
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1342;0,7906;0,0752
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2894;0,4152;0,2954
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2198;0,5794;0,2008
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2697;0,4535;0,2768
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3021;0,3554;0,3426
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,265;0,5012;0,2338
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3211;0,2883;0,3906
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2966;0,4052;0,2982
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,3038;0,3187;0,3775
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3138;0,4017;0,2845
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2412;0,1233;0,6355
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2658;0,5622;0,172
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2524;0,1528;0,5947
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3135;0,4233;0,2632
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3058;0,3778;0,3164
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3369;0,3841;0,2791
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,3104;0,341;0,3486
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3093;0,3992;0,2915
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3003;0,405;0,2948
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3131;0,3649;0,322
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,2048;0,6376;0,1576
