version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-24 04:17:58.666800;0,520636796951294;;leaky_relu;0,9833003833942405;0,3207726638206956;16;;0,8973623890757846;0,05653245815830759;0,019384556428816938;2195;17369;5099;vanilla;;16;30,0;25,0;26,0;;0,04129725183713575;;4;adam;minmax
1;2024-05-24 04:27:05.195449;0,5286458134651184;;relu;0,5089937962686149;0,4989645165469093;512;0,6972722640241147;0,9243952316530698;0,010726831973152696;0,0034569682223578512;2195;17369;5099;dropout;;18;;;;;;;1;adam;minmax
2;2024-05-24 04:28:55.895447;0,5332154035568237;;leaky_relu;0,30762721327408366;0,4325420215310351;16;;0,9565757416863879;0,0441490683593368;0,0024035282207430803;2195;17369;5099;vanilla;;6;25,0;5,0;27,0;3,0;0,056485642852609645;;5;adam;minmax
3;2024-05-24 04:33:33.141589;0,5255503058433533;;leaky_relu;;;16;;0,34764708794888466;0,012305106142324402;0,0034175372600652476;2195;17369;5099;batchnorm;0,056434771576724954;26;3,0;22,0;;;0,052313600762664135;False;3;sgd;normalizer
4;2024-05-24 04:44:37.113576;0,49054276943206787;;selu;;;256;;0,7660617994542092;0,08560751911250004;0,06344458287406937;2195;17369;5099;batchnorm;0,003482940320198656;9;;;;;;True;1;sgd;maxabs
5;2024-05-24 04:48:00.011192;0,4608883559703827;;leaky_relu;0,44084876574900383;0,21788991278971306;32;0,6793589144524365;0,9016366675996471;0,07242246727080552;0,1136988307352166;2195;17369;5099;dropout;;7;13,0;;;;0,019380826415743187;;2;adam;maxabs
6;2024-05-24 04:52:43.381038;0,47882401943206787;;relu;0,3004377739156187;0,5783158340048651;256;;0,8140618459171676;0,017304525453420393;0,3148689368414193;2195;17369;5099;batchnorm;;8;20,0;19,0;22,0;;;;4;adam;minmax
7;2024-05-24 04:55:08.016602;0,4707278609275818;;selu;0,7482032746750454;0,652555843552342;64;;0,2381574028557374;0,053367567844123526;0,014066729758473723;2195;17369;5099;batchnorm;;13;17,0;18,0;10,0;;;;4;adam;normalizer
8;2024-05-24 04:59:24.387159;0,5282832384109497;;selu;0,7443544799985896;0,7182452358191402;64;;0,9182857843405505;0,07710805224753615;0,0010140937325773091;2195;17369;5099;vanilla;;26;;;;;;;1;adam;normalizer
9;2024-05-24 05:02:54.751166;0,5257468819618225;;selu;;;32;0,46958238601442515;0,15646507311258848;0,006302424205838656;0,7300314196886619;2195;17369;5099;dropout;0,00298558931765512;18;14,0;10,0;;;;True;3;sgd;normalizer
