match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2566;0,1816;0,5617
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3029;0,4307;0,2664
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3145;0,3003;0,3852
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1233;0,8271;0,0495
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2943;0,315;0,3907
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2866;0,2675;0,4459
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2833;0,293;0,4237
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3201;0,3941;0,2858
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3108;0,2522;0,437
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,117;0,8408;0,0421
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3542;0,4069;0,2388
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2638;0,5827;0,1535
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3229;0,4249;0,2523
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2862;0,291;0,4227
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2525;0,6027;0,1448
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3082;0,3156;0,3762
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2712;0,4297;0,2991
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2717;0,3588;0,3695
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2873;0,4301;0,2826
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2051;0,0875;0,7074
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,256;0,6267;0,1173
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2116;0,1491;0,6393
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2773;0,5226;0,2001
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3152;0,3694;0,3154
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3163;0,4486;0,235
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,2929;0,307;0,4001
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2788;0,4099;0,3113
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2669;0,4791;0,254
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2972;0,3777;0,325
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1632;0,7801;0,0567
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3058;0,4308;0,2634
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2898;0,3983;0,312
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2504;0,4671;0,2824
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,267;0,2469;0,4861
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2711;0,5553;0,1736
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2453;0,1748;0,5799
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2578;0,6055;0,1367
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2954;0,5336;0,171
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1983;0,726;0,0757
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2815;0,3086;0,4099
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1819;0,7492;0,0689
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,2552;0,3966;0,3481
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3388;0,4651;0,1961
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2914;0,5457;0,1629
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3051;0,4637;0,2312
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,3234;0,4273;0,2493
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1944;0,0825;0,7232
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,335;0,3988;0,2662
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2808;0,5524;0,1667
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2997;0,4173;0,283
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,3072;0,3728;0,32
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2826;0,4857;0,2317
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3186;0,4303;0,2511
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3088;0,3766;0,3147
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2858;0,5284;0,1858
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,225;0,6404;0,1346
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,283;0,4846;0,2324
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,3226;0,38;0,2974
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,227;0,1894;0,5837
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2994;0,2818;0,4188
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2978;0,4006;0,3016
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3207;0,5075;0,1718
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,288;0,5042;0,2078
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2685;0,583;0,1485
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,2768;0,3927;0,3305
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,2949;0,4046;0,3005
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,269;0,5314;0,1995
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1591;0,7542;0,0868
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2978;0,4691;0,2331
57614;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;2;0,2958;0,328;0,3762
57612;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,2929;0,4194;0,2877
57613;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,2765;0,3949;0,3286
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,188;0,7087;0,1033
45191;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,2848;0,245;0,4702
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,3228;0,3769;0,3003
15990;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,3047;0,4815;0,2139
15996;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;2;0,2519;0,1543;0,5938
15989;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;2;0,2887;0,2463;0,465
15991;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,2916;0,4837;0,2247
15992;2020-01-18;T19-20;E0;Man City;Crystal Palace;2;2;0;1;0,11;0,855;0,0351
35086;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;1;0,2045;0,7044;0,0911
15994;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2;1;0,3177;0,3564;0,326
15995;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0;2;0,3262;0,3075;0,3662
15993;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1;1;0,2993;0,3767;0,324
57620;2020-01-19;T19-20;SP2;Tenerife;Girona;1;0;1;1;0,285;0,3966;0,3184
57619;2020-01-19;T19-20;SP2;Extremadura;Almeria;1;2;2;2;0,3005;0,2776;0,4219
57618;2020-01-19;T19-20;SP2;Santander;Las Palmas;1;1;0;1;0,2793;0,4104;0,3103
57617;2020-01-19;T19-20;SP2;Oviedo;Huesca;1;1;0;2;0,2937;0,3201;0,3862
57616;2020-01-19;T19-20;SP2;La Coruna;Cadiz;1;0;1;1;0,2942;0,3565;0,3493
57615;2020-01-19;T19-20;SP2;Elche;Alcorcon;1;1;0;1;0,2821;0,4312;0,2867
45196;2020-01-19;T19-20;SP1;Barcelona;Granada;1;0;1;1;0,1071;0,8548;0,0381
45194;2020-01-19;T19-20;SP1;Villarreal;Espanol;1;2;2;1;0,2788;0,5655;0,1557
45193;2020-01-19;T19-20;SP1;Betis;Sociedad;3;0;1;1;0,2682;0,3903;0,3415
35094;2020-01-19;T19-20;I1;Juventus;Parma;2;1;1;1;0,1356;0,8302;0,0343
35092;2020-01-19;T19-20;I1;Lecce;Inter;1;1;0;2;0,2253;0,1535;0,6212
35091;2020-01-19;T19-20;I1;Brescia;Cagliari;2;2;0;1;0,3012;0,3974;0,3014
35090;2020-01-19;T19-20;I1;Bologna;Verona;1;1;0;1;0,2808;0,5552;0,1639
35089;2020-01-19;T19-20;I1;Milan;Udinese;3;2;1;1;0,2643;0,629;0,1067
15998;2020-01-19;T19-20;E0;Liverpool;Man United;2;0;1;1;0,1961;0,6846;0,1193
15997;2020-01-19;T19-20;E0;Burnley;Leicester;2;1;1;2;0,2537;0,1638;0,5825
45192;2020-01-19;T19-20;SP1;Mallorca;Valencia;4;1;1;2;0,3205;0,2005;0,4791
35093;2020-01-19;T19-20;I1;Genoa;Roma;1;3;2;2;0,2249;0,1248;0,6503
35095;2020-01-20;T19-20;I1;Atalanta;Spal;1;2;2;1;0,1276;0,8289;0,0435
16002;2020-01-21;T19-20;E0;Everton;Newcastle;2;2;0;1;0,2832;0,5799;0,1369
16004;2020-01-21;T19-20;E0;Chelsea;Arsenal;2;2;0;1;0,2268;0,61;0,1632
