version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-12 18:31:44.219520;0,5338541865348816;;selu;0,8181789362071052;0,6151358524957266;128;;0,8707731458488732;0,07361764584762852;0,03193888132619597;2195;17369;5099;vanilla;;19;13,0;;;;;;2;adam;minmax
1;2024-05-12 18:34:00.500606;0,5271381735801697;;relu;0,27040368193384595;0,998546071026733;256;0,43191520649205695;0,3634449179115033;0,07233873154818042;0,008249246382816515;2195;17369;5099;dropout;;13;25,0;;;;;;2;adam;maxabs
2;2024-05-12 18:36:02.179200;0,5336538553237915;;selu;0,9598334770136454;0,4578756592093818;128;;0,3945625256331803;0,011710511302512296;0,005525277270576047;2195;17369;5099;vanilla;;20;;;;;;;1;adam;normalizer
3;2024-05-12 18:38:14.155147;0,4595125913619995;;selu;0,6882495207909367;0,18484699609192234;16;;0,29362309891570404;0,056502912462197706;0,007489640200621938;2195;17369;5099;batchnorm;;22;8,0;16,0;23,0;;;;4;adam;normalizer
4;2024-05-12 18:45:47.773912;0,53125;;leaky_relu;0,8857856684503876;0,44523865504470495;128;;0,7818108649135905;0,06934681374333318;0,018824132981565943;2195;17369;5099;vanilla;;23;15,0;5,0;16,0;19,0;0,05228555521217836;;5;adam;normalizer
5;2024-05-12 18:47:59.995136;0,5274438858032227;;relu;;;128;;0,4392145155964882;0,08831370827946354;0,01320922572545953;2195;17369;5099;batchnorm;0,001243876277023457;15;5,0;11,0;;;;False;3;sgd;maxabs
6;2024-05-12 18:50:25.178108;0,5198506116867065;;relu;;;32;0,28988066526297546;0,6049061567334533;0,0595229537184525;0,030876599431290473;2195;17369;5099;dropout;0,22765311829807527;16;3,0;;;;;True;2;sgd;normalizer
7;2024-05-12 18:57:42.667403;0,5287829041481018;;selu;;;256;0,21805871493252196;0,9105128035529685;0,016881403960962053;0,006815596108134749;2195;17369;5099;dropout;0,016486233387018535;22;30,0;;;;;True;2;sgd;minmax
8;2024-05-12 18:59:59.600889;0,4595125913619995;;leaky_relu;;;16;;0,3696811823483931;0,08881454901540543;0,0018204874441107367;2195;17369;5099;vanilla;0,015775123033396656;10;7,0;20,0;26,0;;0,0896401280156035;True;4;sgd;maxabs
9;2024-05-12 19:04:23.511533;0,4596518874168396;;relu;0,2039435421746031;0,793028740182246;64;;0,9208479865522687;0,04560340829432336;0,23952711575734675;2195;17369;5099;vanilla;;22;13,0;21,0;17,0;10,0;;;5;adam;normalizer
