match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2482;0,2224;0,5294
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2629;0,4354;0,3016
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2651;0,3667;0,3682
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2301;0,6066;0,1633
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2593;0,323;0,4177
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2656;0,3386;0,3958
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2679;0,3372;0,3948
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2668;0,4307;0,3025
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2657;0,3445;0,3898
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1869;0,7239;0,0892
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,266;0,4176;0,3164
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2405;0,5597;0,1998
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2618;0,4224;0,3159
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2639;0,352;0,3841
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2549;0,4992;0,2459
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2643;0,4102;0,3255
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2624;0,3961;0,3415
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2649;0,3966;0,3385
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2626;0,4194;0,318
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,0787;0,0147;0,9066
