version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-05-21 14:59:48.150119;0,46015626192092896;;relu;0,800435264997661;0,5229236955235812;256;0,523129056333664;0,4730296352097389;0,06507802829515545;0,4174601784352541;2255;17639;5161;dropout;;30;10,0;25,0;12,0;;;;4;adam;maxabs
1;2024-05-21 15:02:04.516033;0,46015626192092896;;relu;;;128;;0,22196612750647987;0,08797664729649009;0,008792253776319687;2255;17639;5161;vanilla;0,002119436894042952;10;21,0;25,0;21,0;10,0;;False;5;sgd;maxabs
2;2024-05-21 15:04:34.274237;0,5254270434379578;;leaky_relu;;;32;0,18042878738472767;0,35664019672962854;0,062244185932802926;0,07781065079398858;2255;17639;5161;dropout;0,015650763577349062;30;12,0;;;;0,08686791562501604;False;2;sgd;normalizer
3;2024-05-21 15:11:41.356759;0,5289062261581421;;leaky_relu;;;256;0,4764706832807236;0,9072692591957184;0,009398577926982801;0,17626365575424102;2255;17639;5161;dropout;0,05438989885330629;20;10,0;26,0;;;0,026700116262597953;False;3;sgd;minmax
4;2024-05-21 15:14:18.390510;0,46015626192092896;;relu;;;256;;0,5224624896710792;0,012558393370619635;0,0174855758626777;2255;17639;5161;vanilla;0,01367574759778642;8;4,0;;;;;False;2;sgd;maxabs
5;2024-05-21 15:16:28.753694;0,514453113079071;;leaky_relu;0,9935548905873388;0,3138200594481564;128;;0,9642298143533806;0,04610558999858972;0,0012802400066538513;2255;17639;5161;batchnorm;;29;15,0;16,0;16,0;23,0;0,03379254040646817;;5;adam;normalizer
6;2024-05-21 15:19:21.975767;0,525585949420929;;relu;;;64;0,1742895581268531;0,6943702464881738;0,026852657392029373;0,35073637645740224;2255;17639;5161;dropout;0,5281921410039978;17;11,0;21,0;;;;False;3;sgd;minmax
7;2024-05-21 15:22:38.435313;0,4602096378803253;;leaky_relu;;;16;;0,0764138539202732;0,03946100317585902;0,0010088258198956738;2255;17639;5161;vanilla;0,0028033713186686182;6;14,0;;;;0,047904364213592954;True;2;sgd;maxabs
8;2024-05-21 15:27:37.359293;0,529101550579071;;selu;;;64;;0,9690090409890851;0,01090095256057906;0,0896271229525673;2255;17639;5161;batchnorm;0,24794493428824654;11;22,0;;;;;True;2;sgd;minmax
9;2024-05-21 15:31:03.815968;0,4602096378803253;;relu;0,31428531738863885;0,3829325381397722;32;;0,47154905086147736;0,08920838467778204;0,38230909592377027;2255;17639;5161;vanilla;;4;16,0;25,0;;;;;3;adam;normalizer
10;2024-05-21 15:34:27.377319;0,46953123807907104;;selu;0,06839272642375549;0,9942431640126611;64;;0,7495355245496935;0,02378039795292463;0,0615279935894541;2255;17639;5161;batchnorm;;13;;;;;;;1;adam;minmax
11;2024-05-21 15:37:41.820464;0,4876953065395355;;selu;;;512;;0,9963030348634047;0,009749275915125572;0,11934568155862334;2255;17639;5161;batchnorm;0,21000774096757607;20;;;;;;True;1;sgd;minmax
12;2024-05-21 15:39:32.053513;0,25117188692092896;;selu;;;64;0,6724914269159753;0,8403042399512426;0,006427042287672886;0,7152113690281242;2255;17639;5161;dropout;0,10899075002190652;21;29,0;5,0;30,0;;;True;4;sgd;minmax
13;2024-05-21 15:42:45.271420;0,528124988079071;;selu;;;256;;0,8646728083421801;0,025658964226366;0,1654952785264811;2255;17639;5161;batchnorm;0,08311205296642066;24;22,0;15,0;;;;True;3;sgd;minmax
14;2024-05-21 15:44:54.569445;0,529492199420929;;leaky_relu;;;512;0,397495834056684;0,6677804917397956;0,005969346279368952;0,04095819473388082;2255;17639;5161;dropout;0,8040367884518954;14;5,0;;;;0,0014747467485428864;False;2;sgd;minmax
15;2024-05-21 15:46:58.966401;0,532031238079071;;leaky_relu;;;512;;0,6985445969831233;0,03556748949852864;0,03273819564949133;2255;17639;5161;batchnorm;0,8806144533687738;13;4,0;;;;0,006181796119878369;True;2;sgd;minmax
16;2024-05-21 15:49:00.810045;0,5302734375;;leaky_relu;;;512;0,33300967238248097;0,6580624678069411;0,03749787053778512;0,03412354818647524;2255;17639;5161;dropout;0,8570491857464885;15;;;;;0,0024868104098285755;False;1;sgd;minmax
17;2024-05-21 15:50:56.495317;0,5289062261581421;;leaky_relu;;;512;;0,6692667416189081;0,042064909804648005;0,020575170185614684;2255;17639;5161;batchnorm;0,9846848743979603;15;;;;;0,004182158417882942;True;1;sgd;minmax
18;2024-05-21 15:52:47.545111;0,529492199420929;;leaky_relu;0,5181868065659773;0,14390282426925777;512;0,3100511061424118;0,5981535832742638;0,03450849772085457;0,008871715488677857;2255;17639;5161;dropout;;18;;;;;0,0021441853859934974;;1;adam;minmax
19;2024-05-21 15:54:38.701195;0,46015626192092896;;leaky_relu;;;512;;0,7829284056380666;0,057138796640236675;0,03242552081722273;2255;17639;5161;batchnorm;0,29717427828852205;25;;;;;0,02242199050249127;True;1;sgd;normalizer
20;2024-05-21 15:56:31.975981;0,5256211161613464;;leaky_relu;;;16;0,2839507942829552;0,5927432723817501;0,04990226714485952;0,04401385651869741;2255;17639;5161;dropout;0,988469410504579;11;3,0;;;;0,018445957612969098;False;2;sgd;minmax
21;2024-05-21 16:11:53.588899;0,5283203125;;leaky_relu;;;512;0,39074992574061845;0,7113305297998361;0,019850421196098;0,04761436517533498;2255;17639;5161;dropout;0,5015387908633575;15;6,0;;;;0,0026523463364947182;False;2;sgd;minmax
22;2024-05-21 16:13:52.390785;0,532031238079071;;leaky_relu;;;512;0,36040271225637527;0,7839288925688508;0,032996527741483185;0,024343549103126222;2255;17639;5161;dropout;0,9868046777465062;14;;;;;0,003532893574533874;False;1;sgd;minmax
23;2024-05-21 16:15:43.482279;0,529296875;;leaky_relu;;;512;0,2871157672549;0,8050580206663966;0,03141159291095866;0,01728298035429683;2255;17639;5161;dropout;0,4401433645695932;12;;;;;0,017679085827786198;False;1;sgd;minmax
24;2024-05-21 16:17:49.892060;0,532031238079071;;leaky_relu;;;512;0,14726754976832993;0,7831029070999738;0,034204556523503335;0,026591808558010428;2255;17639;5161;dropout;0,1979802640568073;8;;;;;0,016614624435713467;False;1;sgd;minmax
25;2024-05-21 16:20:05.536960;0,47480469942092896;;leaky_relu;;;512;;0,7778594734602767;0,0338091395179488;0,011432621988529899;2255;17639;5161;batchnorm;0,18777332468516417;9;;;;;0,015391341992673788;False;1;sgd;minmax
26;2024-05-21 16:22:28.505012;0,531054675579071;;leaky_relu;0,025031623643584355;0,03155061473764337;512;0,10217320075181155;0,870497557177502;0,04443914845661147;0,0254176766508462;2255;17639;5161;dropout;;7;28,0;;;;0,03458119256869069;;2;adam;minmax
27;2024-05-21 16:24:23.967841;0,525585949420929;;leaky_relu;;;512;0,21269768206302106;0,7890143452985617;0,020287514573344025;0,0074662362205233914;2255;17639;5161;dropout;0,3603753833776002;4;;;;;0,011676991470946512;True;1;sgd;minmax
28;2024-05-21 16:26:54.148988;0,4602096378803253;;leaky_relu;;;16;;0,911404064989852;0,02991467235285205;0,005008055968579766;2255;17639;5161;vanilla;0,15578535119569278;6;20,0;;;;0,012236984440425626;False;2;sgd;normalizer
29;2024-05-21 16:31:32.019922;0,525195300579071;;leaky_relu;0,5724803438576068;0,70941992562163;128;;0,8284413151456513;0,04924070015272563;0,07011021979438828;2255;17639;5161;batchnorm;;3;;;;;0,028871299864405002;;1;adam;maxabs
30;2024-05-21 16:34:06.067514;0,5252329111099243;;relu;;;32;0,22874129315378466;0,7207079215578464;0,037478704370901894;0,026400563666845858;2255;17639;5161;dropout;0,49586190181331496;9;7,0;3,0;;;;True;3;sgd;maxabs
31;2024-05-21 16:38:47.878289;0,533007800579071;;leaky_relu;0,1403922544813524;0,027649197762836836;512;0,11046942695138129;0,9009590652815627;0,042260607216818666;0,027639372467196076;2255;17639;5161;dropout;;7;29,0;;;;0,0383439094156665;;2;adam;minmax
32;2024-05-21 16:40:51.092225;0,5308593511581421;;leaky_relu;0,2627687359427121;0,026378081534315007;512;0,11487597061238819;0,7515957872489427;0,05370204759783928;0,015228791182120225;2255;17639;5161;dropout;;12;26,0;;;;0,040118721572965255;;2;adam;minmax
33;2024-05-21 16:42:52.656531;0,53125;;leaky_relu;0,26495276979573945;0,21788883400175577;512;0,10334599625123381;0,8948505473578698;0,04309733859058888;0,027936767949005938;2255;17639;5161;dropout;;10;;;;;0,012166059437282028;;1;adam;minmax
34;2024-05-21 16:44:43.730193;0,527148425579071;;leaky_relu;0,01689667953647339;0,4770423312386453;512;0,16593476618758837;0,8427609649674944;0,03208538415817836;0,05479919610417752;2255;17639;5161;dropout;;6;25,0;11,0;3,0;;0,02365559138847324;;4;adam;minmax
35;2024-05-21 16:46:44.921490;0,5259765386581421;;leaky_relu;0,37120017144815665;0,20890704614711303;128;0,23819198679892906;0,9155851653730458;0,0653054408188343;0,014904621649156576;2255;17639;5161;dropout;;8;19,0;;;;0,056518008264169174;;2;adam;minmax
36;2024-05-21 16:49:29.996896;0,52734375;;relu;;;256;;0,8146689080179708;0,016490276721109313;0,09797723985336249;2255;17639;5161;vanilla;0,28404213718601806;18;18,0;30,0;;;;False;3;sgd;maxabs
37;2024-05-21 16:52:04.485817;0,5316406488418579;;leaky_relu;0,15855237025312097;0,11162204880918905;512;0,16781542852691667;0,955963870862008;0,03859880770810861;0,02411354926428557;2255;17639;5161;dropout;;13;8,0;;;;0,010934104857702513;;2;adam;normalizer
38;2024-05-21 16:53:55.832130;0,5273680090904236;;leaky_relu;;;32;0,24875013399293572;0,7299944705822805;0,030548325084247215;0,03971277470016034;2255;17639;5161;dropout;0,53134724056583;10;24,0;8,0;30,0;29,0;0,021057989291021706;False;5;sgd;minmax
39;2024-05-21 16:59:03.021473;0,500781238079071;;relu;;;512;;0,9317431214853474;0,02642815910528079;0,06213638534243001;2255;17639;5161;batchnorm;0,14423001483012837;8;30,0;;;;;True;2;sgd;minmax
40;2024-05-21 17:00:59.309056;0,5318359136581421;;leaky_relu;0,41910741080725844;0,010203974049421874;128;;0,8661901708406277;0,016326879968253768;0,019502125935972024;2255;17639;5161;vanilla;;5;14,0;20,0;;;0,009301855217220482;;3;adam;maxabs
41;2024-05-21 17:03:34.914405;0,527148425579071;;leaky_relu;0,4345831508620209;0,017512490502089036;128;;0,872340263249014;0,015969497987330966;0,020046121985483122;2255;17639;5161;vanilla;;5;13,0;20,0;;;0,010551427046130069;;3;adam;maxabs
42;2024-05-21 17:06:00.598722;0,533203125;;leaky_relu;0,19361533658334262;0,22103350243015057;128;;0,7693596741670842;0,02045230803323844;0,030629546215135816;2255;17639;5161;vanilla;;3;9,0;12,0;3,0;;0,0077238280363135965;;4;adam;maxabs
43;2024-05-21 17:08:10.873733;0,528124988079071;;leaky_relu;0,15896607094458304;0,24404669763431788;128;;0,7453284586794484;0,022902802628780757;0,0328694853257593;2255;17639;5161;vanilla;;3;8,0;11,0;3,0;;0,008181043765685424;;4;adam;maxabs
44;2024-05-21 17:10:21.556986;0,5322265625;;leaky_relu;0,15946091090397907;0,14941035870505665;128;;0,7953746354072049;0,02604165512127481;0,04980195197980465;2255;17639;5161;vanilla;;16;9,0;13,0;10,0;3,0;0,01689457839667589;;5;adam;maxabs
45;2024-05-21 17:14:09.958820;0,46757811307907104;;selu;0,13883399606880872;0,14219743738760054;128;;0,9861685430625224;0,02732700634212954;0,08717388456218526;2255;17639;5161;vanilla;;17;8,0;12,0;10,0;3,0;;;5;adam;maxabs
46;2024-05-21 17:16:39.638340;0,5316406488418579;;leaky_relu;0,21058411786716874;0,1508739162585034;128;;0,8248301561623752;0,022262781269473512;0,06642941735509374;2255;17639;5161;vanilla;;18;3,0;14,0;8,0;3,0;0,007826248919493912;;5;adam;maxabs
47;2024-05-21 17:19:18.321303;0,46015626192092896;;relu;0,1177696972875705;0,2924046599432485;128;;0,9271716004579464;0,026702138912429785;0,1396946984649903;2255;17639;5161;vanilla;;20;10,0;8,0;6,0;;;;4;adam;maxabs
48;2024-05-21 17:21:46.872459;0,5298827886581421;;selu;0,22220576653731364;0,11244637660937466;64;;0,6303220893111032;0,03947609019999905;0,04520143362457441;2255;17639;5161;vanilla;;16;10,0;8,0;14,0;15,0;;;5;adam;maxabs
49;2024-05-21 17:25:20.879098;0,5074218511581421;;leaky_relu;0,08678890309169073;0,3380683591547151;256;;0,690943178669549;0,04591257686348843;0,2137265727333672;2255;17639;5161;vanilla;;13;5,0;18,0;7,0;;0,026311573423748392;;4;adam;maxabs
50;2024-05-21 17:28:18.418233;0,4602096378803253;;leaky_relu;0,01127742346829469;0,2237791142972899;16;;0,7534043884390573;0,011897235469529158;0,10606965764175987;2255;17639;5161;batchnorm;;22;17,0;13,0;20,0;11,0;0,01760442528920981;;5;adam;normalizer
51;2024-05-21 17:39:47.446258;0,530468761920929;;leaky_relu;;;128;;0,7986435516438943;0,03557715750348882;0,03452858175623689;2255;17639;5161;vanilla;0,317997790029071;14;12,0;18,0;11,0;;0,016541591050278248;False;4;sgd;minmax
52;2024-05-21 17:42:42.270395;0,5308593511581421;;leaky_relu;;;512;0,1442256838239102;0,7720731074900324;0,030342160873907214;0,028141416623903546;2255;17639;5161;dropout;0,6883142847512855;7;;;;;0,0075477948582781005;True;1;sgd;minmax
