match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,261;0,2045;0,5345
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2742;0,4626;0,2631
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2529;0,3643;0,3828
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1793;0,7701;0,0506
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2702;0,2715;0,4584
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2566;0,2059;0,5376
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3176;0,3333;0,3491
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2686;0,5607;0,1707
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3103;0,2764;0,4133
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1343;0,8374;0,0284
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3103;0,4651;0,2246
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2767;0,5363;0,1869
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2976;0,4441;0,2583
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3197;0,3638;0,3165
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2518;0,6148;0,1335
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3059;0,3015;0,3926
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3212;0,3828;0,296
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,3091;0,3112;0,3797
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3057;0,4517;0,2426
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2285;0,134;0,6375
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2778;0,5202;0,202
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,3071;0,2461;0,4468
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2712;0,5611;0,1676
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2811;0,507;0,2119
