version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;n_a;n_d;n_independent;n_shared;n_steps
0;2024-05-31 09:04:40.433515;0,48590633130962707;;8192;0,5958304572635063;1,6214310339414881;2631;18443;4612;0,3599618755742262;36;12;1;4;9
1;2024-05-31 09:17:19.711854;0,5071552471812663;;1024;0,12127496378558612;1,0801363452563757;2631;18443;4612;0,125953942457799;50;42;3;3;7
2;2024-05-31 09:36:26.565324;0,5136600173460538;;1024;0,9080434795604269;1,0968257830086345;2631;18443;4612;0,00447105265789505;20;25;3;4;8
3;2024-05-31 09:53:07.197153;0,5112749349522984;;512;0,8006553695559606;1,1831537332785413;2631;18443;4612;0,055539462608842;15;13;5;1;10
4;2024-05-31 10:09:15.264169;0,502601908065915;;1024;0,8506009237990354;1,8811360801686907;2631;18443;4612;0,13106770726931163;22;14;4;1;10
5;2024-05-31 10:25:41.293814;0,5088898525585429;;2048;0,4488269319822227;1,1808511603518752;2631;18443;4612;0,00417593993012031;49;21;4;4;3
6;2024-05-31 10:40:05.603500;0,41912402428447526;;8192;0,2854365877857425;1,321148741037476;2631;18443;4612;0,013210407381571507;59;41;5;3;5
7;2024-05-31 10:46:00.792119;0,51561144839549;;2048;0,4228682279644116;1,0509204449723721;2631;18443;4612;0,12653267138403929;37;11;4;2;3
8;2024-05-31 10:54:54.916409;0,51040763226366;;4096;0,6867281866986626;1,3547338437107603;2631;18443;4612;0,008302019031215377;16;58;2;2;5
9;2024-05-31 11:09:34.305868;0,4336513443191674;;8192;0,7066060961602175;1,3638456988571663;2631;18443;4612;0,0010771698005246823;35;14;5;2;8
10;2024-05-31 11:45:36.173685;0,4735472679965308;;2048;0,4122139623937743;1,0247996854714707;2631;18443;4612;0,7640005472350205;8;8;2;5;3
11;2024-05-31 11:48:32.909666;0,5112749349522984;;1024;0,9787531980114372;1,01862219053742;2631;18443;4612;0,029315897170889917;27;24;3;5;6
12;2024-05-31 11:58:17.558290;0,51040763226366;;2048;0,9887412088388161;1,1466979790380292;2631;18443;4612;0,004007979478368437;30;8;4;2;8
13;2024-05-31 12:27:03.895114;0,5162619254119688;;512;0,5861561666603219;1,006156992721043;2631;18443;4612;0,03343652957531343;19;24;2;4;4
14;2024-05-31 12:38:24.031376;0,5093235039028621;;512;0,520285400225629;1,014570541221054;2631;18443;4612;0,04603546451200646;40;20;1;3;4
15;2024-05-31 12:43:31.061198;0,5153946227233305;;512;0,363925423868396;1,2039835273509532;2631;18443;4612;0,1551735025085016;63;17;2;2;4
16;2024-05-31 12:51:18.098581;0,511925411968777;;4096;0,5676456725300377;1,2485605666164534;2631;18443;4612;0,029276389077309187;25;10;2;4;4
17;2024-05-31 13:03:33.981505;0,5067215958369471;;2048;0,3017296239914731;1,0929323733044312;2631;18443;4612;0,3032975928276939;18;29;4;1;3
18;2024-05-31 13:07:53.717606;0,5110581092801387;;512;0,656293970427686;1,4558302124415847;2631;18443;4612;0,08351685571871091;30;18;3;3;5
19;2024-05-31 13:34:54.083738;0,5149609713790113;;2048;0,5183709903428337;1,0007694444785264;2631;18443;4612;0,030060349329039393;12;10;1;5;6
20;2024-05-31 13:48:36.009105;0,5073720728534259;;512;0,7675377285276402;1,102299521989042;2631;18443;4612;0,07197900626277742;23;17;4;4;4
21;2024-05-31 13:59:52.415230;0,5093235039028621;;512;0,3863483415451176;1,2279821153864148;2631;18443;4612;0,17629626020331624;62;16;2;2;4
22;2024-05-31 14:10:29.463603;0,5065047701647876;;512;0,4775505441116756;1,134057403590194;2631;18443;4612;0,19532242589019866;47;17;2;2;3
23;2024-05-31 14:15:03.896829;0,5110581092801387;;512;0,5982243965055237;1,0604308128122102;2631;18443;4612;0,099028025279595;42;11;2;2;5
24;2024-05-31 14:25:56.375550;0,46509106678230705;;512;0,3569394885235117;1,070852967531481;2631;18443;4612;0,30856177366286514;63;28;1;1;4
25;2024-05-31 14:30:16.929413;0,49522983521248914;;4096;0,5008837549418804;1,1612920849465362;2631;18443;4612;0,06300996425476624;54;15;3;3;3
26;2024-05-31 14:34:27.833791;0,4666088464874241;;2048;0,418611349770616;1,050268750730453;2631;18443;4612;0,4773459375098857;42;20;3;3;6
27;2024-05-31 14:41:53.286696;0,5086730268863834;;512;0,3225943846164154;1,2271930845390477;2631;18443;4612;0,19931132065806054;54;14;2;2;4
28;2024-05-31 14:47:06.302582;0,4616218560277537;;512;0,24679415948292832;1,1211649466705667;2631;18443;4612;0,9129548306388628;31;12;1;1;5
29;2024-05-31 14:52:28.140050;0,5075888985255854;;8192;0,591995563696756;1,0536556124960617;2631;18443;4612;0,12389034080313734;37;12;1;3;3
30;2024-05-31 14:57:35.300598;0,5153946227233305;;2048;0,4507759390399507;1,0035977119882182;2631;18443;4612;0,04926624454181584;35;18;2;4;7
31;2024-05-31 15:12:35.480754;0,511925411968777;;2048;0,44726218690047803;1,0145354699194566;2631;18443;4612;0,0497870391946676;34;18;2;4;7
32;2024-05-31 15:26:16.212743;0,5065047701647876;;2048;0,5457596060858834;1,0046172028586091;2631;18443;4612;0,08300685695614787;41;23;3;5;7
33;2024-05-31 15:46:02.387110;0,5078057241977451;;2048;0,4772618106176382;1,0857115311300165;2631;18443;4612;0,019632935754095308;46;16;2;4;9
34;2024-05-31 15:52:36.583467;0,5065047701647876;;2048;0,3675328816906268;1,119030832675042;2631;18443;4612;0,042503772929059436;25;19;3;4;7
35;2024-05-31 15:59:54.084146;0,5106244579358196;;512;0,2322964198360038;1,0644528998488567;2631;18443;4612;0,1203088028608351;54;22;2;3;6
36;2024-05-31 16:07:14.220538;0,5106244579358196;;1024;0,45013379424402566;1,1852210587449212;2631;18443;4612;0,06578288159319752;21;26;3;4;9
37;2024-05-31 16:25:01.469185;0,48612315698178665;;8192;0,15222608081446715;1,051736741361761;2631;18443;4612;0,1396603692768984;36;30;1;2;8
38;2024-05-31 16:28:43.029167;0,5069384215091067;;4096;0,4018492632456924;1,109729730251736;2631;18443;4612;0,043494121186697966;47;15;4;3;5
39;2024-05-31 16:32:41.326240;0,5121422376409367;;1024;0,3457554857472401;1,1744721300982595;2631;18443;4612;0,08707757656752674;56;21;5;4;4
40;2024-05-31 16:43:16.792434;0,5114917606244579;;2048;0,6319336424254127;1,0404693794198598;2631;18443;4612;0,017496180958595654;51;13;2;5;3
41;2024-05-31 16:45:59.533313;0,5147441457068517;;2048;0,5357267862851732;1,0161693959370244;2631;18443;4612;0,036000619467846155;13;10;1;5;6
42;2024-05-31 16:52:29.175169;0,5134431916738942;;2048;0,5026896487070166;1,0034190955563937;2631;18443;4612;0,05539707697413219;19;10;1;5;6
43;2024-05-31 16:59:53.303734;0,5099739809193409;;2048;0,5608491208641372;1,0020948181367844;2631;18443;4612;0,03278394650205143;13;9;1;5;8
44;2024-05-31 17:07:05.703720;0,5134431916738942;;2048;0,43529776008296384;1,0776219730973031;2631;18443;4612;0,10404401537066134;64;11;2;4;5
45;2024-05-31 17:12:15.389902;0,5071552471812663;;2048;0,3927970886011325;1,031547348786552;2631;18443;4612;0,02292494948092709;28;9;3;5;7
46;2024-05-31 17:17:11.890271;0,51561144839549;;512;0,5073673966917526;1,0891181628299003;2631;18443;4612;0,013730753582158646;32;14;1;2;4
47;2024-05-31 17:21:42.849691;0,51561144839549;;512;0,47125221267090733;1,0950772726674596;2631;18443;4612;0,010119475605242791;32;13;5;2;4
48;2024-05-31 17:24:59.493197;0,5132263660017347;;512;0,48750667970442063;1,1388901164302327;2631;18443;4612;0,010910770263044144;31;14;5;2;4
49;2024-05-31 17:30:12.510547;0,514093668690373;;512;0,5930253820073369;1,1004934524123737;2631;18443;4612;0,007802254261488114;24;13;5;2;3
50;2024-05-31 17:33:03.080139;0,5095403295750217;;512;0,5301222220351879;1,1851451189703206;2631;18443;4612;0,01358353791854656;28;13;4;1;4
51;2024-05-31 17:36:34.703933;0,5151777970511708;;512;0,4583831740615278;1,0825493779600321;2631;18443;4612;0,023563924964420422;38;19;5;2;4
52;2024-05-31 17:43:55.558493;0,5117085862966175;;512;0,4073392949446378;1,0384209010909058;2631;18443;4612;0,006573546019846756;22;16;4;2;3
53;2024-05-31 17:46:51.515780;0,516695576756288;;512;0,4332596285652385;1,1460926807153908;2631;18443;4612;0,015038099056124082;33;22;2;2;5
54;2024-05-31 17:51:40.664880;0,5173460537727667;;512;0,36270179382212114;1,1417078042293138;2631;18443;4612;0,014411972327539891;33;23;4;2;5
55;2024-05-31 17:55:18.137806;0,5145273200346921;;512;0,4237962316675196;1,1456723155552375;2631;18443;4612;0,014588095265623695;32;24;4;2;5
56;2024-05-31 18:03:28.562247;0,5136600173460538;;512;0,4870158823004453;1,275485903907384;2631;18443;4612;0,010159783674418998;27;26;4;1;5
57;2024-05-31 18:06:38.214822;0,5169124024284475;;512;0,37589733955611104;1,1395364353356783;2631;18443;4612;0,0168554055038039;33;22;5;2;4
58;2024-05-31 18:09:30.955985;0,5078057241977451;;512;0,3240322132560689;1,1542082632070931;2631;18443;4612;0,01678052742181721;34;21;4;2;5
59;2024-05-31 18:13:57.519900;0,5171292281006071;;8192;0,37948790210554284;1,1192758179579596;2631;18443;4612;0,025263810947275478;29;22;5;3;3
60;2024-05-31 18:21:01.104309;0,51561144839549;;8192;0,362345660282294;1,126967800904871;2631;18443;4612;0,023264317949885736;38;23;5;3;3
61;2024-05-31 18:28:26.933490;0,514093668690373;;8192;0,39177043548882856;1,2000181522409192;2631;18443;4612;0,013952161569167074;29;22;5;2;3
62;2024-05-31 18:35:08.950117;0,5069384215091067;;8192;0,41629035138478515;1,1596423647514313;2631;18443;4612;0,026544537845699958;33;26;5;3;4
63;2024-05-31 18:40:55.588144;0,5143104943625325;;512;0,29709355584289576;1,0710018002181338;2631;18443;4612;0,01934595881444981;29;31;5;1;4
64;2024-05-31 18:44:22.476611;0,5112749349522984;;4096;0,5163141102256193;1,1230576972397768;2631;18443;4612;0,03159467323716044;27;24;3;2;3
65;2024-05-31 18:48:38.603825;0,4835212489158716;;8192;0,3769241094291442;1,1022377348107328;2631;18443;4612;0,03707166541026652;26;20;4;2;5
66;2024-05-31 18:51:59.178280;0,5123590633130962;;512;0,432654916165892;1,0383252440416622;2631;18443;4612;0,0169901070469387;35;28;5;3;4
67;2024-05-31 18:55:21.199354;0,514093668690373;;1024;0,33747849583439216;1,2126377764381995;2631;18443;4612;0,027108758091651856;30;33;4;2;3
68;2024-05-31 18:58:33.128682;0,5136600173460538;;512;0,37226051162552654;1,252692755133482;2631;18443;4612;0,01189565299600669;39;25;3;2;3
69;2024-05-31 19:01:32.601888;0,5162619254119688;;512;0,5634666450554421;1,062848461838077;2631;18443;4612;0,008104006171418383;33;21;5;1;4
