match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2326;0,2793;0,4881
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,242;0,4816;0,2763
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2821;0,3189;0,399
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,0736;0,8724;0,054
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2284;0,4001;0,3714
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,231;0,2862;0,4829
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2539;0,2774;0,4688
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2645;0,4997;0,2358
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2605;0,3587;0,3808
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,102;0,8473;0,0507
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2694;0,4542;0,2765
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,242;0,5433;0,2147
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2593;0,4527;0,288
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,251;0,4281;0,3209
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2392;0,617;0,1438
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2332;0,4611;0,3057
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2418;0,4533;0,305
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2203;0,4456;0,3341
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2064;0,5206;0,273
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1567;0,1251;0,7182
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,304;0,5672;0,1288
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1847;0,221;0,5943
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2223;0,6144;0,1632
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2416;0,3955;0,3629
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,22;0,478;0,3019
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2805;0,4454;0,2742
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2656;0,562;0,1724
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2165;0,4746;0,3089
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;2;0,2308;0,3714;0,3978
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1171;0,7643;0,1186
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2423;0,5636;0,194
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2629;0,4796;0,2576
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,1844;0,4806;0,335
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,302;0,3051;0,3929
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2201;0,3099;0,47
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2418;0,5709;0,1872
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,1887;0,6796;0,1317
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,262;0,4971;0,2408
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2139;0,6267;0,1594
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2341;0,3818;0,3841
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,2075;0,6633;0,1292
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,241;0,5102;0,2488
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2528;0,4482;0,299
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1608;0,1256;0,7137
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2765;0,4562;0,2673
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2484;0,5493;0,2023
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2573;0,5382;0,2045
