version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-02 21:05:21.136120;0,5057885746821029;;2048;0,4032891728272052;1,7628364276404869;2631;17786;5269;0,0027874222137149957;entmax;52;10;5;1;6;0,5893560662082575
1;2024-06-02 21:18:25.338119;0,48586069462896186;;8192;0,16919715621761933;1,466463854354101;2631;17786;5269;0,5223538751010094;sparsemax;14;41;1;4;9;0,5767765792353317
2;2024-06-02 21:26:45.978509;0,49383184665021823;;4096;0,9482158539298438;1,095648888304385;2631;17786;5269;0,0013476887532447121;entmax;14;14;1;3;8;0,8938459911676698
3;2024-06-02 21:45:41.307266;0,5255266654014045;;512;0,9177809603982259;1,4243417946424441;2631;17786;5269;0,004059921513761269;entmax;9;12;3;1;5;0,8243713023529796
4;2024-06-02 21:54:52.932963;0,5293224520781932;;4096;0,5840311165808826;1,20616395994249;2631;17786;5269;0,04605201637032946;entmax;13;10;2;5;10;0,5903017629949324
5;2024-06-02 22:12:20.662827;0,46745112924653637;;8192;0,3356424859607925;1,610265431476096;2631;17786;5269;0,7706877817492692;sparsemax;15;12;2;4;3;0,8366679474398857
6;2024-06-02 22:15:17.430383;0,52704498007212;;1024;0,5517581683491698;1,6724041903192166;2631;17786;5269;0,011899886088931505;entmax;30;40;3;2;3;0,4129760952468562
7;2024-06-02 22:19:35.895333;0,5076864680204972;;8192;0,8714379379153822;1,2375935746155362;2631;17786;5269;0,0014390189839014308;entmax;64;9;3;1;4;0,38008584895886177
8;2024-06-02 22:28:35.877426;0,5186942493831846;;2048;0,4272294962370149;1,253274659370481;2631;17786;5269;0,025203549919426402;entmax;12;45;1;3;8;0,6121575232184928
9;2024-06-02 22:39:16.519259;0,5255266654014045;;4096;0,3724817028329025;1,1313974735349557;2631;17786;5269;0,0162584064872838;entmax;8;12;5;1;10;0,31084621905276305
10;2024-06-02 22:52:31.688461;0,5234389827291707;;4096;0,6821815395212951;1,9479497066195868;2631;17786;5269;0,11713138436817284;sparsemax;22;19;4;5;10;0,2050725045497708
11;2024-06-02 23:12:10.709941;0,5232491933953312;;1024;0,5848724438599663;1,6570654149264636;2631;17786;5269;0,06854589850229144;entmax;28;30;2;2;7;0,45200570539181406
12;2024-06-02 23:20:08.965836;0,5272347694059594;;1024;0,6607779569469362;1,0372083057481016;2631;17786;5269;0,009432390633564318;entmax;31;60;2;5;3;0,4500101584900762
13;2024-06-02 23:29:28.973911;0,5241981400645284;;1024;0,7214549834826525;1,0029588100096816;2631;17786;5269;0,00970411282090222;entmax;38;54;2;5;5;0,5176613389651626
14;2024-06-02 23:40:46.158134;0,5317897134181059;;512;0,724080625217666;1,0230315428857217;2631;17786;5269;0,07281266589399919;sparsemax;21;23;2;5;6;0,6930895123046886
15;2024-06-02 23:52:19.289621;0,525336876067565;;512;0,7637509258784579;1,2010712806424484;2631;17786;5269;0,0606107559930309;sparsemax;19;21;4;4;7;0,6608623625652994
16;2024-06-03 00:08:35.297836;0,5245777187322073;;512;0,7807756978153773;1,312652448630411;2631;17786;5269;0,14082448459724894;sparsemax;21;27;2;5;6;0,6868739936149258
17;2024-06-03 00:21:09.882486;0,5287530840766749;;4096;0,8318555610548826;1,073833560215888;2631;17786;5269;0,03864435514462217;sparsemax;10;8;4;4;8;0,7220005329114234
18;2024-06-03 00:37:44.348603;0,5264756120706017;;512;0,9879122830737054;1,1517762841976122;2631;17786;5269;0,1990390909120096;sparsemax;11;16;1;5;9;0,7232994532810509
19;2024-06-03 00:51:34.051227;0,4999051053330803;;4096;0,658925578138006;1,0108596758597377;2631;17786;5269;0,3140890054341706;sparsemax;17;17;2;4;5;0,5516469787855924
20;2024-06-03 00:57:27.179299;0,5285632947428355;;512;0,4949083371948171;1,1416743455508962;2631;17786;5269;0,05793937701822967;sparsemax;8;24;3;5;9;0,5105965378646109
21;2024-06-03 01:19:05.818070;0,5196431960523819;;4096;0,8260190870026539;1,0825137576525403;2631;17786;5269;0,0334337919160609;sparsemax;12;8;4;4;8;0,7699166727363014
22;2024-06-03 01:29:18.328833;0,5272347694059594;;4096;0,8262902430109449;1,0663243260748252;2631;17786;5269;0,03289407824114237;sparsemax;10;8;4;3;7;0,6935864743419492
23;2024-06-03 01:43:31.293382;0,4909850066426267;;4096;0,6146530913953199;1,0541631477545654;2631;17786;5269;0,09283284156193079;sparsemax;10;10;3;4;10;0,7602354030293487
24;2024-06-03 01:51:59.137139;0,5274245587397989;;4096;0,7235834988488515;1,1839688563839745;2631;17786;5269;0,04792039971126819;sparsemax;13;8;5;5;6;0,6450476828449943
25;2024-06-03 02:08:07.493694;0,5162269880432719;;2048;0,8905504371008864;1,102425918780147;2631;17786;5269;0,1987847158300208;sparsemax;16;14;3;4;9;0,7669316939731619
26;2024-06-03 02:19:17.225076;0,5238185613968495;;512;0,790736469634473;1,3277687002791254;2631;17786;5269;0,021916185443586846;sparsemax;11;10;4;5;7;0,6229210146714415
27;2024-06-03 02:35:46.925553;0,5183146707155057;;4096;0,6099071373686029;1,0511143919289794;2631;17786;5269;0,09115960036442763;sparsemax;18;20;2;3;8;0,8622665765979581
28;2024-06-03 02:48:58.952161;0,5236287720630101;;4096;0,8541946605160663;1,1251423219819168;2631;17786;5269;0,041094212700681206;entmax;14;24;1;4;4;0,6972292254962482
29;2024-06-03 02:54:35.580847;0,5241981400645284;;2048;0,7140202591738624;1,1732595092006892;2631;17786;5269;0,021020720529096044;entmax;9;10;5;5;6;0,5552715347875883
30;2024-06-03 03:09:09.749827;0,530081609413551;;512;0,5102751439760341;1,0013621115532116;2631;17786;5269;0,04808711064154965;sparsemax;23;9;3;5;10;0,6229083271367031
31;2024-06-03 03:33:21.241212;0,5255266654014045;;512;0,5213701293087718;1,0062401327749455;2631;17786;5269;0,046192514729574294;sparsemax;21;9;3;5;10;0,6347823115629695
32;2024-06-03 03:48:18.991302;0,530081609413551;;512;0,46211390030536914;1,0815582403830937;2631;17786;5269;0,0680518084443173;sparsemax;24;8;2;5;9;0,5845429177076285
