match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2547;0,2754;0,4698
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2787;0,4744;0,2468
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,243;0,3741;0,3829
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,0697;0,8764;0,0539
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2512;0,3701;0,3788
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2525;0,2486;0,4989
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2578;0,3228;0,4193
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2737;0,5048;0,2215
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,2942;0,3657;0,34
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0727;0,8982;0,0291
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3399;0,4081;0,252
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3028;0,4642;0,233
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3799;0,39;0,2301
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2765;0,3577;0,3659
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2756;0,5001;0,2243
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3082;0,3685;0,3233
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2975;0,4189;0,2836
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2889;0,3969;0,3142
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2666;0,4784;0,2549
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,148;0,0966;0,7554
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2641;0,6031;0,1327
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2338;0,253;0,5131
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2251;0,6016;0,1734
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,261;0,3714;0,3676
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2657;0,4532;0,2811
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2703;0,4652;0,2645
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2572;0,447;0,2957
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2384;0,5229;0,2387
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3064;0,3617;0,3319
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,0841;0,844;0,072
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2724;0,5169;0,2107
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2388;0,5756;0,1857
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,1946;0,6082;0,1972
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2397;0,411;0,3492
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,1857;0,2196;0,5947
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2401;0,5553;0,2046
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,1792;0,7211;0,0998
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2934;0,4977;0,2089
