version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-05 09:08:03.671767;0,5207553892748975;;8192;0,9151824443536817;1,354224577356013;2631;39710;5613;0,47145237585017763;entmax;29;46;1;1;10;0,22219264052402496
1;2024-06-05 09:18:57.722110;0,5248530197755211;;2048;0,33152689247901446;1,0076649465118903;2631;39710;5613;0,09755506304224308;sparsemax;19;14;2;3;10;0,5689568438706037
2;2024-06-05 09:27:44.368260;0,5196864421877784;;2048;0,3258958674230049;1,9270832117015826;2631;39710;5613;0,1396599831614371;entmax;26;63;5;2;9;0,5135574691910529
3;2024-06-05 09:43:26.629370;0,5227151256012827;;2048;0,3248990482420282;1,917425011416137;2631;39710;5613;0,01365439375932742;entmax;12;44;4;2;6;0,25272082920472966
4;2024-06-05 09:59:31.324224;0,5163014430785676;;1024;0,4951224082570852;1,0243279486315187;2631;39710;5613;0,0015393717322635567;entmax;10;24;3;5;8;0,35843032134358355
5;2024-06-05 10:32:52.483654;0,48868697666132194;;1024;0,2638422880571969;1,495942037989792;2631;39710;5613;0,0010486743675253876;entmax;44;11;1;3;8;0,5644132036070445
6;2024-06-05 11:01:16.872537;0,5196864421877784;;8192;0,46829163503566784;1,2748206217737927;2631;39710;5613;0,011549636836288018;sparsemax;8;18;2;3;4;0,5719416167424162
7;2024-06-05 11:10:32.085506;0,5072153928380545;;512;0,7393547936451357;1,946248722266167;2631;39710;5613;0,3517357196513285;entmax;14;8;3;3;3;0,25652057295738434
8;2024-06-05 11:16:43.093310;0,519330126492072;;4096;0,5434151573755527;1,0164178031749496;2631;39710;5613;0,5082427416837565;entmax;14;26;5;1;7;0,8429403778191229
9;2024-06-05 11:24:39.820605;0,49795118474968825;;1024;0,42593952801930046;1,379769875315097;2631;39710;5613;0,1588886885064752;sparsemax;63;16;5;1;4;0,2628830143213193
10;2024-06-05 11:32:35.883217;0,5141635489043292;;2048;0,12954298712990636;1,148959149141247;2631;39710;5613;0,06050338121950463;sparsemax;18;12;2;5;10;0,8797614441899663
11;2024-06-05 11:45:11.596992;0,5195082843399251;;2048;0,24075889062945782;1,6351681840221555;2631;39710;5613;0,016615960580546107;sparsemax;19;30;4;4;6;0,354824449501875
12;2024-06-05 12:01:10.328229;0,5154106538393016;;2048;0,10753931590983035;1,6488956139689632;2631;39710;5613;0,04917139340960028;sparsemax;12;32;4;2;6;0,4007748036942368
13;2024-06-05 12:08:24.738902;0,5228932834491359;;2048;0,33934084811874804;1,1757229483371465;2631;39710;5613;0,008931193100340663;sparsemax;18;40;2;2;5;0,30501831011966185
14;2024-06-05 12:20:41.433441;0,5145198646000356;;4096;0,6003372662041447;1,1193367746535337;2631;39710;5613;0,00437592402204585;sparsemax;22;18;2;4;5;0,30370548206398296
15;2024-06-05 12:30:28.939106;0,44236593621949044;;512;0,359201362532163;1,171544479272824;2631;39710;5613;0,9943761062956187;sparsemax;17;36;2;4;8;0,2054692282388332
