match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2978;0,3294;0,3728
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2806;0,4792;0,2402
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,2854;0,3561;0,3585
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1951;0,696;0,1089
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2717;0,4324;0,2958
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2765;0,2664;0,4572
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,297;0,2867;0,4164
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2718;0,5135;0,2148
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,2958;0,3941;0,3101
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1697;0,7571;0,0732
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2984;0,446;0,2556
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2738;0,5033;0,223
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2913;0,4776;0,2311
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,305;0,3161;0,3789
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2842;0,4996;0,2162
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2976;0,388;0,3144
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3064;0,4367;0,257
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2999;0,3813;0,3189
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2696;0,5168;0,2136
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2185;0,1446;0,6369
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2397;0,6258;0,1345
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2694;0,2855;0,4451
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2464;0,5948;0,1588
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2785;0,3777;0,3439
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2677;0,4993;0,233
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2922;0,4337;0,2741
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2974;0,3946;0,308
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2688;0,5022;0,229
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3059;0,4;0,2941
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1557;0,7647;0,0796
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2897;0,4471;0,2632
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2569;0,5005;0,2426
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,253;0,521;0,226
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2937;0,3596;0,3467
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2373;0,2624;0,5003
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2734;0,5233;0,2034
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,213;0,659;0,1281
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2627;0,5371;0,2002
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2209;0,6458;0,1333
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2932;0,3527;0,354
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1878;0,7052;0,1071
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2476;0,5822;0,1701
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2801;0,4506;0,2693
