version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;n_a;n_d;n_independent;n_shared;n_steps
0;2024-06-12 21:30:28.585569;0,48476750400855156;;8192;0,35317736992458537;1,2321201011323024;2631;39710;5613;0,6719755522733726;18;57;2;4;4
1;2024-06-12 21:33:56.307383;0,5203990735791911;;4096;0,5946449437953883;1,0301962246708638;2631;39710;5613;0,006061129626925955;19;26;3;5;5
2;2024-06-12 21:42:04.851992;0,5253874933190807;;1024;0,9834635965391743;1,0856325654132175;2631;39710;5613;0,008806603262400452;12;8;5;5;5
3;2024-06-12 21:56:15.203086;0,5223588099055764;;1024;0,3380603887637717;1,384747105184624;2631;39710;5613;0,05597937622559757;54;23;4;4;7
4;2024-06-12 22:04:28.349888;0,5036522358809905;;2048;0,386908610239902;1,7609807528525083;2631;39710;5613;0,004076021975060994;33;10;4;5;8
5;2024-06-12 22:24:17.054388;0,5209335471227508;;1024;0,7152335253255707;1,6782563494445804;2631;39710;5613;0,007935248164314247;49;19;5;3;3
6;2024-06-12 22:29:30.889880;0,5000890789239266;;1024;0,38843574265877945;1,5730089211024882;2631;39710;5613;0,0010443886357402556;23;9;5;5;3
7;2024-06-12 22:43:26.041718;0,52200249420987;;8192;0,9680589992287812;1,1310887562127507;2631;39710;5613;0,00380368020439465;18;19;3;4;5
8;2024-06-12 22:55:32.337609;0,5207553892748975;;2048;0,24455291327051498;1,2329650679026336;2631;39710;5613;0,09098213773800522;31;18;4;2;9
9;2024-06-12 23:03:37.834279;0,5008017103153394;;4096;0,4562988752055701;1,1082130206747376;2631;39710;5613;0,0020901349408907533;25;51;3;4;9
10;2024-06-12 23:24:31.876635;0,5196864421877784;;512;0,9948178783586863;1,92247825489518;2631;39710;5613;0,016155642455364026;10;8;1;1;6
11;2024-06-12 23:30:33.574525;0,5189738107963656;;1024;0,11722389627475857;1,3159239536530407;2631;39710;5613;0,043898059549778365;56;12;4;3;7
12;2024-06-12 23:40:06.737602;0,5200427578834848;;1024;0,8122295469100287;1,4557948222522386;2631;39710;5613;0,026365698435791694;10;30;5;4;7
13;2024-06-12 23:51:31.666714;0,5227151256012827;;1024;0,5689142358869707;1,4631296849237458;2631;39710;5613;0,17924098024551605;62;13;4;5;6
14;2024-06-13 00:05:34.787474;0,515766969535008;;512;0,5610029689954945;1,492273379476127;2631;39710;5613;0,18396393135180034;12;13;5;5;5
15;2024-06-13 00:17:02.510759;0,5221806520577231;;1024;0,8172522562389724;1,3341584021766864;2631;39710;5613;0,01287161407453008;8;8;4;2;6
16;2024-06-13 00:26:11.768774;0,5187956529485124;;1024;0,6908310502176878;1,030451532140726;2631;39710;5613;0,2019337422788023;15;13;2;5;4
17;2024-06-13 00:29:10.898562;0,3427756992695528;;1024;0,8967915432233021;1,542311708947308;2631;39710;5613;0,9720172548326357;41;11;5;3;8
18;2024-06-13 00:34:58.444742;0,5070372349902014;;4096;0,6832147944018369;1,4081876603606234;2631;39710;5613;0,024316385283247352;43;14;4;2;10
19;2024-06-13 00:40:20.099857;0,5195082843399251;;512;0,47497130476574934;1,304879750344509;2631;39710;5613;0,010132120559082044;62;8;2;5;4
20;2024-06-13 00:48:02.727811;0,5191519686442188;;8192;0,8655711113514248;1,1749872388170644;2631;39710;5613;0,09352997787064503;14;10;5;3;6
21;2024-06-13 00:55:15.861184;0,5237840726884019;;1024;0,6115922540934848;1,3789724343744214;2631;39710;5613;0,05759496137837536;58;15;4;4;7
22;2024-06-13 01:04:38.488040;0,5228932834491359;;1024;0,5964800478384168;1,4278058852108584;2631;39710;5613;0,01951747633847377;61;15;4;4;8
23;2024-06-13 01:14:54.605324;0,5195082843399251;;1024;0,6317391377407438;1,2506200768497309;2631;39710;5613;0,01843016432548824;64;15;3;4;8
24;2024-06-13 01:32:28.938418;0,5179048637092464;;1024;0,7737991154775191;1,3779854014845203;2631;39710;5613;0,03344064954438162;45;10;5;4;9
25;2024-06-13 01:47:32.444875;0,5152324959914484;;2048;0,7431043354184825;1,084455525641282;2631;39710;5613;0,013770133309616779;37;15;4;4;8
26;2024-06-13 01:56:25.674421;0,5228932834491359;;1024;0,6245133950408106;1,0056856539156402;2631;39710;5613;0,024698734930570117;52;16;3;4;10
27;2024-06-13 02:08:17.848882;0,5230714412969891;;1024;0,9049108875812522;1,1770438075415115;2631;39710;5613;0,011003904656364933;26;11;4;5;7
28;2024-06-13 02:14:56.199280;0,5248530197755211;;1024;0,9223095275660047;1,1387499649584405;2631;39710;5613;0,009332803500694249;28;11;5;5;7
29;2024-06-13 02:39:14.414603;0,5212898628184571;;8192;0,9512722472472773;1,1767990010786746;2631;39710;5613;0,0069401430700540435;29;9;5;5;6
30;2024-06-13 02:55:54.881586;0,5236059148405487;;2048;0,9278566780361176;1,0651008013738703;2631;39710;5613;0,005208601640509187;21;12;5;5;5
31;2024-06-13 03:05:05.537281;0,5239622305362551;;2048;0,9203915340776091;1,0561776145130395;2631;39710;5613;0,004777930910474703;22;12;5;5;5
32;2024-06-13 03:18:59.563475;0,520220915731338;;2048;0,9983276996163175;1,0400297464654278;2631;39710;5613;0,0031677879519774457;21;9;5;5;4
33;2024-06-13 03:25:33.713000;0,5218243363620167;;2048;0,8521444340274004;1,1256234617456111;2631;39710;5613;0,008471086423840432;36;11;5;5;5
34;2024-06-13 03:34:47.517106;0,5214680206663104;;4096;0,9296899677672407;1,0001088864816525;2631;39710;5613;0,00547421712384547;28;12;5;5;5
35;2024-06-13 03:40:36.206482;0,5205772314270444;;2048;0,8527752676907882;1,0736905573298816;2631;39710;5613;0,007948327964215343;16;9;1;4;7
36;2024-06-13 03:47:15.842584;0,5214680206663104;;1024;0,7744178355462985;1,0555158092853998;2631;39710;5613;0,002078399538941585;23;17;4;5;6
