match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2484;0,135;0,6166
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,294;0,4997;0,2063
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3413;0,342;0,3167
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1592;0,7615;0,0792
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2577;0,2489;0,4934
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2436;0,3344;0,422
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2736;0,3533;0,373
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2969;0,5874;0,1157
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3049;0,3109;0,3842
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2414;0,7333;0,0252
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3386;0,3876;0,2738
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2496;0,6015;0,1488
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2469;0,4711;0,2819
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2745;0,3575;0,368
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2822;0,4652;0,2526
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2825;0,3914;0,326
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2627;0,4542;0,2831
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,3109;0,3413;0,3478
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3273;0,4008;0,2719
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1925;0,0951;0,7124
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2302;0,6723;0,0975
