version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-07 21:17:46.405410;0,521670915865856;;4096;0,47303422486350977;0,7418553118133454;1,0156428138817142;0,09925444117242853;2195;17369;5099;0,0075656711617249905;sparsemax;15;26;3;1;9;0,6004779196580727
1;2024-06-07 21:33:02.959638;0,5030398117277898;;2048;0,8181327158728517;0,9955919990726797;1,982968485053748;0,04238708667967001;2195;17369;5099;0,008641549696302632;entmax;31;48;3;5;8;0,2551518258401369
2;2024-06-07 21:52:11.612131;0,5122573053539909;;4096;0,6126509746941255;0,9938941944039928;1,6260496113426437;0,027485598755932296;2195;17369;5099;0,16939190900829318;sparsemax;40;8;4;4;5;0,3290301014965307
3;2024-06-07 22:02:05.945464;0,5248087860364777;;2048;0,06750153636093621;0,12277881535203633;1,5420571840904695;0,09381703770498484;2195;17369;5099;0,26111903822423893;sparsemax;28;49;3;3;10;0,6089429468766725
4;2024-06-07 22:19:35.153944;0,5171602274955873;;8192;0,7210143184219978;0,5258986146516244;1,9674541105825947;0,08366127965813125;2195;17369;5099;0,010315978526151846;entmax;34;35;5;3;6;0,24416414526689517
5;2024-06-07 22:38:47.681559;0,5303000588350657;;512;0,2911627118108337;0,41214024153067985;1,4268847762137695;0,05687297271621745;2195;17369;5099;0,040862048168994;sparsemax;50;12;4;5;5;0,22235651407498255
6;2024-06-07 22:58:04.627688;0,4600902137674054;;2048;0,1785267479209366;0,3646687579090999;1,7941479342886006;0,04524897758884819;2195;17369;5099;0,7845296285189852;entmax;32;9;3;4;3;0,21375971563823423
7;2024-06-07 23:01:40.571971;0,4883310453030006;;4096;0,5445866818603329;0,21920634329587152;1,6688888643711144;0,04798373827293069;2195;17369;5099;0,0066704448906951255;entmax;30;62;1;5;9;0,27109790962193503
8;2024-06-07 23:31:29.590980;0,46636595410864873;;8192;0,9081581638980482;0,41921505664413217;1,9360211428482776;0,05858923470703891;2195;17369;5099;0,006268666929761268;entmax;13;10;1;5;10;0,2166270261356187
9;2024-06-07 23:56:59.129024;0,5291233575210825;;4096;0,41977048997516064;0,8283210078919472;1,4873890444205118;0,05649305992932919;2195;17369;5099;0,06514240172974523;sparsemax;12;20;5;5;9;0,6265163211963386
10;2024-06-08 00:16:27.642988;0,5187291625808982;;512;0,3043629712413613;0,6150022627849251;1,2861515399383003;0,009496897838392047;2195;17369;5099;0,001122755255627187;sparsemax;60;14;4;1;3;0,3628914430434445
11;2024-06-08 00:27:04.401413;0,52441655226515;;512;0,3669802911989988;0,7931766778655571;1,3873581669017496;0,06596222424692813;2195;17369;5099;0,05192147086406015;sparsemax;8;17;5;4;5;0,4730958941189874
12;2024-06-08 00:38:43.338582;0,5277505393214356;;1024;0,3451310697568511;0,6133981386876258;1,3973712280272232;0,06993348339212552;2195;17369;5099;0,05136319513242584;sparsemax;61;19;4;2;7;0,8191320192065188
13;2024-06-08 00:51:50.062906;0,5304961757207296;;512;0,21815915741175695;0,3987097571533451;1,2575728964533683;0,07415770675681083;2195;17369;5099;0,02868834798746159;sparsemax;19;13;5;5;5;0,4366020966481306
14;2024-06-08 01:06:57.113677;0,5261816042361247;;512;0,16753884473765346;0,3361386080300204;1,2387941989328561;0,07401423391566327;2195;17369;5099;0,023175740978020144;sparsemax;24;12;4;4;5;0,4083045134963313
15;2024-06-08 01:23:00.161282;0,5320651108060404;;512;0,21611739047533776;0,46177770612214375;1,2229752816014623;0,07985320998204845;2195;17369;5099;0,021521751829460645;sparsemax;19;13;2;5;4;0,3142564721554372
16;2024-06-08 01:34:42.960501;0,5277505393214356;;512;0,20878488843466836;0,5066135262838529;1,1586347443042875;0,08441458127627596;2195;17369;5099;0,02072010351556027;sparsemax;19;15;2;2;4;0,31103858073185825
17;2024-06-08 01:45:58.383493;0,5283388899784272;;1024;0,05276692396731719;0,2924906375346633;1,138201262552023;0,07969944206987409;2195;17369;5099;0,12470888653648929;sparsemax;20;11;2;4;4;0,42805765512722627
18;2024-06-08 01:55:03.297112;0,5263777211217886;;512;0,4642521957310253;0,22798544630173861;1,3004529706987986;0,08906171567222024;2195;17369;5099;0,019238659262060503;sparsemax;17;14;2;3;6;0,296162452546337
19;2024-06-08 02:10:07.924207;0,5275544224357718;;512;0,2533488878005755;0,4699546738529371;1,1606621939231512;0,0744921538247005;2195;17369;5099;0,0026799801153192565;sparsemax;23;8;2;5;4;0,3770259003455734
