match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,231;0,2051;0,5639
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2653;0,4505;0,2842
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3024;0,4057;0,292
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,0443;0,8881;0,0675
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2993;0,452;0,2488
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2591;0,2994;0,4415
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2961;0,2785;0,4254
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2387;0,4822;0,2792
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2658;0,2839;0,4503
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1062;0,8199;0,0739
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3218;0,4034;0,2749
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,295;0,5603;0,1447
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2997;0,4798;0,2204
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3094;0,3817;0,3089
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3095;0,4823;0,2082
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,32;0,352;0,328
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,312;0,441;0,247
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3286;0,362;0,3094
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2808;0,432;0,2872
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1919;0,1539;0,6542
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2983;0,5517;0,15
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1263;0,0624;0,8114
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2414;0,6181;0,1405
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2907;0,3902;0,3191
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2775;0,462;0,2605
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,2846;0,3445;0,3709
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2571;0,4342;0,3087
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2693;0,4802;0,2506
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3014;0,3566;0,342
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1224;0,8334;0,0442
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2764;0,5162;0,2074
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;0;0,3406;0,3386;0,3208
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2737;0,4989;0,2274
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,286;0,3206;0,3934
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2625;0,542;0,1955
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2627;0,1918;0,5455
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2112;0,6497;0,1391
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2582;0,5855;0,1564
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2334;0,6396;0,127
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2796;0,3257;0,3948
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,2253;0,6931;0,0816
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,3286;0,3533;0,3181
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2912;0,48;0,2288
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2813;0,5347;0,184
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2606;0,4866;0,2528
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2869;0,4238;0,2892
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1859;0,1147;0,6994
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2785;0,4156;0,3059
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2531;0,588;0,1589
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2252;0,5489;0,2259
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,3028;0,3539;0,3433
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,3213;0,4702;0,2085
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3006;0,479;0,2204
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2941;0,4068;0,2991
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2919;0,5272;0,1809
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2395;0,61;0,1505
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2684;0,536;0,1957
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,2843;0,3802;0,3354
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,2686;0,2071;0,5243
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;1;0,2877;0,3592;0,3531
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,3284;0,3593;0,3122
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3166;0,4511;0,2323
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2873;0,4958;0,2169
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2979;0,5146;0,1875
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,3115;0,3659;0,3226
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,291;0,3928;0,3162
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,2969;0,4622;0,2409
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1847;0,7264;0,0889
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2787;0,5062;0,2151
57614;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;2;0,3138;0,3315;0,3547
57612;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,3183;0,4324;0,2493
57613;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,3049;0,3999;0,2952
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,2102;0,6054;0,1844
45191;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,2268;0,1291;0,644
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,2733;0,4328;0,2939
15990;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,212;0,5933;0,1947
15996;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;2;0,2445;0,2411;0,5144
15989;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;2;0,2497;0,2526;0,4977
15991;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,2522;0,495;0,2528
