version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-15 09:37:38.453826;0,5318736678938191;;1024;0,05425335327854453;0,9338359300487955;1,09777252264094;0,09783232633148672;2255;17639;5161;0,1176660585572226;sparsemax;27;32;4;3;4;0,4671310037239691
1;2024-06-15 09:45:26.078918;0,495252857973261;;512;0,302928029328356;0,6552389845167775;1,9029918850812224;0,029275814091900165;2255;17639;5161;0,0010080424533167494;sparsemax;30;28;5;1;9;0,20512539167050559
2;2024-06-15 10:27:58.448044;0,527804689013757;;1024;0,7118058039924825;0,565306253906485;1,0559540826027665;0,08492374581594575;2255;17639;5161;0,05011064530669683;sparsemax;27;34;3;4;9;0,3357391420654299
3;2024-06-15 10:45:14.713319;0,4849835303235807;;2048;0,2767989401825443;0,7476418729490116;1,434202266468232;0,07887161214439146;2255;17639;5161;0,0010729382866967855;entmax;31;41;4;1;10;0,2596538201160367
4;2024-06-15 11:22:00.732540;0,5022282503390816;;512;0,42362368602212547;0,20324620991780118;1,5233290027653836;0,039760954772319834;2255;17639;5161;0,001886939503151183;sparsemax;13;15;4;3;8;0,22544618235413424
5;2024-06-15 11:50:09.156100;0,5194729703545824;;512;0,75644833977176;0,16859475979841163;1,6086155942272204;0,09786350877194874;2255;17639;5161;0,6088004462945605;entmax;39;16;1;5;10;0,6140433657543206
6;2024-06-15 12:11:07.910190;0,5279984499128076;;1024;0,06803602633429864;0,6310266764173952;1,8871662017116861;0,012076812998329078;2255;17639;5161;0,007193767511674068;entmax;8;9;4;2;6;0,21608907507148062
7;2024-06-15 12:29:17.868568;0,5095911645030033;;8192;0,27772727357905636;0,5183747425718185;1,8668523933808916;0,08952525418465362;2255;17639;5161;0,0014518216806324081;entmax;52;16;4;3;3;0,35007994022515365
8;2024-06-15 12:41:47.295800;0,4855648130207324;;1024;0,4155673886189771;0,9387448887903987;1,895136805163342;0,06785336394207445;2255;17639;5161;0,0019368861249048949;entmax;22;63;2;1;10;0,3338691144965358
9;2024-06-15 13:05:21.450536;0,5194729703545824;;4096;0,47008496108190456;0,7659450884778941;1,022697522596871;0,02941055645328956;2255;17639;5161;0,011627309171957837;entmax;17;29;3;5;6;0,5972347722817954
10;2024-06-15 13:21:14.884944;0,5297422980042628;;4096;0,10182187607453844;0,9854321637045363;1,1911509210599007;0,06062594866007799;2255;17639;5161;0,17579966139055267;sparsemax;54;56;5;4;3;0,8472076303272662
11;2024-06-15 13:33:16.803463;0,5212168184460376;;4096;0,050340351753837796;0,9863796089080862;1,1923997676572733;0,06115052003929202;2255;17639;5161;0,16286394227433973;sparsemax;63;53;5;4;3;0,8688388397046537
12;2024-06-15 13:42:36.701424;0,5247045146289478;;4096;0,9500823133973708;0,8973936792408588;1,2115934049030566;0,07116639092541428;2255;17639;5161;0,14493610711348112;sparsemax;49;44;5;4;4;0,5466850768279133
13;2024-06-15 13:58:45.479927;0,46018213524510754;;8192;0,14511230376480577;0,9656255938024288;1,2068160620417303;0,05430064471146401;2255;17639;5161;0,9976915906987794;sparsemax;40;57;5;2;5;0,8295715811318168
14;2024-06-15 14:06:01.478914;0,5082348382096493;;2048;0,2065375841664457;0,8252658394491352;1,1197644465080712;0,07767010230559632;2255;17639;5161;0,17524740081158452;sparsemax;59;41;4;3;4;0,48409359198955576
15;2024-06-15 14:11:49.206878;0,5262546018213524;;1024;0,17764755422311146;0,9953134582525194;1,3089907873733782;0,09493584612881201;2255;17639;5161;0,05187465566238069;sparsemax;41;23;2;4;4;0,711156530411171
16;2024-06-15 14:19:15.968633;0,5119162952916102;;4096;0,06540806447590623;0,8347461808620771;1,018407543469304;0,09814664641643049;2255;17639;5161;0,3342331864265104;sparsemax;19;63;5;2;5;0,4882562786098994
17;2024-06-15 14:29:59.417710;0,533229994187173;;4096;0,3457671135979207;0,8669132153620771;1,1172792363416093;0,05907371159571869;2255;17639;5161;0,08346018706503847;sparsemax;64;47;3;5;3;0,717196808411212
18;2024-06-15 14:38:59.033993;0,522379383840341;;1024;0,3399249656801425;0,8595470569392281;1,0960265011356507;0,08565312142730341;2255;17639;5161;0,06923763498024685;sparsemax;36;35;3;5;7;0,6878979843022578
19;2024-06-15 14:58:01.129685;0,5260608409223019;;2048;0,18393799041187495;0,7461208600154674;1,0003292418244163;0,04493578993913119;2255;17639;5161;0,02511050025847311;sparsemax;46;45;2;3;5;0,417964341156432
20;2024-06-15 15:08:54.352800;0,5031970548343344;;8192;0,5511843308008466;0,8546832053581047;1,3165822175291935;0,078824303171279;2255;17639;5161;0,09514504046328319;sparsemax;64;24;3;5;4;0,6876988454420461
21;2024-06-15 15:15:13.169501;0,5256733191242008;;4096;0,14001340727142458;0,9188506030539526;1,1256223686222624;0,061671781381240035;2255;17639;5161;0,29612294204827605;sparsemax;52;50;4;4;3;0,8960892856506147
22;2024-06-15 15:21:24.791385;0,5216043402441387;;4096;0,22831300507354937;0,9946218742647972;1,1398976438228439;0,05415937649320652;2255;17639;5161;0,2961728590243056;sparsemax;48;50;4;4;3;0,7754131250103888
23;2024-06-15 15:29:15.114370;0,5316799069947684;;4096;0,13671844253504062;0,9328278831443595;1,0802603488819913;0,0696222323610423;2255;17639;5161;0,08016984387273861;sparsemax;34;34;5;5;3;0,756857414257714
24;2024-06-15 15:39:12.112186;0,5276109281147064;;4096;0,1365808191030801;0,9038779054614515;1,0699513803656062;0,07117165626460753;2255;17639;5161;0,03157925605166339;sparsemax;32;35;3;5;4;0,7385241077973417
25;2024-06-15 15:48:48.350344;0,5270296454175547;;1024;0,23190495733128763;0,7968638750262168;1,0696471771084435;0,08955473076050746;2255;17639;5161;0,07930287821161394;sparsemax;26;31;1;5;5;0,6275600776190321
26;2024-06-15 16:01:01.704105;0,5309048633985661;;4096;0,13967060992573688;0,892005029971483;1,2789038644890942;0,0747073364609014;2255;17639;5161;0,03798419543309722;sparsemax;37;36;3;3;3;0,7685804451383828
27;2024-06-15 16:11:50.875485;0,5152102305754699;;4096;0,31794392249428155;0,8956162335855183;1,1442292807789143;0,09953599233080648;2255;17639;5161;0,1191363702616408;sparsemax;44;27;2;2;4;0,5684327693456235
28;2024-06-15 16:18:17.395463;0,5316799069947684;;1024;0,05019371981851101;0,7093637251117692;1,0417517113804666;0,06672000518392088;2255;17639;5161;0,08157211485280147;sparsemax;35;40;4;5;6;0,6860896981239812
29;2024-06-15 16:33:19.556215;0,533229994187173;;512;0,246419972212193;0,8319328371495924;1,0863635484364056;0,08185952278372534;2255;17639;5161;0,021922576585027755;sparsemax;30;28;5;3;3;0,5164352571739388
30;2024-06-15 16:44:15.933028;0,5243169928308468;;512;0,3530782177426969;0,8134642752750046;1,2530308531847334;0,0835438576580648;2255;17639;5161;0,019730283848465095;sparsemax;28;25;5;3;7;0,5144501541231095
31;2024-06-15 17:07:00.873276;0,5293547762061616;;512;0,25600496148744867;0,9345570908372614;1,0892309840616146;0,09176633323519784;2255;17639;5161;0,05132508944411331;sparsemax;32;28;5;3;3;0,6254481383027243
32;2024-06-15 17:14:30.676430;0,5179228831621778;;512;0,1999881344512751;0,8550453753417598;1,0556803730242055;0,07993315884955907;2255;17639;5161;0,05305662023018167;sparsemax;25;33;5;4;4;0,4669332257043914
33;2024-06-15 17:24:32.130688;0,5272234063166054;;512;0,2826434424562845;0,6931446701310082;1,0008926257028081;0,08466674539698096;2255;17639;5161;0,035544412173518426;sparsemax;32;31;4;3;3;0,5442281813981439
34;2024-06-15 17:33:55.696716;0,5318736678938191;;2048;0,09731433366286762;0,7905383878667066;1,1551472903863471;0,09174127436253438;2255;17639;5161;0,10930899124442545;sparsemax;28;37;5;2;3;0,42799008938276395
35;2024-06-15 17:42:12.374494;0,527804689013757;;2048;0,10744426982504829;0,7805784367368059;1,157062380002961;0,09260121143726578;2255;17639;5161;0,018054042051214823;sparsemax;28;39;4;1;4;0,4237600539828911
36;2024-06-15 17:53:16.263019;0,527804689013757;;2048;0,24763115954768974;0,6265317701379854;1,1078948270676885;0,09960646662240709;2255;17639;5161;0,10088091216639761;entmax;24;27;3;2;8;0,453150529875508
37;2024-06-15 18:08:32.744440;0,5111412516954079;;2048;0,1921644120730102;0,7444040362105773;1,1706265268764866;0,08755769851247701;2255;17639;5161;0,23297735981262283;sparsemax;43;45;4;2;5;0,39254786102245093
38;2024-06-15 18:16:28.879709;0,5276109281147064;;512;0,2967241064759015;0,8176009663986027;1,050680661629448;0,09340084793446415;2255;17639;5161;0,04424534675416846;entmax;29;20;5;1;3;0,5191629313267617
39;2024-06-15 18:26:58.196008;0,5307111024995156;;2048;0,36514932174158116;0,6941093229597411;1,3758137827189942;0,08360290476676192;2255;17639;5161;0,11755065341778115;entmax;22;21;3;2;9;0,3675259729779107
40;2024-06-15 18:39:27.716704;0,5279984499128076;;1024;0,09366067507028755;0,5143552366535824;1,1490556602548732;0,09420950864678275;2255;17639;5161;0,06192475876887981;sparsemax;39;29;4;3;4;0,31648920134922426
41;2024-06-15 18:51:27.037530;0,5279984499128076;;8192;0,14901518099790595;0,9394687599967594;1,1003600118155994;0,07599295268999277;2255;17639;5161;0,07467882743789324;sparsemax;35;32;5;4;3;0,4420991734979417
42;2024-06-15 19:01:50.600273;0,5276109281147064;;512;0,10631316545252796;0,8781754946124185;1,0736847734795898;0,08280149887748314;2255;17639;5161;0,1245403602939202;sparsemax;30;38;5;3;3;0,5891258752609451
43;2024-06-15 19:09:22.461330;0,5289672544080605;;4096;0,09615570941559895;0,9511705481669439;1,0341431577106317;0,07269490392760386;2255;17639;5161;0,10109682473111103;sparsemax;27;36;5;5;3;0,649672924992573
44;2024-06-15 19:20:50.913005;0,527804689013757;;1024;0,23167416177381592;0,8622604775471073;1,210156851152286;0,0877885996076689;2255;17639;5161;0,06313899951706954;sparsemax;23;44;5;2;3;0,5790402949289045
45;2024-06-15 19:28:23.118050;0,5281922108118582;;2048;0,18385149399712086;0,9293740204631654;1,102327503633981;0,06781982350070977;2255;17639;5161;0,19520945163587247;sparsemax;56;33;5;3;4;0,7866853428491988
46;2024-06-15 19:36:38.136551;0,5276109281147064;;4096;0,27300902342390176;0,782304433167042;1,240542611930434;0,08787435037744776;2255;17639;5161;0,02970090868698046;entmax;26;40;4;1;3;0,5030908282000106
47;2024-06-15 19:41:59.489118;0,5121100561906607;;512;0,09280352320054262;0,9495302275597378;1,1911170424858464;0,08044254195696121;2255;17639;5161;0,1432529441528683;sparsemax;20;31;5;4;4;0,6499928067768624
48;2024-06-15 19:50:21.981029;0,5206355357488859;;8192;0,05410336248615864;0,8363634454332317;1,13116846347199;0,09538513691621488;2255;17639;5161;0,04695851316947895;sparsemax;43;37;4;2;3;0,5403764081935014
49;2024-06-15 19:56:10.830314;0,530517341600465;;1024;0,16973967922005248;0,9121203704405677;1,0345359434686228;0,07672361924219846;2255;17639;5161;0,008008115003032999;sparsemax;33;48;5;5;5;0,8306948488124772
50;2024-06-15 20:12:05.598981;0,5161790350707227;;4096;0,21551037471051052;0,964067036933036;1,1747316879221847;0,0898475805754609;2255;17639;5161;0,406559422863632;entmax;38;42;3;4;8;0,4741960319709767
51;2024-06-15 20:27:42.656401;0,5258670800232513;;1024;0,06391200052168748;0,8736304379517863;1,0469743556340962;0,06397976019719831;2255;17639;5161;0,08371690681444668;sparsemax;35;42;4;5;6;0,7163277503582516
52;2024-06-15 20:38:21.273495;0,5235419492346445;;1024;0,0565283633993641;0,7714265877882942;1,0862123829214423;0,0670003622822201;2255;17639;5161;0,1556956015604422;sparsemax;34;39;5;5;6;0,7983707260571539
53;2024-06-15 20:56:22.565084;0,5252857973260996;;1024;0,11922178685148167;0,8314859868039814;1,01515131233991;0,07075080896795552;2255;17639;5161;0,08992100926769388;sparsemax;49;34;4;5;7;0,6585183567829241
54;2024-06-15 21:20:38.157199;0,5279984499128076;;1024;0,1366691098610718;0,7446225976067175;1,1161435569031537;0,058040245619480235;2255;17639;5161;0,20993067042159286;sparsemax;30;47;2;5;4;0,7227513807081934
55;2024-06-15 21:30:05.266981;0,5316799069947684;;2048;0,051242132706405166;0,8087132404940266;1,0598979226506038;0,050749694170420676;2255;17639;5161;0,06448838750544315;sparsemax;40;55;4;5;3;0,5894866109165933
56;2024-06-15 21:38:29.585515;0,5198604921526836;;4096;0,15742279705026224;0,9974074089554749;1,0285334456125967;0,06435278612193007;2255;17639;5161;0,13944151364937585;sparsemax;30;52;3;4;10;0,6811279682231999
57;2024-06-15 21:53:49.944122;0,5221856229412905;;1024;0,09135987175938054;0,8838518635500354;1,126440491757464;0,058055852579486145;2255;17639;5161;0,10160122708223047;sparsemax;37;37;5;5;5;0,866744672550742
58;2024-06-15 22:09:27.101289;0,5274171672156559;;4096;0,17437167385731805;0,9048426728812567;1,0791633219063197;0,0736292471410474;2255;17639;5161;0,039074545336077356;sparsemax;25;43;4;3;4;0,76152434597466
59;2024-06-15 22:18:09.517526;0,5316799069947684;;1024;0,1255024218349028;0,8718968642630319;1,1628580438653535;0,09716113968202318;2255;17639;5161;0,07379662699282741;sparsemax;58;30;2;4;3;0,6013059792991877
60;2024-06-15 22:24:22.231199;0,523735710133695;;8192;0,21331578434332021;0,9627195935397921;1,002401968155709;0,07940805849155877;2255;17639;5161;0,23273135898646963;sparsemax;52;34;3;3;4;0,4981381835771314
61;2024-06-15 22:36:45.165346;0,5318736678938191;;2048;0,07694586474990833;0,8038191204092546;1,0658103215115933;0,05107294642820204;2255;17639;5161;0,0628238385640129;sparsemax;41;57;4;5;3;0,5656413719851353
62;2024-06-15 22:46:55.930440;0,5309048633985661;;2048;0,09250719853408337;0,8002560949253474;1,0550710923769187;0,04891655178821405;2255;17639;5161;0,05918651941760392;sparsemax;64;57;4;5;3;0,5603631589940821
63;2024-06-15 22:56:23.276729;0,5279984499128076;;2048;0,1610792151854563;0,8425098727961078;1,0850795670899909;0,05703524451267172;2255;17639;5161;0,044272563650163604;sparsemax;33;61;3;5;6;0,6172723600118235
64;2024-06-15 23:09:18.149392;0,5301298198023638;;2048;0,12291202355906378;0,9117278587390036;1,1158696790574236;0,06922298303085693;2255;17639;5161;0,08056233219211276;sparsemax;36;48;5;5;3;0,6902758033868966
65;2024-06-15 23:17:26.089990;0,5243169928308468;;2048;0,08743421774578941;0,845140837471059;1,0327558540164579;0,06451991867514362;2255;17639;5161;0,16670698479294396;sparsemax;28;41;4;5;3;0,5344869641456704
